galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 1549,no_winsor,0.01,27.801112818779462,0.02066049774124498,0.02066049774124498,"max(fit covariance + PSF MAD, k-window MAD)",27.951919625254437,0.010909993130538677,0.010909993130538677,"max(fit covariance + PSF MAD, k-window MAD)",27.91903677617109,0.009647505349784376,0.15080680647497502,0.07540340323748751,0.07540340323748751
NGC 1549,no_winsor,0.03,27.804023199115075,0.021521854381231307,0.021521854381231307,"max(fit covariance + PSF MAD, k-window MAD)",27.953249873745055,0.011191796011761115,0.011191796011761115,"max(fit covariance + PSF MAD, k-window MAD)",27.921485592067068,0.009929467924983698,0.14922667462997907,0.07461333731498954,0.07461333731498954
NGC 1549,no_winsor,0.04,27.806822191553323,0.021869244771740022,0.021869244771740022,"max(fit covariance + PSF MAD, k-window MAD)",27.954727048816668,0.011354378185916371,0.011354378185916371,"max(fit covariance + PSF MAD, k-window MAD)",27.923322861297414,0.010077118093834379,0.14790485726334524,0.07395242863167262,0.07395242863167262
NGC 1549,raw_global_3p5,0.01,28.02202146474308,0.021379828479667302,0.021379828479667302,"max(fit covariance + PSF MAD, k-window MAD)",27.97868936781422,0.011543222910786109,0.011543222910786109,"max(fit covariance + PSF MAD, k-window MAD)",27.98846983066635,0.010157318430155035,-0.043332096928860864,0.021666048464430432,0.021666048464430432
NGC 1549,raw_global_3p5,0.03,28.02508764638071,0.022259601432770653,0.022259601432770653,"max(fit covariance + PSF MAD, k-window MAD)",27.98010039407155,0.011860695840591321,0.011860695840591321,"max(fit covariance + PSF MAD, k-window MAD)",27.99004847656395,0.01046748479086645,-0.044987252309162784,0.022493626154581392,0.022493626154581392
NGC 1549,raw_global_3p5,0.04,28.028034964909875,0.0226046020853333,0.0226046020853333,"max(fit covariance + PSF MAD, k-window MAD)",27.981709488890573,0.012025743490205649,0.012025743490205649,"max(fit covariance + PSF MAD, k-window MAD)",27.991928614400297,0.010616803704147434,-0.0463254760193017,0.02316273800965085,0.02316273800965085
NGC 1549,normalized_full_3p5,0.01,27.827086215791038,0.020775253547963547,0.020775253547963547,"max(fit covariance + PSF MAD, k-window MAD)",27.963355527188178,0.011376977923809432,0.011376977923809432,"max(fit covariance + PSF MAD, k-window MAD)",27.931917678978134,0.009978694078571406,0.1362693113971396,0.0681346556985698,0.0681346556985698
NGC 1549,normalized_full_3p5,0.03,27.830032951303217,0.02163749605511919,0.02163749605511919,"max(fit covariance + PSF MAD, k-window MAD)",27.96476555898475,0.011679773961903832,0.011679773961903832,"max(fit covariance + PSF MAD, k-window MAD)",27.934365485744415,0.010277984513182984,0.13473260768153494,0.06736630384076747,0.06736630384076747
NGC 1549,normalized_full_3p5,0.04,27.832945683048795,0.021953928648803644,0.021953928648803644,"max(fit covariance + PSF MAD, k-window MAD)",27.966319347025895,0.011849121053130827,0.011849121053130827,"max(fit covariance + PSF MAD, k-window MAD)",27.936231642040628,0.010427296873262628,0.1333736639770997,0.06668683198854986,0.06668683198854986
NGC 1549,normalized_union_3p5,0.01,27.81830267332418,0.02068089912693947,0.02068089912693947,"max(fit covariance + PSF MAD, k-window MAD)",27.958297808616805,0.011204566909324093,0.011204566909324093,"max(fit covariance + PSF MAD, k-window MAD)",27.92652994404168,0.00985160420310047,0.13999513529262586,0.06999756764631293,0.06999756764631293
NGC 1549,normalized_union_3p5,0.03,27.82122929578418,0.02154066792723966,0.02154066792723966,"max(fit covariance + PSF MAD, k-window MAD)",27.959679103672222,0.01149738827123779,0.01149738827123779,"max(fit covariance + PSF MAD, k-window MAD)",27.92898140357872,0.010142987875740802,0.13844980788804406,0.06922490394402203,0.06922490394402203
NGC 1549,normalized_union_3p5,0.04,27.82410833065534,0.021862324475005197,0.021862324475005197,"max(fit covariance + PSF MAD, k-window MAD)",27.961202602833744,0.011664746852244215,0.011664746852244215,"max(fit covariance + PSF MAD, k-window MAD)",27.93082300020653,0.010291477407844696,0.13709427217840542,0.06854713608920271,0.06854713608920271
