galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 1549,inner,no_winsor,0.01,0.01,0.25,stpsf_R2024082402-NRCA3_FP1-1,27,1.2017130636652384,-0.10057454112543322,0.023120258326262664,4.455723517921007e-05,1.2016685064300592,27.800041543114954,0.020889705766492107,799.0876903233946,31.963507612935782,803.5876903233946,18.199547160357024
NGC 1549,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.2005279845046803,-0.09999426337086025,0.02277635705136974,4.455723517921007e-05,1.200483427269501,27.801112818779462,0.02059929766745435,777.2210442377556,31.08884176951022,781.7210442377556,18.17736137741478
NGC 1549,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,1.2003468438307126,-0.10043799308237396,0.022395381396810292,4.455723517921007e-05,1.2003022865955333,27.80127665763198,0.02025779395193073,751.8849504998414,30.075398019993653,756.3849504998414,18.174470780450644
NGC 1549,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.2052055813532374,-0.09836162302993372,0.022190782180894906,4.455723517921007e-05,1.2051610241180581,27.79689054674151,0.019991797895497626,732.4343243144284,29.297372972577136,736.9343243144284,18.230475266965904
NGC 1549,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,1.196560578814568,-0.10091748913277902,0.023540350786411,4.455723517921007e-05,1.1965160215793886,27.804706945538534,0.02136085991374844,835.1904269225969,33.407617076903875,839.6904269225969,18.132049025994164
NGC 1549,inner,no_winsor,0.03,0.03,0.25,stpsf_R2024082402-NRCA3_FP1-1,25,1.198396119812046,-0.09999592446270694,0.024023776597420617,4.455723517921007e-05,1.1983515625768668,27.803042624955882,0.021766136784394215,773.4466291486598,33.62811431081129,777.9920836941143,18.433802452251136
NGC 1549,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.1973143265535626,-0.099434579032246,0.023678455886062374,4.455723517921007e-05,1.1972697693183834,27.804023199115075,0.021472651767447754,752.9142635415475,32.735402762675974,757.459718087002,18.412938589887368
NGC 1549,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,1.1970118734720627,-0.09985595233398753,0.023234572712362137,4.455723517921007e-05,1.1969673162368835,27.80429751134969,0.021075443292141186,725.5536532195342,31.545811009544966,730.0991077649887,18.40783080573181
NGC 1549,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.2018164847806019,-0.09777837485598553,0.022993384644737477,4.455723517921007e-05,1.2017719275454226,27.799948103687235,0.020773284519726428,705.0709081475318,30.655256875979642,709.6163626929863,18.463767659921103
NGC 1549,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,1.192988587689034,-0.10029086191667212,0.024398020158050496,4.455723517921007e-05,1.1929440304538548,27.807953070514497,0.022205412101300386,804.6796957101808,34.9860737265296,809.2251502556353,18.360879232419375
NGC 1549,inner,no_winsor,0.04,0.04,0.25,stpsf_R2024082402-NRCA3_FP1-1,24,1.194994202256728,-0.09940614089276796,0.024272311232237453,4.455723517921007e-05,1.1949496450215487,27.80612922979382,0.022053922680166472,740.1945793116066,33.64520815052757,744.7660078830352,18.61668511588968
NGC 1549,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.1942317792926362,-0.09890085009338585,0.024027125058098574,4.455723517921007e-05,1.194187222057457,27.806822191553323,0.02184508349275717,726.3655544767781,33.01661611258083,730.9369830482067,18.601233138497477
NGC 1549,inner,no_winsor,0.04,0.04,0.25,stpsf_field_768_1024,24,1.1938414121575385,-0.09930583342531099,0.023527859106343453,4.455723517921007e-05,1.1937968549223592,27.807177165223028,0.021398153586077846,697.1972920821361,31.690786003733457,701.7687206535646,18.594407788343158
NGC 1549,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.1990862537692486,-0.09731092541907069,0.02342263717665813,4.455723517921007e-05,1.1990416965340693,27.802417526473338,0.02120927509620503,685.0457180909386,31.138441731406303,689.6171466623672,18.658849401922733
NGC 1549,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_768,24,1.1899878279494707,-0.09976718411727575,0.02481070875331777,4.455723517921007e-05,1.1899432707142914,27.810687597834907,0.022637957138088135,779.5409782348297,35.4336808288559,784.1124068062583,18.55004093554168
NGC 1549,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_R2024082402-NRCA3_FP1-1,27,0.9804818698537505,-0.08248470278620099,0.019527523803525907,4.455723517921007e-05,0.9804373126185713,28.020953663998547,0.021624778361543816,860.5301794027864,34.42120717611146,865.0301794027864,18.269613490600367
NGC 1549,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,0.9795181025521417,-0.08201254959655883,0.019234350690782723,4.455723517921007e-05,0.9794735453169624,28.02202146474308,0.021321077041687078,836.7581869179148,33.47032747671659,841.2581869179148,18.24721763933802
NGC 1549,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,0.9793836973681778,-0.08237802610988817,0.018933704577699852,4.455723517921007e-05,0.9793391401329985,28.02217046171012,0.02099069434456763,811.2651595828835,32.45060638331534,815.7651595828835,18.244565316402415
NGC 1549,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,0.9833597865729137,-0.08068544342165772,0.01875614634594228,4.455723517921007e-05,0.9833152293377344,28.017771327582416,0.020709764826124775,789.8899920849301,31.595599683397204,794.3899920849301,18.30083434774976
NGC 1549,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,0.9762769316689411,-0.08276361302397456,0.01982758349065168,4.455723517921007e-05,0.9762323744337619,28.025620226458724,0.022051640380346512,894.4878163571234,35.779512654284936,898.9878163571234,18.201573196856245
NGC 1549,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_R2024082402-NRCA3_FP1-1,25,0.9776376406744621,-0.08198914702740398,0.020275497214722493,4.455723517921007e-05,0.9775930834392829,28.024107940635716,0.02251840951866153,832.0035986720145,36.17406950747889,836.549053217469,18.501184430705315
NGC 1549,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,0.9767559149154189,-0.08153207471766134,0.01998167444314413,4.455723517921007e-05,0.9767113576802396,28.02508764638071,0.02221211743266568,809.7381945949294,35.2060084606491,814.2836491403839,18.480086131272174
NGC 1549,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,0.9765252718252806,-0.08187975147404125,0.01962989722217466,4.455723517921007e-05,0.9764807145901013,28.025344065150847,0.021826227380990933,782.1043126911109,34.004535334396124,786.6497672365654,18.475252700515714
NGC 1549,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,0.9804573299059084,-0.08018654661070479,0.019422403213811678,4.455723517921007e-05,0.9804127726707291,28.020980839875005,0.021508906187749397,759.7305507277005,33.03176307511741,764.276005273155,18.531455057192773
NGC 1549,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,0.9732304045852472,-0.08222980802461045,0.02053454329276687,4.455723517921007e-05,0.973185847350068,28.029013779888572,0.022909393063861888,860.8505863664716,37.42828636375963,865.3960409119261,18.427774744914135
NGC 1549,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_R2024082402-NRCA3_FP1-1,24,0.9747333301754704,-0.08148616707601145,0.020469890240741744,4.455723517921007e-05,0.9746887729402911,28.027338332163982,0.022802048775788963,795.148960170512,36.143134553205094,799.7203887419406,18.68350420786028
NGC 1549,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,0.97410814854385,-0.08107411413635379,0.02025842880881902,4.455723517921007e-05,0.9740635913086707,28.028034964909875,0.022580979112153086,779.9500731138846,35.45227605063112,784.5215016853132,18.667791647450542
NGC 1549,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,0.9738072561572653,-0.08140863527131784,0.01986141114800728,4.455723517921007e-05,0.973762698922086,28.028370405253902,0.022145285689058474,750.4129089166968,34.10967767803167,754.9843374881253,18.66125529966578
NGC 1549,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,0.9780923410184458,-0.07978206553916144,0.019766496902708687,4.455723517921007e-05,0.9780477837832665,28.02360305792136,0.021942896537727866,736.8811890063407,33.49459950028822,741.4526175777693,18.72593256428374
NGC 1549,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,0.9706489337691604,-0.08177978430814187,0.0208628644724229,4.455723517921007e-05,0.9706043765339811,28.03189762809392,0.023337590310029493,832.5576692855036,37.84353042206835,837.1290978569322,18.616343584720365
NGC 1549,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_R2024082402-NRCA3_FP1-1,27,1.1732824820514665,-0.09878222041382534,0.02272853732138698,4.455723517921007e-05,1.1732379248162872,27.82603800855671,0.021033411321825714,814.5644250157682,32.58257700063073,819.0644250157682,18.257809903634215
NGC 1549,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.1721503442246306,-0.09822017868487701,0.022365012894567653,4.455723517921007e-05,1.1721057869894513,27.827086215791038,0.02071699029989777,790.4599214943157,31.61839685977263,794.9599214943157,18.2357191970966
NGC 1549,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,1.1719854283993185,-0.09865609187306866,0.021998526929885517,4.455723517921007e-05,1.1719408711641393,27.82723899012422,0.02038037730981923,765.2040138776481,30.608160555105925,769.7040138776481,18.233028136161487
