galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 1549,inner,no_winsor,0.01,0.01,0.25,5,1.2005279845046803,0.02277635705136974,0.0017569983634434393,0.022844025122132548,-0.10043799308237396,1.0,4.455723517921007e-05,1.200483427269501,27.801112818779462,0.02066049774124498,31.08884176951022,781.7210442377556,18.17736137741478,0.0041497861889456525,k-window MAD,0.02066049774124498,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,inner,no_winsor,0.03,0.03,0.25,5,1.1973143265535626,0.023678455886062374,0.0016038666850275694,0.0237327128978451,-0.09985595233398753,1.0,4.455723517921007e-05,1.1972697693183834,27.804023199115075,0.021521854381231307,32.735402762675974,757.459718087002,18.412938589887368,0.0041497861889456525,k-window MAD,0.021521854381231307,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,inner,no_winsor,0.04,0.04,0.25,5,1.1942317792926362,0.024027125058098574,0.001130368286562325,0.02405369973664705,-0.09930583342531099,1.0,4.455723517921007e-05,1.194187222057457,27.806822191553323,0.021869244771740022,33.01661611258083,730.9369830482067,18.601233138497477,0.0041497861889456525,k-window MAD,0.021869244771740022,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,inner,raw_global_3p5,0.01,0.01,0.25,5,0.9795181025521417,0.019234350690782723,0.0014288814013652857,0.019287352035859705,-0.08237802610988817,1.0,4.455723517921007e-05,0.9794735453169624,28.02202146474308,0.021379828479667302,33.47032747671659,841.2581869179148,18.24721763933802,0.004369694451336851,k-window MAD,0.021379828479667302,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,inner,raw_global_3p5,0.03,0.03,0.25,5,0.9767559149154189,0.01998167444314413,0.0013072466103574735,0.020024390309122782,-0.08187975147404125,1.0,4.455723517921007e-05,0.9767113576802396,28.02508764638071,0.022259601432770653,35.2060084606491,814.2836491403839,18.480086131272174,0.004369694451336851,k-window MAD,0.022259601432770653,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,inner,raw_global_3p5,0.04,0.04,0.25,5,0.97410814854385,0.02025842880881902,0.000926894287040401,0.020279622058148337,-0.08140863527131784,1.0,4.455723517921007e-05,0.9740635913086707,28.028034964909875,0.0226046020853333,35.45227605063112,784.5215016853132,18.667791647450542,0.004369694451336851,k-window MAD,0.0226046020853333,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,inner,normalized_full_3p5,0.01,0.01,0.25,5,1.1721503442246306,0.022365012894567653,0.0016785075420668386,0.022427910944690158,-0.09865609187306866,1.0,4.455723517921007e-05,1.1721057869894513,27.827086215791038,0.020775253547963547,31.61839685977263,794.9599214943157,18.2357191970966,0.004318416085994175,k-window MAD,0.020775253547963547,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,inner,normalized_full_3p5,0.03,0.03,0.25,5,1.168973510873798,0.023245248591354503,0.0015282809742736608,0.023295433561326892,-0.09808166421326757,1.0,4.455723517921007e-05,1.1689289536386187,27.830032951303217,0.02163749605511919,33.27926842427128,769.9686283036939,18.47146610867049,0.004318416085994175,k-window MAD,0.02163749605511919,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,inner,normalized_full_3p5,0.04,0.04,0.25,5,1.165841798494333,0.023548289283863336,0.0010744343387346213,0.023572788068974043,-0.09752422595685298,1.0,4.455723517921007e-05,1.1657972412591537,27.832945683048795,0.021953928648803644,33.46188032691586,740.7327957635774,18.658094083547162,0.004318416085994175,k-window MAD,0.021953928648803644,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,inner,normalized_union_3p5,0.01,0.01,0.25,5,1.1816710707011338,0.022443173034066826,0.0016991249155939878,0.022507399701339484,-0.09928613925344504,1.0,4.455723517921007e-05,1.1816265134659545,27.81830267332418,0.02068089912693947,31.285281292336645,786.6320323084161,18.21755884820561,0.004268457099982198,k-window MAD,0.02068089912693947,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,inner,normalized_union_3p5,0.03,0.03,0.25,5,1.178490262991294,0.023328718876229063,0.0015476003190953627,0.023379995533656335,-0.0987106689320802,1.0,4.455723517921007e-05,1.1784457057561146,27.82122929578418,0.02154066792723966,32.93390495751384,762.0252685682727,18.453357061278613,0.004268457099982198,k-window MAD,0.02154066792723966,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,inner,normalized_union_3p5,0.04,0.04,0.25,5,1.175369530780306,0.023641255371738595,0.001088028423113914,0.023666278993565142,-0.09815482118664544,1.0,4.455723517921007e-05,1.1753249735451268,27.82410833065534,0.021862324475005197,33.136476774459,733.5739176095266,18.64026885465214,0.004268457099982198,k-window MAD,0.021862324475005197,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,outer,no_winsor,0.01,0.01,0.25,5,1.0455281576690576,0.01023499155390724,0.0023380919118483473,0.010498653527800753,-0.07768620837663844,1.0,0.000727478149095,1.0448006795199627,27.951919625254437,0.010909993130538677,24.44332522539501,615.5831306348753,17.349323074243845,0.0019722264121897893,k-window MAD,0.010909993130538677,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 1549,outer,no_winsor,0.03,0.03,0.25,5,1.0442488474214806,0.010445127806926123,0.0025699619607140295,0.010756644429492796,-0.07745841901395649,1.0,0.000727478149095,1.0435213692723857,27.953249873745055,0.011191796011761115,24.783812624230247,574.5731449027502,17.59241872374543,0.0019722264121897893,k-window MAD,0.011191796011761115,"max(fit covariance + PSF MAD, k-window MAD)"
