galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 3379,inner,no_winsor,0.01,0.01,0.25,5,3.011722552067792,0.05248763655881294,0.004408898479102307,0.05267248216411551,-0.2625894796904032,1.0,8.367643804884014e-05,3.0116388756297434,26.802759405404196,0.01898913622839284,26.778753205401088,673.9688301350272,18.190582191921756,0.003122455142703794,k-window MAD,0.01898913622839284,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,inner,no_winsor,0.03,0.03,0.25,5,3.0058863591199247,0.05481427457371159,0.004496648236547077,0.0549984049078288,-0.26156844147264247,1.0,8.367643804884014e-05,3.005802682681876,26.80486547254483,0.01986616079505869,28.498058747957568,660.0008057484786,18.41205879198177,0.003122455142703794,k-window MAD,0.01986616079505869,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,inner,no_winsor,0.04,0.04,0.25,5,2.9934126674804133,0.052814156812159556,0.0041401921885984155,0.052976186642093366,-0.25933438116999974,1.0,8.367643804884014e-05,2.9933289910423646,26.809380512011725,0.0192154500890045,25.99693100435965,576.5039106673408,18.571325998662164,0.003122455142703794,k-window MAD,0.0192154500890045,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,inner,raw_global_3p5,0.01,0.01,0.25,5,2.6871463587907063,0.04936411804534367,0.0038514565346384187,0.049514138060081724,-0.23588869271178978,1.0,8.367643804884014e-05,2.6870626823526575,26.926572148003704,0.020006713163890258,29.960139273323612,753.5034818330903,18.290457446652816,0.0036046875597608614,k-window MAD,0.020006713163890258,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,inner,raw_global_3p5,0.03,0.03,0.25,5,2.6811358541809436,0.051430505831572396,0.00392507191064689,0.05158006513756212,-0.2348361897961776,1.0,8.367643804884014e-05,2.681052177742895,26.929003476453563,0.02088819629418054,31.749985085121313,734.7951115032447,18.508364220875468,0.0036046875597608614,k-window MAD,0.02088819629418054,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,inner,raw_global_3p5,0.04,0.04,0.25,5,2.6696109764743046,0.0496440236629814,0.003610775397091761,0.049775162324385246,-0.2327755332867409,1.0,8.367643804884014e-05,2.669527300036256,26.933680725482326,0.02024429412374389,29.071430697475954,644.1429039158995,18.66771154280002,0.0036046875597608614,k-window MAD,0.02024429412374389,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,inner,normalized_full_3p5,0.01,0.01,0.25,5,2.9408553735319094,0.05236303062964331,0.004250313410847173,0.052535246652237105,-0.2576751561799496,1.0,8.367643804884014e-05,2.9407716970938607,26.82861336700144,0.019396071912892738,28.079751105190223,706.4937776297555,18.255389348096486,0.003299133779013841,k-window MAD,0.019396071912892738,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,inner,normalized_full_3p5,0.03,0.03,0.25,5,2.9348343829265238,0.05464351264192556,0.00433346500636714,0.05481507450336711,-0.25662185038193,1.0,8.367643804884014e-05,2.934750706488475,26.830838602249663,0.020279307139525728,29.842579039688644,690.9247724582933,18.47633860698172,0.003299133779013841,k-window MAD,0.020279307139525728,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,inner,normalized_full_3p5,0.04,0.04,0.25,5,2.9225456632769,0.05270675026316258,0.0039888857555325855,0.05285747565741367,-0.25442345738398214,1.0,8.367643804884014e-05,2.9224619868388513,26.83539446460574,0.019637304187984313,27.286203742268174,604.8679109013284,18.634957837853133,0.003299133779013841,k-window MAD,0.019637304187984313,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,inner,normalized_union_3p5,0.01,0.01,0.25,5,2.944867978465235,0.05237280566522521,0.004259084147428173,0.052545699833785826,-0.257982704905927,1.0,8.367643804884014e-05,2.944784302027186,26.827132918552,0.01937349661726355,28.009457804539405,704.7364451134852,18.252804378435737,0.0032901202355536973,k-window MAD,0.01937349661726355,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,inner,normalized_union_3p5,0.03,0.03,0.25,5,2.938855227907119,0.05465575508972961,0.004342474880532879,0.054827991505403184,-0.2569308519727325,1.0,8.367643804884014e-05,2.9387715514690704,26.829352074248447,0.020256333086465815,29.769809425092856,689.2510713225902,18.473809465880237,0.0032901202355536973,k-window MAD,0.020256333086465815,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,inner,normalized_union_3p5,0.04,0.04,0.25,5,2.9265578755202544,0.052715790867159176,0.003997315401566725,0.052867127188543785,-0.25473082025590954,1.0,8.367643804884014e-05,2.9264741990822056,26.833904892950798,0.019613962100932386,27.216715522340465,603.3391700629188,18.63243782198387,0.0032901202355536973,k-window MAD,0.019613962100932386,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,no_winsor,0.01,0.01,0.25,5,2.317941630591297,0.024040138383943973,0.003865607263411448,0.02434894603538551,-0.17305463424065876,1.0,0.0154165467881636,2.3025250838031335,27.094255716560525,0.011481539308424878,26.685909057347814,671.6477264336953,17.0632492779267,0.001097285299493459,k-window MAD,0.011481539308424878,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,no_winsor,0.03,0.03,0.25,5,2.316372613761737,0.025114792761244127,0.0043549603262215,0.025489576200541344,-0.17270686494799492,1.0,0.0154165467881636,2.300956066973573,27.094995825355543,0.012027589801516515,28.243938256404235,654.1560344427519,17.322902336040183,0.001097285299493459,k-window MAD,0.012027589801516515,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,no_winsor,0.04,0.04,0.25,5,2.3138513936486733,0.025817502761082047,0.00514164740233229,0.026324513040669708,-0.17233687089896116,1.0,0.0154165467881636,2.2984348468605096,27.09618614828411,0.012435191243259636,29.053677379755207,643.7523309260431,17.552643941718685,0.001097285299493459,k-window MAD,0.012435191243259636,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,raw_global_3p5,0.01,0.01,0.25,5,2.30642448272515,0.02430082927609855,0.003895775948658302,0.024611122968045015,-0.17297304706139635,1.0,0.0154165467881636,2.291007935936986,27.099700157936162,0.01166350706473318,27.62083618138632,695.020904534658,17.09907650363213,0.0011407402148946517,k-window MAD,0.01166350706473318,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,raw_global_3p5,0.03,0.03,0.25,5,2.3048015102468815,0.025388626904505756,0.004382830558030051,0.025764152999790145,-0.17261624366999617,1.0,0.0154165467881636,2.289384963458718,27.100469576670072,0.012218597633549249,29.239723833544858,677.0591027169862,17.358465574819352,0.0011407402148946517,k-window MAD,0.012218597633549249,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,raw_global_3p5,0.04,0.04,0.25,5,2.302246745176225,0.026096465271269964,0.005163803160819208,0.026602450314553466,-0.1722396219173301,1.0,0.0154165467881636,2.2868301983880612,27.101681845377694,0.012630252767411056,30.074337067952104,666.2068440663749,17.58808298263188,0.0011407402148946517,k-window MAD,0.012630252767411056,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,normalized_full_3p5,0.01,0.01,0.25,5,2.3003057720010087,0.0245828001918999,0.003940663526586163,0.024896644237821296,-0.17353619397355435,1.0,0.0154165467881636,2.284889225212845,27.102603767648137,0.011830415114967947,28.531059133128675,717.7764783282169,17.14398725529515,0.0012273249508496854,k-window MAD,0.011830415114967947,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,normalized_full_3p5,0.03,0.03,0.25,5,2.298564322665778,0.0256819990932582,0.0044237839611780015,0.02606021761154904,-0.17315894313762772,1.0,0.0154165467881636,2.283147775877614,27.10343158698636,0.012392768468023561,30.205683828263787,699.2761825955216,17.40259407520092,0.0012273249508496854,k-window MAD,0.012392768468023561,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,normalized_full_3p5,0.04,0.04,0.25,5,2.2959376281693564,0.02638799798281028,0.0051985491895270765,0.026895191972111522,-0.17276886165600325,1.0,0.0154165467881636,2.2805210813811927,27.10468141370154,0.012804566419686898,31.048350522591786,687.6351400684479,17.63169613881913,0.0012273249508496854,k-window MAD,0.012804566419686898,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,normalized_union_3p5,0.01,0.01,0.25,5,2.30157627285819,0.024556605972261804,0.00393679928169407,0.024870168585300566,-0.1735251190885127,1.0,0.0154165467881636,2.2861597260700264,27.102000217421903,0.011811266791020354,28.42711099194824,715.177774798706,17.13921193764987,0.001219843049000945,k-window MAD,0.011811266791020354,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,normalized_union_3p5,0.03,0.03,0.25,5,2.299844473135996,0.025654961106727894,0.00442030679437133,0.026032981802784065,-0.1731495076913898,1.0,0.0154165467881636,2.284427926347832,27.102822990286466,0.012372879238208248,30.09594399076895,696.7521663331404,17.397874401327822,0.001219843049000945,k-window MAD,0.012372879238208248,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 3379,outer,normalized_union_3p5,0.04,0.04,0.25,5,2.2972240722786004,0.026361131869643548,0.005195931911111779,0.026868326741232816,-0.17276063739224382,1.0,0.0154165467881636,2.2818075254904366,27.104069121557693,0.012784564332593064,30.937254856911853,685.1910354234893,17.627034604129516,0.001219843049000945,k-window MAD,0.012784564332593064,"max(fit covariance + PSF MAD, k-window MAD)"
