galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 3379,inner,no_winsor,0.004473650243842351,13.021641534226674,2.1016709401254734,433,0.9245042818222592,0.007502899860861848
NGC 3379,inner,no_winsor,0.013420950731527052,2.4690384256692632,0.07361310131641843,1296,0.8396518843016741,0.00273306418375074
NGC 3379,inner,no_winsor,0.02236825121921175,2.128945394334442,0.046029138452859754,2148,0.755851540803798,0.0014581278047171593
NGC 3379,inner,no_winsor,0.031315551706896455,2.1815305421902034,0.03980342752330061,3000,0.69411537133404,0.0071325282659901795
NGC 3379,inner,no_winsor,0.04026285219458116,1.8735061851151218,0.03112765958322479,3884,0.6471303554932162,0.004631474295793162
NGC 3379,inner,no_winsor,0.04921015268226586,1.8234715122163119,0.02621953064989446,4760,0.604204048982896,0.0005051987045160401
NGC 3379,inner,no_winsor,0.05815745316995056,1.5671905162622524,0.02143773920215183,5552,0.5678413497184115,0.003330461255166541
NGC 3379,inner,no_winsor,0.06710475365763527,1.3773215182922123,0.016838537807843543,6500,0.5392958752682521,0.0007739328103025188
NGC 3379,inner,no_winsor,0.07605205414531996,1.3498545592801703,0.016215051782716206,7312,0.5062468165063383,0.0007689184652315478
NGC 3379,inner,no_winsor,0.08499935463300468,1.2673187218463329,0.013997761023538306,8176,0.4766784849206269,0.0007970004664675313
NGC 3379,inner,no_winsor,0.09394665512068937,1.1368510273407229,0.01187730201488846,9032,0.4473042455724169,0.002486377661262077
NGC 3379,inner,no_winsor,0.10289395560837407,1.0261768759765222,0.010194363388482184,9936,0.4186363773453956,0.0008433189680859503
NGC 3379,inner,no_winsor,0.11184125609605877,0.9088526751543056,0.008755974433988794,10768,0.3919174253692886,0.0008860809551183473
NGC 3379,inner,no_winsor,0.12078855658374346,0.853440943595891,0.007962800914969816,11580,0.367331923266361,0.001791351885185191
NGC 3379,inner,no_winsor,0.12973585707142818,0.7500555461238125,0.006818001781853231,12520,0.3444800699275635,0.001196389774794774
NGC 3379,inner,no_winsor,0.13868315755911287,0.6992565299499504,0.006121451287081396,13332,0.3229265997717607,0.00046706128690664726
NGC 3379,inner,no_winsor,0.14763045804679759,0.6385140399448105,0.005353075968396882,14210,0.3037797982538617,0.0015897461294024093
NGC 3379,inner,no_winsor,0.15657775853448228,0.5920488925145911,0.004835439013936495,15074,0.2841520397966729,0.001169275079144728
NGC 3379,inner,no_winsor,0.16552505902216696,0.5332599997470218,0.004193815157074538,15960,0.2650774897972482,0.0017907205828741179
NGC 3379,inner,no_winsor,0.17447235950985168,0.4592601602965805,0.0035663416395610324,16796,0.2468508236783688,0.0008272369184022158
NGC 3379,inner,no_winsor,0.1834196599975364,0.40971167639736084,0.0030621805970530614,17600,0.2300145882693958,0.002295571234333741
NGC 3379,inner,no_winsor,0.1923669604852211,0.3684181242002505,0.002637404796128344,18560,0.2155555495084525,0.002446522687505658
NGC 3379,inner,no_winsor,0.20131426097290578,0.3249406179636026,0.002374931155861433,19368,0.1999919203417601,0.001083725996007447
NGC 3379,inner,no_winsor,0.2102615614605905,0.294091595124111,0.0020911842893568907,20246,0.1868550377322221,0.00056770835112143
NGC 3379,inner,no_winsor,0.21920886194827519,0.25604154677381497,0.0017661186508478267,21078,0.174316353254397,0.0013013578427153306
NGC 3379,inner,no_winsor,0.22815616243595988,0.23258030252395182,0.0015846630965925972,22000,0.1625574390395442,0.0010545889328330868
NGC 3379,inner,no_winsor,0.2371034629236446,0.20239300149315062,0.001342690089941831,22750,0.152226303852564,0.00044423001199202146
NGC 3379,inner,no_winsor,0.2460507634113293,0.1772368364023674,0.001149631471404242,23702,0.1429030946819381,0.0010755160395689203
NGC 3379,inner,no_winsor,0.254998063899014,0.1740157465384992,0.001112465753970341,24568,0.1352752597569636,0.0005530272150504307
NGC 3379,inner,no_winsor,0.2639453643866987,0.14945987922373016,0.0009548390686423086,25424,0.1283190434250883,0.00046502463933767175
NGC 3379,inner,no_winsor,0.2728926648743834,0.13575052595219494,0.000849134577245514,26246,0.1217378567732754,0.0005272655484331407
NGC 3379,inner,no_winsor,0.2818399653620681,0.12126504992091366,0.000723098893460298,27102,0.116095318091302,0.0007202343358815992
NGC 3379,inner,no_winsor,0.2907872658497528,0.10967808017409174,0.0006539207614350035,28052,0.1107774948679617,0.0006196445173037187
NGC 3379,inner,no_winsor,0.2997345663374375,0.09749700655758853,0.0005772544157328744,28774,0.1061172385309015,0.00025648022910373946
NGC 3379,inner,no_winsor,0.3086818668251222,0.08776052874989161,0.0005111988871906914,29762,0.1009580496452575,0.0007544097320913209
NGC 3379,inner,no_winsor,0.3176291673128069,0.07969789668535746,0.00045717264309708106,30604,0.096024013422893,0.0005736394535165356
NGC 3379,inner,no_winsor,0.32657646780049165,0.0701493792791389,0.00040644291890191313,31396,0.0910294402501052,0.0002830718356723909
NGC 3379,inner,no_winsor,0.3355237682881763,0.05999486998572904,0.0003394195435309894,32310,0.0861026947188986,0.0001220308309710152
NGC 3379,inner,no_winsor,0.344471068775861,0.05305459448132386,0.0002937856883532403,33150,0.0806233468510472,0.0005338972228763344
NGC 3379,inner,no_winsor,0.35341836926354575,0.04605812453769764,0.00025501132703117084,34048,0.0751509894387111,0.00040678422436760115
NGC 3379,inner,no_winsor,0.3623656697512304,0.03957895522420174,0.00021695250191241234,34826,0.0695811338526228,0.00048656290759992133
NGC 3379,inner,no_winsor,0.3713129702389151,0.033100468779589144,0.00018145319786053588,35762,0.0642587013963004,0.00040620407218804554
NGC 3379,inner,no_winsor,0.38026027072659985,0.028134047895928053,0.00014880103558767438,36576,0.0590813821129459,0.00040207571416241465
NGC 3379,inner,no_winsor,0.3892075712142845,0.023595771344802022,0.0001249384189031258,37486,0.0538791190637794,0.0003418365522379015
NGC 3379,inner,no_winsor,0.3981548717019692,0.019886309359239376,0.00010548730763102442,38328,0.0490107853931677,0.0005414325280888754
NGC 3379,inner,no_winsor,0.40710217218965394,0.01642410679322052,8.70022531727364e-05,39182,0.0443739460268752,0.0003905021305010809
NGC 3379,inner,no_winsor,0.4160494726773386,0.013212967421122046,6.808717919372636e-05,40048,0.0401792396220465,0.0003837520852861702
NGC 3379,inner,no_winsor,0.4249967731650233,0.01072233161790813,5.391631954970966e-05,40910,0.0361814061944243,0.0004817648137346815
NGC 3379,inner,no_winsor,0.43394407365270804,0.008768141895571574,4.385339826118247e-05,41770,0.0325589820609578,0.000270868285980779
NGC 3379,inner,no_winsor,0.4428913741403927,0.0070619069292278515,3.500703404858863e-05,42612,0.0293685232508344,0.00019931080255290704
NGC 3379,inner,no_winsor,0.4518386746280775,0.0056318658422902755,2.7556687564325504e-05,43498,0.0265455220474169,0.00017459105279927635
NGC 3379,inner,no_winsor,0.46078597511576214,0.004664490768598081,2.2961124631565284e-05,44320,0.0242438048862915,0.0001180716069145246
NGC 3379,inner,no_winsor,0.4697332756034468,0.0037983402183491975,1.8328498907087963e-05,45250,0.0220330638310514,0.00024115920138079104
NGC 3379,inner,no_winsor,0.47868057609113157,0.003069582109421594,1.4711155564492498e-05,46038,0.0202540860320992,0.00019678046146265265
NGC 3379,inner,no_winsor,0.48762787657881623,0.002586024872850559,1.2645651702173313e-05,47008,0.0187238944504703,0.00023306876931981647
NGC 3379,inner,no_winsor,0.49657517706650095,0.0021564097940539794,1.059986720357547e-05,47481,0.0173229331254795,0.00023280808329272104
NGC 3379,inner,no_winsor,0.5055224775541856,0.001674029701479905,8.587211429299052e-06,39738,0.0129577048090455,0.00023723010822234022
NGC 3379,inner,no_winsor,0.5144697780418703,0.0013515298229995756,7.508689626610915e-06,34564,0.0098492008462532,0.0001112455986748084
NGC 3379,inner,no_winsor,0.5234170785295551,0.0010961033808989185,6.379290012741285e-06,31156,0.0076802500644419,8.090451716928777e-05
NGC 3379,inner,no_winsor,0.5323643790172398,0.0009204220869912226,5.591397744138086e-06,28432,0.0059875011573476,5.410795264700289e-05
NGC 3379,inner,no_winsor,0.5413116795049244,0.000817768913202293,5.14011186455877e-06,26002,0.0046623655109783,3.458639810989168e-05
NGC 3379,inner,no_winsor,0.5502589799926092,0.0007058009335651818,4.627889934035486e-06,23936,0.0035777839113634,2.561826644520484e-05
