galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 3379,no_winsor,0.01,26.802759405404196,0.01898913622839284,0.01898913622839284,"max(fit covariance + PSF MAD, k-window MAD)",27.094255716560525,0.011481539308424878,0.011481539308424878,"max(fit covariance + PSF MAD, k-window MAD)",27.016218143910088,0.00982518088582286,0.29149631115632957,0.14574815557816478,0.14574815557816478
NGC 3379,no_winsor,0.03,26.80486547254483,0.01986616079505869,0.01986616079505869,"max(fit covariance + PSF MAD, k-window MAD)",27.094995825355543,0.012027589801516515,0.012027589801516515,"max(fit covariance + PSF MAD, k-window MAD)",27.017174609916623,0.010288838918151084,0.29013035281071353,0.14506517640535677,0.14506517640535677
NGC 3379,no_winsor,0.04,26.809380512011725,0.0192154500890045,0.0192154500890045,"max(fit covariance + PSF MAD, k-window MAD)",27.09618614828411,0.012435191243259636,0.012435191243259636,"max(fit covariance + PSF MAD, k-window MAD)",27.011527533085644,0.010439802932180858,0.286805636272387,0.1434028181361935,0.1434028181361935
NGC 3379,raw_global_3p5,0.01,26.926572148003704,0.020006713163890258,0.020006713163890258,"max(fit covariance + PSF MAD, k-window MAD)",27.099700157936162,0.01166350706473318,0.01166350706473318,"max(fit covariance + PSF MAD, k-window MAD)",27.05578514448619,0.0100762419520238,0.17312800993245858,0.08656400496622929,0.08656400496622929
NGC 3379,raw_global_3p5,0.03,26.929003476453563,0.02088819629418054,0.02088819629418054,"max(fit covariance + PSF MAD, k-window MAD)",27.100469576670072,0.012218597633549249,0.012218597633549249,"max(fit covariance + PSF MAD, k-window MAD)",27.0567564505389,0.010546727809081363,0.17146610021650943,0.08573305010825472,0.08573305010825472
NGC 3379,raw_global_3p5,0.04,26.933680725482326,0.02024429412374389,0.02024429412374389,"max(fit covariance + PSF MAD, k-window MAD)",27.101681845377694,0.012630252767411056,0.012630252767411056,"max(fit covariance + PSF MAD, k-window MAD)",27.05461085582799,0.01071576582421269,0.1680011198953686,0.0840005599476843,0.0840005599476843
NGC 3379,normalized_full_3p5,0.01,26.828613362420583,0.019396071870081258,0.019396071870081258,"max(fit covariance + PSF MAD, k-window MAD)",27.10260376554526,0.011830415039447572,0.011830415039447572,"max(fit covariance + PSF MAD, k-window MAD)",27.028311150292197,0.010099943221764085,0.27399040312467804,0.13699520156233902,0.13699520156233902
NGC 3379,normalized_full_3p5,0.03,26.830838597649837,0.02027930709687574,0.02027930709687574,"max(fit covariance + PSF MAD, k-window MAD)",27.10343158488521,0.012392768387865623,0.012392768387865623,"max(fit covariance + PSF MAD, k-window MAD)",27.029312027500563,0.010574556964954242,0.27259298723537384,0.13629649361768692,0.13629649361768692
NGC 3379,normalized_full_3p5,0.04,26.835394459990823,0.019637304154453552,0.019637304154453552,"max(fit covariance + PSF MAD, k-window MAD)",27.1046814115819,0.012804566339237341,0.012804566339237341,"max(fit covariance + PSF MAD, k-window MAD)",27.024344776249723,0.010725833008092617,0.2692869515910772,0.1346434757955386,0.1346434757955386
NGC 3379,normalized_union_3p5,0.01,26.827132920469914,0.019373496711865393,0.019373496711865393,"max(fit covariance + PSF MAD, k-window MAD)",27.10200021805332,0.011811266823272281,0.011811266823272281,"max(fit covariance + PSF MAD, k-window MAD)",27.027519285990696,0.010084840374452342,0.27486729758340545,0.13743364879170272,0.13743364879170272
NGC 3379,normalized_union_3p5,0.03,26.829352076195626,0.020256333182293296,0.020256333182293296,"max(fit covariance + PSF MAD, k-window MAD)",27.102822990915463,0.012372879271133876,0.012372879271133876,"max(fit covariance + PSF MAD, k-window MAD)",27.028515889583556,0.010558942386501046,0.2734709147198373,0.13673545735991866,0.13673545735991866
NGC 3379,normalized_union_3p5,0.04,26.833904894918387,0.01961396219205651,0.01961396219205651,"max(fit covariance + PSF MAD, k-window MAD)",27.104069122192644,0.01278456436584192,0.01278456436584192,"max(fit covariance + PSF MAD, k-window MAD)",27.02351305905166,0.010710272707505094,0.2701642272742575,0.13508211363712874,0.13508211363712874
