galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 3379,inner,no_winsor,0.01,0.01,0.25,stpsf_R2024052602-NRCA3_FP1-1,27,3.014696313351417,-0.2625894796904032,0.0543873302798035,8.367643804884014e-05,3.0146126369133683,26.80168785352977,0.019588020312082864,717.002034263363,28.680081370534523,721.502034263363,18.210421483447902
NGC 3379,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,3.009349585332922,-0.26004254859788284,0.05224916402236811,8.367643804884014e-05,3.009265908894873,26.80361522894645,0.018851377965553105,664.4835202649693,26.579340810598772,668.9835202649693,18.16936356364011
NGC 3379,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,3.011722552067792,-0.2634631249406896,0.05248763655881294,8.367643804884014e-05,3.0116388756297434,26.802759405404196,0.018922496908655186,669.4688301350272,26.778753205401088,673.9688301350272,18.190582191921756
NGC 3379,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,3.022664784830382,-0.25617081261836216,0.051106930062335354,8.367643804884014e-05,3.022581108392333,26.79882173282191,0.01835803318185653,630.4029727567058,25.216118910268232,634.9029727567058,18.232910927579606
NGC 3379,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,3.0048017657232613,-0.26448515933295175,0.05477123426737449,8.367643804884014e-05,3.0047180892852126,26.8052573129113,0.01979124505404902,731.8336024598402,29.273344098393608,736.3336024598402,18.160112272326586
NGC 3379,inner,no_winsor,0.03,0.03,0.25,stpsf_R2024052602-NRCA3_FP1-1,25,3.0089193068040925,-0.26156844147264247,0.05685859441813141,8.367643804884014e-05,3.0088356303660437,26.8037704835478,0.020517383498251614,703.4428008410006,30.584469601782633,707.9882553864551,18.432731914086258
NGC 3379,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,3.004111981164344,-0.25911931951884576,0.054674777374925224,8.367643804884014e-05,3.0040283047262952,26.805506590888196,0.019760927415248042,652.913397717031,28.387539031175262,657.4588522624855,18.394461971666676
NGC 3379,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,3.0058863591199247,-0.2624289407275676,0.05481427457371159,8.367643804884014e-05,3.005802682681876,26.80486547254483,0.01979965045115052,655.4553512030241,28.498058747957568,660.0008057484786,18.41205879198177
NGC 3379,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,3.0170513101696796,-0.2551930487675089,0.05336876756520631,8.367643804884014e-05,3.016967633731631,26.800840014216398,0.0192061732784304,617.0275269591327,26.82728378083186,621.5729815045872,18.45636082907947
NGC 3379,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,2.998474448176244,-0.2633594892752912,0.05713836318180455,8.367643804884014e-05,2.9983907717381952,26.807546060439556,0.020690161593293777,715.241472137305,31.097455310317606,719.7869266827595,18.378037321201155
