galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4374,no_winsor,0.01,27.888035192927934,0.021126137174767606,0.021126137174767606,"max(fit covariance + PSF MAD, k-window MAD)",27.99397208017955,0.01610459662897793,0.01610459662897793,"max(fit covariance + PSF MAD, k-window MAD)",27.955036719047904,0.012807624759559077,0.10593688725161599,0.05296844362580799,0.05296844362580799
NGC 4374,no_winsor,0.03,27.89196005414613,0.021539929181690724,0.021539929181690724,"max(fit covariance + PSF MAD, k-window MAD)",27.996505415910967,0.01672320173901006,0.01672320173901006,"max(fit covariance + PSF MAD, k-window MAD)",27.957188053607787,0.013209429868502088,0.10454536176483842,0.05227268088241921,0.05227268088241921
NGC 4374,no_winsor,0.04,27.895818124162822,0.021566491774526082,0.021566491774526082,"max(fit covariance + PSF MAD, k-window MAD)",27.99926276297607,0.016873493550824775,0.016873493550824775,"max(fit covariance + PSF MAD, k-window MAD)",27.959984149440825,0.013289345273697586,0.10344463881324728,0.05172231940662364,0.05172231940662364
NGC 4374,raw_global_3p5,0.01,27.950723171294168,0.021462036750744543,0.021462036750744543,"max(fit covariance + PSF MAD, k-window MAD)",27.996150498770984,0.016138985563701864,0.016138985563701864,"max(fit covariance + PSF MAD, k-window MAD)",27.979741478007373,0.01289892960503142,0.04542732747681555,0.022713663738407774,0.022713663738407774
NGC 4374,raw_global_3p5,0.03,27.954639815110745,0.021901916699471533,0.021901916699471533,"max(fit covariance + PSF MAD, k-window MAD)",27.998677393828544,0.01676198652021933,0.01676198652021933,"max(fit covariance + PSF MAD, k-window MAD)",27.982411239614628,0.013311066383267199,0.04403757871779845,0.022018789358899227,0.022018789358899227
NGC 4374,raw_global_3p5,0.04,27.958589602150308,0.021917085336744666,0.021917085336744666,"max(fit covariance + PSF MAD, k-window MAD)",28.00142777357383,0.01691651465739507,0.01691651465739507,"max(fit covariance + PSF MAD, k-window MAD)",27.985434948362858,0.013391521774176914,0.0428381714235222,0.0214190857117611,0.0214190857117611
NGC 4374,normalized_full_3p5,0.01,27.901204482795166,0.02131553256123709,0.02131553256123709,"max(fit covariance + PSF MAD, k-window MAD)",27.997616547066748,0.016199235855577677,0.016199235855577677,"max(fit covariance + PSF MAD, k-window MAD)",27.962319178211068,0.012897384985506565,0.09641206427158266,0.04820603213579133,0.04820603213579133
NGC 4374,normalized_full_3p5,0.03,27.905102618175043,0.021747524900431123,0.021747524900431123,"max(fit covariance + PSF MAD, k-window MAD)",28.000161735623983,0.016822586968114114,0.016822586968114114,"max(fit covariance + PSF MAD, k-window MAD)",27.964575355225314,0.01330622479817554,0.09505911744894036,0.04752955872447018,0.04752955872447018
NGC 4374,normalized_full_3p5,0.04,27.909048354804266,0.021752562550230406,0.021752562550230406,"max(fit covariance + PSF MAD, k-window MAD)",28.002919883478725,0.01697729063388721,0.01697729063388721,"max(fit covariance + PSF MAD, k-window MAD)",27.967384874453977,0.013383561411079692,0.09387152867445892,0.04693576433722946,0.04693576433722946
NGC 4374,normalized_union_3p5,0.01,27.901399570755213,0.021317100099661458,0.021317100099661458,"max(fit covariance + PSF MAD, k-window MAD)",27.99773038027894,0.0162019235275595,0.0162019235275595,"max(fit covariance + PSF MAD, k-window MAD)",27.962458629766015,0.012899088621980699,0.09633080952372808,0.04816540476186404,0.04816540476186404
NGC 4374,normalized_union_3p5,0.03,27.905298264625706,0.02174897979094248,0.02174897979094248,"max(fit covariance + PSF MAD, k-window MAD)",28.000276044857966,0.01682536263342578,0.01682536263342578,"max(fit covariance + PSF MAD, k-window MAD)",27.96471574991722,0.013307931577500575,0.09497778023225933,0.04748889011612967,0.04748889011612967
NGC 4374,normalized_union_3p5,0.04,27.909244398115437,0.02175393526606424,0.02175393526606424,"max(fit covariance + PSF MAD, k-window MAD)",28.003034287595707,0.016980168801563885,0.016980168801563885,"max(fit covariance + PSF MAD, k-window MAD)",27.967525487151203,0.013385291096111387,0.09378988948027,0.046894944740135,0.046894944740135
