galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 4374,inner,no_winsor,0.01,0.01,0.25,stpsf_R2024051402-NRCA3_FP1-1,27,1.1081068836481431,-0.09372924591810203,0.021683533455643035,1.4752231570652008e-05,1.1080921314165726,27.888276747443054,0.02124606488251045,819.2364410740049,32.7694576429602,823.7364410740049,17.98704021545909
NGC 4374,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.1083534393340961,-0.09331322092552535,0.02144472561645243,1.4752231570652008e-05,1.1083386871025256,27.888035192927934,0.02100740078265688,801.1040130530787,32.04416052212315,805.6040130530787,17.986476915226397
NGC 4374,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,1.1095241516387209,-0.09448481668733506,0.02155748770161222,1.4752231570652008e-05,1.1095093994071503,27.886888960361084,0.021095580527551196,807.7804987953747,32.31121995181499,812.2804987953747,18.01170169667043
NGC 4374,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.1122341068378907,-0.09160916809047999,0.020357201671685986,1.4752231570652008e-05,1.1122193546063202,27.88424030405966,0.019872474607615133,717.5823686271129,28.703294745084516,722.0823686271129,18.026830429739586
NGC 4374,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,1.107946376698159,-0.09539187140234917,0.021995741569518692,1.4752231570652008e-05,1.1079316244665884,27.888434027532274,0.02155509640229611,843.0077040689505,33.720308162758016,847.5077040689505,17.996743750398405
NGC 4374,inner,no_winsor,0.03,0.03,0.25,stpsf_R2024051402-NRCA3_FP1-1,25,1.1040012885029706,-0.09299904788729542,0.02203744414769527,1.4752231570652008e-05,1.1039865362714,27.892306982420383,0.021673136569489666,761.5711268438065,33.11178812364376,766.116581389261,18.183228353838995
NGC 4374,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.1043541047209888,-0.0926034615827758,0.02183028540463065,1.4752231570652008e-05,1.1043393524894183,27.89196005414613,0.021462543348275343,746.9741783256193,32.477138188070406,751.5196328710738,18.18475049012065
NGC 4374,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,1.1055115618224765,-0.09376923357382143,0.021902751860242226,1.4752231570652008e-05,1.105496809590906,27.890822690918007,0.02151124315528199,750.3375393373384,32.62337127553645,754.8829938827929,18.209760421762287
NGC 4374,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.1084244147256737,-0.09094105690877918,0.020712058092307698,1.4752231570652008e-05,1.108409662494103,27.887965667172047,0.0202883754146195,668.1126327154503,29.048375335454363,672.6580872609048,18.229147457212726
NGC 4374,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,1.104011722892649,-0.09468587683248852,0.022409027631479214,1.4752231570652008e-05,1.1039969706610784,27.892296720573214,0.022038368998742095,787.212189742377,34.226616945320735,791.7576442878315,18.196111641900416
