galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 4406,inner,no_winsor,0.01,0.01,0.25,stpsf_R2024052602-NRCA3_FP1-1,27,1.2144430427390065,-0.10560872772232073,0.024595834277822314,3.376843773983198e-05,1.2144092743012667,27.7888329578822,0.021989775874387732,900.9273208553604,36.03709283421442,905.4273208553604,18.26678233093185
NGC 4406,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.2135442144301005,-0.10472694979819101,0.023569375192074655,3.376843773983198e-05,1.2135104459923607,27.789636848120633,0.021087683302665725,829.2018825654231,33.16807530261693,833.7018825654231,18.24201226910821
NGC 4406,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,1.212819526948101,-0.1057437996179612,0.023711309771252097,3.376843773983198e-05,1.2127857585103612,27.790285424710977,0.021227349760855278,840.117743443496,33.60470973773984,844.617743443496,18.23834746001321
NGC 4406,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.2179143066078735,-0.10311501240622493,0.02304643936298899,3.376843773983198e-05,1.2178805381701336,27.78573391976744,0.020545819415717186,787.5088370121741,31.500353480486964,792.0088370121741,18.290696255473723
NGC 4406,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,1.2089483008131878,-0.10608369313655049,0.02491558626240845,3.376843773983198e-05,1.208914532375448,27.793756650252394,0.022376895424291065,932.5908719232275,37.3036348769291,937.0908719232275,18.195291058734167
NGC 4406,inner,no_winsor,0.03,0.03,0.25,stpsf_R2024052602-NRCA3_FP1-1,25,1.208011413096241,-0.10447223903222577,0.023509618498723326,3.376843773983198e-05,1.207977644658501,27.79459840312387,0.02113055988824316,744.5158492348942,32.37025431456062,749.0613037803487,18.42047528569583
NGC 4406,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.207201786200589,-0.10360986723158512,0.022383133193250263,3.376843773983198e-05,1.2071680177628492,27.79532634370283,0.020131562240087,676.3216117317387,29.405287466597336,680.8670662771932,18.396951559658497
NGC 4406,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,1.2063892892826356,-0.10460540612284698,0.022452291102286723,3.376843773983198e-05,1.2063555208448957,27.79605735571849,0.020207364171093103,681.3839898188792,29.6253908616904,685.9294443643337,18.391262385522268
NGC 4406,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.211479447619074,-0.10199446120042045,0.021649378558446102,3.376843773983198e-05,1.2114456791813342,27.791485782705145,0.01940286264201607,628.5969403989178,27.330301756474686,633.1423949443723,18.444229498621723
NGC 4406,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,1.2023947145568958,-0.10491820751554495,0.023733122231168507,3.376843773983198e-05,1.202360946119156,27.79965849220575,0.02143109366742193,765.6548953715444,33.28934327702367,770.2003499169989,18.345040365457123
NGC 4406,inner,no_winsor,0.04,0.04,0.25,stpsf_R2024052602-NRCA3_FP1-1,24,1.2039940846099537,-0.10376663649981482,0.023433269439963256,3.376843773983198e-05,1.2039603161722139,27.798215215072037,0.021132215642879298,694.4240979012784,31.564731722785382,698.995526472707,18.59055831111478
NGC 4406,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.2034921076270646,-0.10296017051032516,0.022388013683538373,3.376843773983198e-05,1.2034583391893248,27.798667994310048,0.02019802116724045,634.8378330374895,28.856265138067705,639.4092616089181,18.572280626197553
NGC 4406,inner,no_winsor,0.04,0.04,0.25,stpsf_field_768_1024,24,1.2025682528008075,-0.10393273859248618,0.022405459756286505,3.376843773983198e-05,1.2025344843630676,27.799501797862817,0.020229290018685994,636.7900220474999,28.945001002159085,641.3614506189284,18.56444775748613
NGC 4406,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.2080685263758855,-0.1014034403358825,0.021747819464206838,3.376843773983198e-05,1.2080347579381456,27.794547070642775,0.019546122172125382,594.8054131014217,27.036609686428257,599.3768416728502,18.62554130523677
NGC 4406,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_768,24,1.1987396571198625,-0.10427146722802938,0.02384895910004228,3.376843773983198e-05,1.1987058886821227,27.80296404888387,0.021601360755122093,725.3301305509626,32.96955138868012,729.9015591223912,18.520855657694423
NGC 4406,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_R2024052602-NRCA3_FP1-1,27,1.1662596246951342,-0.1015984875560124,0.02376119155173966,3.376843773983198e-05,1.1662258562573944,27.832788981222357,0.022121260472399314,910.7203222652871,36.42881289061148,915.2203222652871,18.263209299291905
NGC 4406,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.1654048465094025,-0.1007525684076334,0.02276862433788378,3.376843773983198e-05,1.1653710780716626,27.833585056780013,0.021212745228826893,838.142828272523,33.525713130900925,842.642828272523,18.238473312331077
NGC 4406,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,1.1647092172544198,-0.10172963213204758,0.022910822118776437,3.376843773983198e-05,1.16467544881668,27.834233344169082,0.02135797494521092,849.5481797899135,33.98192719159654,854.0481797899135,18.234873022097634
NGC 4406,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.1696083451608497,-0.09920607623412617,0.022278946264172643,3.376843773983198e-05,1.1695745767231098,27.829675847506927,0.020681929176885428,797.0937183728544,31.883748734914175,801.5937183728544,18.28730690332395
NGC 4406,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,1.1609902209596632,-0.10205614590098104,0.0240550716828199,3.376843773983198e-05,1.1609564525219234,27.837705821788745,0.022496504651277113,941.5484701940131,37.66193880776053,946.0484701940131,18.19177326003368
NGC 4406,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_R2024052602-NRCA3_FP1-1,25,1.1600913388617546,-0.10050783382281221,0.02275977291093269,3.376843773983198e-05,1.1600575704240148,27.838546789466363,0.02130162337757146,755.7248293288277,32.857601275166424,760.2702838742822,18.41764209866894
NGC 4406,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.1593230251676776,-0.09968069920822281,0.021672223843245644,3.376843773983198e-05,1.1592892567299378,27.83926611786953,0.020297193239422622,686.6909249529762,29.85612717186853,691.2363794984307,18.394163456388487
NGC 4406,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,1.1585423051121138,-0.10063715766022119,0.021745914141516515,3.376843773983198e-05,1.158508536674374,27.839997550149413,0.02037993294100561,692.2556848153847,30.098073252842813,696.8011393608392,18.388529686259385
NGC 4406,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.1634372552454746,-0.09813076032438685,0.02098502542473467,3.376843773983198e-05,1.1634034868077348,27.835419743238692,0.0195840928102441,639.6397617706444,27.810424424810627,644.185216316099,18.44159062456618
NGC 4406,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,1.1547037222120533,-0.10093744277280378,0.0229595766795159,3.376843773983198e-05,1.1546699537743135,27.843600983496522,0.02158889089075853,776.0601176425431,33.74174424532796,780.6055721879976,18.34224418246816
NGC 4406,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_R2024052602-NRCA3_FP1-1,24,1.1561520342893223,-0.09981548797350814,0.02264970018500097,3.376843773983198e-05,1.1561182658515825,27.842239988966057,0.021270833827418675,702.8166514471774,31.946211429417154,707.3880800186059,18.58531692028183
NGC 4406,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.1556732538635466,-0.09904108115652463,0.021640576648688015,3.376843773983198e-05,1.1556394854258067,27.842689715369733,0.020331563481206776,642.5822332961548,29.208283331643397,647.1536618675833,18.567012012442767
NGC 4406,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,1.1547879302166921,-0.09997579853458767,0.021664369756031917,3.376843773983198e-05,1.1547541617789523,27.843521805593433,0.020369522254983247,644.9653774048166,29.316608063855302,649.5368059762452,18.559265911613853
NGC 4406,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.1600678934839261,-0.09754655904476503,0.021045585326349595,3.376843773983198e-05,1.1600341250461863,27.83856873299178,0.019697656685948292,603.4211245247564,27.42823293294347,607.9925530961849,18.62034215845017
NGC 4406,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,1.1511056986545014,-0.10030038277876366,0.023036316105979712,3.376843773983198e-05,1.1510719302167616,27.84698948733554,0.021728757138404914,733.1358469540673,33.324356679730336,737.7072755254959,18.51557082927553
NGC 4406,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_R2024052602-NRCA3_FP1-1,27,1.2033665887197664,-0.10465076105720084,0.02449897456605172,3.376843773983198e-05,1.2033328202820266,27.79878124088038,0.022104793634380216,909.5235051836448,36.380940207345795,914.0235051836448,18.262455226216503
NGC 4406,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.202471079462384,-0.10377641761648689,0.02349338072497378,3.376843773983198e-05,1.2024373110246442,27.79958953661462,0.021213258929511074,838.3163566658161,33.53265426663265,842.8163566658161,18.237664524820502
NGC 4406,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,1.2017543801527637,-0.10478403276445884,0.023624143488013217,3.376843773983198e-05,1.2017206117150239,27.800236870472407,0.021344052553722438,848.5865153299602,33.94346061319841,853.0865153299602,18.23395637874993
NGC 4406,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.206809615879537,-0.10218009857609002,0.022967340974177516,3.376843773983198e-05,1.2067758474417971,27.795679122013777,0.02066371619514208,795.8296074624674,31.833184298498693,800.3296074624674,18.28636826419167
NGC 4406,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,1.197918268703661,-0.1051212282978636,0.02481848162952019,3.376843773983198e-05,1.197884500265921,27.80370828217519,0.02249492671982376,941.5675366550918,37.66270146620367,946.0675366550918,18.19097396986632
NGC 4406,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_R2024052602-NRCA3_FP1-1,25,1.1969876255454333,-0.10352324573724041,0.023439914851937253,3.376843773983198e-05,1.1969538571076934,27.80455212453169,0.021261942588741155,753.0626787807043,32.741855599161056,757.6081333261588,18.416427744377287
NGC 4406,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.1961808449297322,-0.10266819773116834,0.02233791394418371,3.376843773983198e-05,1.1961470764919924,27.80528418806035,0.020276003164343376,685.3841126236956,29.799309244508503,689.9295671691501,18.392888295204884
NGC 4406,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,1.1953769532624199,-0.10365465538460036,0.022395306261865474,3.376843773983198e-05,1.19534318482468,27.806014121470408,0.020341768902727386,689.8017556255176,29.99138067937033,694.3472101709721,18.387150695192865
NGC 4406,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.200427862376653,-0.10106846443095163,0.021603206456789363,3.376843773983198e-05,1.2003940939389133,27.80143602096992,0.019539735747978796,636.8736365545104,27.69015811106567,641.4190910999649,18.440187045036083
NGC 4406,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,1.191418078083404,-0.10396489546555047,0.023664768782289316,3.376843773983198e-05,1.1913843096456642,27.80961595541576,0.021566253673261114,774.5778916556949,33.67729963720412,779.1233462011494,18.340995562079733
NGC 4406,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_R2024052602-NRCA3_FP1-1,24,1.1929443597790952,-0.1028128790625773,0.023340757602194364,3.376843773983198e-05,1.1929105913413554,27.808225909644715,0.021243759389117784,701.0959897110791,31.86799953232178,705.6674182825077,18.585370761879688
NGC 4406,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.1924390711890307,-0.10201268585154982,0.02232080994953627,3.376843773983198e-05,1.1924053027512909,27.808685899137636,0.020324055441400347,642.1593773868849,29.18906260849477,646.7308059583135,18.56704158006324
NGC 4406,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,1.191526187885765,-0.10297655523339856,0.02232570395543924,3.376843773983198e-05,1.1914924194480252,27.809517436910664,0.020344086697892366,643.4160830180103,29.24618559172774,647.9875115894389,18.55917328318768
NGC 4406,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.1969786982503,-0.1004706401173565,0.021679301954982258,3.376843773983198e-05,1.19694492981256,27.80456022235737,0.019665067656950558,601.4853635149922,27.340243796136008,606.0567920864207,18.620284544324672
NGC 4406,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,1.1877301376361513,-0.10331214386489254,0.02375850587189012,3.376843773983198e-05,1.1876963691984115,27.812982073855935,0.021718909533654074,732.5320447687872,33.29691112585396,737.1034733402157,18.515631762014497
NGC 4406,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_R2024052602-NRCA3_FP1-1,27,1.2028776169011106,-0.10461356735182822,0.024492846413425296,3.376843773983198e-05,1.2028438484633708,27.799222517217924,0.022108248001274915,909.8136203447788,36.39254481379115,914.3136203447788,18.262813313621322
NGC 4406,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.2019827433383445,-0.1037396099914138,0.02348725917356428,3.376843773983198e-05,1.2019489749006047,27.800030567425978,0.021216347921412426,838.5662685793894,33.54265074317558,843.0662685793894,18.238022026698403
NGC 4406,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,1.2012662743184122,-0.10474682061918308,0.023618325565774242,3.376843773983198e-05,1.2012325058806723,27.800677956217708,0.021347466903358148,848.8635873927109,33.954543495708435,853.3635873927109,18.234315778721196
NGC 4406,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.2063198026626938,-0.10214400490117316,0.022961702775790814,3.376843773983198e-05,1.206286034224954,27.79611989641284,0.02066703196359993,796.0903880605686,31.84361552242274,800.5903880605686,18.286732282847517
NGC 4406,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,1.19743148683196,-0.10508383013376504,0.024811892210783167,3.376843773983198e-05,1.1973977183942202,27.804149580244438,0.022498096720887775,941.8391600655596,37.673566402622384,946.3391600655596,18.191328301968582
NGC 4406,inner,normalized_union_3p5,0.03,0.03,0.25,stpsf_R2024052602-NRCA3_FP1-1,25,1.1965008589291097,-0.10348644133533133,0.023434503178136043,3.376843773983198e-05,1.19646709049137,27.804993751940714,0.021265681892322197,753.3334707284332,32.75362916210579,757.8789252738877,18.416770195250017
NGC 4406,inner,normalized_union_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.1956946654120622,-0.1026317696665627,0.022332521636541435,3.376843773983198e-05,1.1956608969743223,27.805725580277013,0.020279351232189734,685.616145122333,29.80939761401448,690.1615996677875,18.393230079825983
NGC 4406,inner,normalized_union_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,1.1948910554601382,-0.10361783375458071,0.022390311324014405,3.376843773983198e-05,1.1948572870223984,27.806455554604767,0.02034550226568829,690.0604678230007,30.00262903578264,694.6059223684553,18.387494629081715
NGC 4406,inner,normalized_union_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.199940255440258,-0.10103275453248939,0.021598471066041035,3.376843773983198e-05,1.1999064870025182,27.801877142816092,0.01954339130410289,637.1171325717189,27.700744894422563,641.6625871171734,18.440535661174433
NGC 4406,inner,normalized_union_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,1.1909335838147532,-0.10392790377821048,0.023658895836031767,3.376843773983198e-05,1.1908998153770134,27.810057576102565,0.02156967315143045,774.8297704305137,33.68825088828321,779.3752249759682,18.341334622053576
NGC 4406,inner,normalized_union_3p5,0.04,0.04,0.25,stpsf_R2024052602-NRCA3_FP1-1,24,1.1924575148320218,-0.1027760600858224,0.023334697697550835,3.376843773983198e-05,1.192423746394282,27.80866910553899,0.021246915112121414,701.3105991781072,31.87775450809578,705.8820277495357,18.58567938746125
NGC 4406,inner,normalized_union_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.1919525911820192,-0.10197620446217497,0.022314725875933403,3.376843773983198e-05,1.1919188227442794,27.809128950447803,0.02032680860511248,642.3394008442496,29.197245492920434,646.9108294156781,18.567348482068645
NGC 4406,inner,normalized_union_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,1.1910400731111512,-0.10293969463216573,0.022320051306340016,3.376843773983198e-05,1.1910063046734114,27.809960494791405,0.02034723720626946,643.6212303628221,29.25551047103737,648.1926589342506,18.55948282300565
NGC 4406,inner,normalized_union_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.196490560619494,-0.10043483756680638,0.021673886863388274,3.376843773983198e-05,1.1964567921817542,27.80500309720044,0.019668176752543762,601.6811066962331,27.349141213465142,606.2525352676616,18.62059723362303
NGC 4406,inner,normalized_union_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,1.1872453064097683,-0.10327509184040527,0.023751945876371104,3.376843773983198e-05,1.1872115379720285,27.813425374264682,0.02172177977269562,732.7323827580482,33.3060173980931,737.3038113294767,18.51593578171913
NGC 4406,outer,no_winsor,0.01,0.01,0.25,stpsf_R2024052602-NRCA3_FP1-1,27,1.108410743319793,-0.08938823900113109,0.016931815104319965,0.0065523504125533,1.1018583929072396,27.894431185801533,0.016684071918285373,1543.2270079749053,61.72908031899621,1547.7270079749053,17.527163675217775
NGC 4406,outer,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.107704124430865,-0.08884658488243116,0.01698785126187385,0.0065523504125533,1.1011517740183117,27.8951276889303,0.016750029915272874,1555.369764864786,62.21479059459144,1559.869764864786,17.51406849427867
