galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 4406,inner,no_winsor,0.01,0.01,0.25,5,1.2135442144301005,0.023711309771252097,0.0013326028507839977,0.02374872715381169,-0.10560872772232073,1.0,3.376843773983198e-05,1.2135104459923607,27.789636848120633,0.02124815074560813,33.60470973773984,844.617743443496,18.24201226910821,0.0049543311902622705,k-window MAD,0.02124815074560813,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,inner,no_winsor,0.03,0.03,0.25,5,1.207201786200589,0.022452291102286723,0.0012046079305578397,0.02248458262917474,-0.10447223903222577,1.0,3.376843773983198e-05,1.2071680177628492,27.79532634370283,0.020222806643446545,29.6253908616904,685.9294443643337,18.396951559658497,0.0049543311902622705,k-window MAD,0.020222806643446545,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,inner,no_winsor,0.04,0.04,0.25,5,1.2034921076270646,0.022405459756286505,0.001369707165408806,0.02244728768937455,-0.10376663649981482,1.0,3.376843773983198e-05,1.2034583391893248,27.798667994310048,0.020251496997721406,28.945001002159085,641.3614506189284,18.572280626197553,0.0049543311902622705,k-window MAD,0.020251496997721406,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,inner,raw_global_3p5,0.01,0.01,0.25,5,1.1654048465094025,0.022910822118776437,0.001267294138165913,0.022945845039807216,-0.1015984875560124,1.0,3.376843773983198e-05,1.1653710780716626,27.833585056780013,0.0213778556695539,33.98192719159654,854.0481797899135,18.238473312331077,0.00507582565379939,k-window MAD,0.0213778556695539,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,inner,raw_global_3p5,0.03,0.03,0.25,5,1.1593230251676776,0.021745914141516515,0.0011574955543789548,0.02177669804650409,-0.10050783382281221,1.0,3.376843773983198e-05,1.1592892567299378,27.83926611786953,0.020395038901566437,30.098073252842813,696.8011393608392,18.394163456388487,0.00507582565379939,k-window MAD,0.020395038901566437,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,inner,raw_global_3p5,0.04,0.04,0.25,5,1.1556732538635466,0.021664369756031917,0.001312580838826411,0.02170409605085005,-0.09981548797350814,1.0,3.376843773983198e-05,1.1556394854258067,27.842689715369733,0.020391240669033656,29.316608063855302,649.5368059762452,18.567012012442767,0.00507582565379939,k-window MAD,0.020391240669033656,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,inner,normalized_full_3p5,0.01,0.01,0.25,5,1.202471079462384,0.023624143488013217,0.0013276820249950782,0.0236614220853636,-0.10465076105720084,1.0,3.376843773983198e-05,1.2024373110246442,27.79958953661462,0.021364991237881117,33.94346061319841,853.0865153299602,18.237664524820502,0.005043376843181814,k-window MAD,0.021364991237881117,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,inner,normalized_full_3p5,0.03,0.03,0.25,5,1.1961808449297322,0.022395306261865474,0.0011961329408383807,0.02242722623453265,-0.10352324573724041,1.0,3.376843773983198e-05,1.1961470764919924,27.80528418806035,0.020357071445215747,29.99138067937033,694.3472101709721,18.392888295204884,0.005043376843181814,k-window MAD,0.020357071445215747,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,inner,normalized_full_3p5,0.04,0.04,0.25,5,1.1924390711890307,0.02232570395543924,0.001353440785421676,0.022366690838511588,-0.1028128790625773,1.0,3.376843773983198e-05,1.1924053027512909,27.808685899137636,0.02036583195996501,29.24618559172774,647.9875115894389,18.56704158006324,0.005043376843181814,k-window MAD,0.02036583195996501,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,inner,normalized_union_3p5,0.01,0.01,0.25,5,1.2019827433383445,0.023618325565774242,0.0013267395441569816,0.023655560453071812,-0.10461356735182822,1.0,3.376843773983198e-05,1.2019489749006047,27.800030567425978,0.021368376664965,33.954543495708435,853.3635873927109,18.238022026698403,0.005045836615214009,k-window MAD,0.021368376664965,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,inner,normalized_union_3p5,0.03,0.03,0.25,5,1.1956946654120622,0.022390311324014405,0.001195262508374745,0.022422191990307594,-0.10348644133533133,1.0,3.376843773983198e-05,1.1956608969743223,27.805725580277013,0.0203607776214141,30.00262903578264,694.6059223684553,18.393230079825983,0.005045836615214009,k-window MAD,0.0203607776214141,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,inner,normalized_union_3p5,0.04,0.04,0.25,5,1.1919525911820192,0.022320051306340016,0.001352899291868907,0.02236101578219536,-0.1027760600858224,1.0,3.376843773983198e-05,1.1919188227442794,27.809128950447803,0.020368974754504894,29.25551047103737,648.1926589342506,18.567348482068645,0.005045836615214009,k-window MAD,0.020368974754504894,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4406,outer,no_winsor,0.01,0.01,0.25,5,1.107704124430865,0.01698785126187385,0.0038098416954853924,0.017409824359832238,-0.08890609775479126,1.0,0.0065523504125533,1.1011517740183117,27.8951276889303,0.017166095602762516,62.21479059459144,1559.869764864786,17.51406849427867,0.0041325505469017145,k-window MAD,0.017166095602762516,"max(fit covariance + PSF MAD, k-window MAD)"
