galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4472,no_winsor,0.01,27.697965859259874,0.029859075729913104,0.029859075729913104,"max(fit covariance + PSF MAD, k-window MAD)",27.72899519703169,0.04447011308639551,0.04447011308639551,"max(fit covariance + PSF MAD, k-window MAD)",27.707607948842185,0.024789488252981606,0.031029337771816046,0.015514668885908023,0.024789488252981606
NGC 4472,no_winsor,0.03,27.7042879469253,0.02627570392811392,0.02627570392811392,"max(fit covariance + PSF MAD, k-window MAD)",27.7375678222524,0.04294439386759177,0.04294439386759177,"max(fit covariance + PSF MAD, k-window MAD)",27.713353101739916,0.022413167909629723,0.03327987532709997,0.016639937663549986,0.022413167909629723
NGC 4472,no_winsor,0.04,27.709089095182417,0.02594014739470916,0.02594014739470916,"max(fit covariance + PSF MAD, k-window MAD)",27.74512090065178,0.04217008065361091,0.04217008065361091,"max(fit covariance + PSF MAD, k-window MAD)",27.718980339378206,0.02209463754531389,0.036031805469363576,0.018015902734681788,0.02209463754531389
NGC 4472,raw_global_3p5,0.01,27.774812544532278,0.03044405581710089,0.03044405581710089,"max(fit covariance + PSF MAD, k-window MAD)",27.730401031858335,0.04450298114256006,0.04450298114256006,"max(fit covariance + PSF MAD, k-window MAD)",27.760654528775756,0.02512710861622975,-0.04441151267394261,0.022205756336971305,0.02512710861622975
NGC 4472,raw_global_3p5,0.03,27.78110849911068,0.026812894926594555,0.026812894926594555,"max(fit covariance + PSF MAD, k-window MAD)",27.738975240159274,0.04298281968151158,0.04298281968151158,"max(fit covariance + PSF MAD, k-window MAD)",27.76930586456632,0.022749499979934598,-0.04213325895140585,0.021066629475702925,0.022749499979934598
NGC 4472,raw_global_3p5,0.04,27.785908623531043,0.02646314235846524,0.02646314235846524,"max(fit covariance + PSF MAD, k-window MAD)",27.74652927853888,0.04221115880534725,0.04221115880534725,"max(fit covariance + PSF MAD, k-window MAD)",27.774798073260968,0.022421301315192665,-0.03937934499216311,0.019689672496081556,0.022421301315192665
NGC 4472,normalized_full_3p5,0.01,27.70492550110168,0.03008168247607253,0.03008168247607253,"max(fit covariance + PSF MAD, k-window MAD)",27.729389508761997,0.04448665397749355,0.04448665397749355,"max(fit covariance + PSF MAD, k-window MAD)",27.71260160970935,0.024919337685426583,0.024464007660316867,0.012232003830158433,0.024919337685426583
NGC 4472,normalized_full_3p5,0.03,27.711225277390113,0.026560511945857762,0.026560511945857762,"max(fit covariance + PSF MAD, k-window MAD)",27.73796148617687,0.0429621979743234,0.0429621979743234,"max(fit covariance + PSF MAD, k-window MAD)",27.71861837237753,0.022591742175636288,0.026736208786758198,0.013368104393379099,0.022591742175636288
NGC 4472,normalized_full_3p5,0.04,27.716039358095852,0.02619532319949866,0.02619532319949866,"max(fit covariance + PSF MAD, k-window MAD)",27.74551412222585,0.042189154302398314,0.042189154302398314,"max(fit covariance + PSF MAD, k-window MAD)",27.724240677169863,0.02225448276621627,0.029474764129997055,0.014737382064998528,0.02225448276621627
NGC 4472,normalized_union_3p5,0.01,27.70250734576833,0.030054730635249067,0.030054730635249067,"max(fit covariance + PSF MAD, k-window MAD)",27.72913374668819,0.044477382913494755,0.044477382913494755,"max(fit covariance + PSF MAD, k-window MAD)",27.71085406571016,0.024902383239821874,0.026626400919862903,0.013313200459931451,0.024902383239821874
NGC 4472,normalized_union_3p5,0.03,27.708811183035085,0.026531175054980857,0.026531175054980857,"max(fit covariance + PSF MAD, k-window MAD)",27.73770602990745,0.042952267810777794,0.042952267810777794,"max(fit covariance + PSF MAD, k-window MAD)",27.716791084223104,0.022572239883516487,0.02889484687236532,0.01444742343618266,0.022572239883516487
NGC 4472,normalized_union_3p5,0.04,27.7136237348153,0.02616881221452409,0.02616881221452409,"max(fit covariance + PSF MAD, k-window MAD)",27.74525917191877,0.04217830474394212,0.04217830474394212,"max(fit covariance + PSF MAD, k-window MAD)",27.722416663845905,0.022236630754999844,0.031635437103471276,0.015817718551735638,0.022236630754999844
