galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 4472,inner,no_winsor,0.01,0.01,0.25,5,1.3206434784152916,0.03630731852390792,0.0006698073809527915,0.036313496393546106,-0.1146114517836644,1.0,0.0002115229034019,1.3204319555118897,27.697965859259874,0.029859075729913104,65.49165716878633,1641.7914292196583,18.482248707846818,0.007118182405999482,k-window MAD,0.029859075729913104,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,inner,no_winsor,0.03,0.03,0.25,5,1.3129771324201998,0.03176401877849017,0.0006165100422688082,0.03177000115820732,-0.11324737136992628,1.0,0.0002115229034019,1.3127656095167979,27.7042879469253,0.02627570392811392,49.714388105628466,1147.9763809749093,18.555849456878768,0.007118182405999482,k-window MAD,0.02627570392811392,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,inner,no_winsor,0.04,0.04,0.25,5,1.3071848715642322,0.031213522477178093,0.0008788266431584886,0.03122589184798454,-0.11218694499284193,1.0,0.0002115229034019,1.3069733486608304,27.709089095182417,0.02594014739470916,47.192050633503555,1042.796542508507,18.70702486361273,0.007118182405999482,k-window MAD,0.02594014739470916,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,inner,raw_global_3p5,0.01,0.01,0.25,5,1.230416138029011,0.03448832215979789,0.000676261132903196,0.034494951725113084,-0.10717320091837387,1.0,0.0002115229034019,1.2302046151256092,27.774812544532278,0.03044405581710089,68.10088489861705,1707.0221224654265,18.526483237670277,0.0071166644656305705,k-window MAD,0.03044405581710089,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,inner,raw_global_3p5,0.03,0.03,0.25,5,1.2233030851755804,0.030199383823660688,0.0005806976120971555,0.030204966363918936,-0.1059081032137459,1.0,0.0002115229034019,1.2230915622721785,27.78110849911068,0.026812894926594555,51.80622131824844,1196.0885448651686,18.596881293528767,0.0071166644656305705,k-window MAD,0.026812894926594555,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,inner,raw_global_3p5,0.04,0.04,0.25,5,1.2179076376448799,0.0296684578861369,0.0008081012767109067,0.029679461265577252,-0.10492152261016496,1.0,0.0002115229034019,1.217696114741478,27.785908623531043,0.02646314235846524,49.1732633212434,1086.3832216387834,18.74411284596633,0.0071166644656305705,k-window MAD,0.02646314235846524,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,inner,normalized_full_3p5,0.01,0.01,0.25,5,1.3122064907980884,0.03634373276549937,0.0006995732250827909,0.036350465114318484,-0.114603457321251,1.0,0.0002115229034019,1.3119949678946865,27.70492550110168,0.03008168247607253,66.77506991081066,1673.8767477702665,18.55379764710456,0.007137356054328096,k-window MAD,0.03008168247607253,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,inner,normalized_full_3p5,0.03,0.03,0.25,5,1.3046159340616663,0.03190366791611114,0.0006266645021030746,0.0319098219189593,-0.11325336827923747,1.0,0.0002115229034019,1.3044044111582644,27.711225277390113,0.026560511945857762,51.0350875470554,1178.3524681277286,18.627300913878095,0.007137356054328096,k-window MAD,0.026560511945857762,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,inner,normalized_full_3p5,0.04,0.04,0.25,5,1.2988450965626248,0.031319481130732796,0.0008803733823605748,0.031331852093208545,-0.11219854715468582,1.0,0.0002115229034019,1.298633573659223,27.716039358095852,0.02619532319949866,48.36383232534021,1068.5757397289133,18.776114860025025,0.007137356054328096,k-window MAD,0.02619532319949866,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,inner,normalized_union_3p5,0.01,0.01,0.25,5,1.3151318268609444,0.036392212589863235,0.0006963523329478207,0.03639887421002746,-0.11482421285969095,1.0,0.0002115229034019,1.3149203039575426,27.70250734576833,0.030054730635249067,66.6369781836839,1670.4244545920974,18.547901137445447,0.007135089269347585,k-window MAD,0.030054730635249067,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,inner,normalized_union_3p5,0.03,0.03,0.25,5,1.3075194558387309,0.03193940304064783,0.0006255004484773869,0.031945527345842786,-0.11347010648497502,1.0,0.0002115229034019,1.307307932935329,27.708811183035085,0.026531175054980857,50.90687074543148,1175.4034816903786,18.62154367723008,0.007135089269347585,k-window MAD,0.026531175054980857,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,inner,normalized_union_3p5,0.04,0.04,0.25,5,1.301737605618056,0.03135751175956218,0.0008800623393793192,0.03136985899669099,-0.11241312859906093,1.0,0.0002115229034019,1.3015260827146542,27.7136237348153,0.02616881221452409,48.25088543818112,1066.0909082114133,18.770427803247856,0.007135089269347585,k-window MAD,0.02616881221452409,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,outer,no_winsor,0.01,0.01,0.25,5,1.2835003312326094,0.05249108945496056,0.002673601485854802,0.05255913447797478,-0.11183049240581007,1.0,0.0002709613719296,1.2832293698606798,27.72899519703169,0.04447011308639551,406.88187331735503,10176.546832933876,18.908832310985712,0.0111981940349195,k-window MAD,0.04447011308639551,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,outer,no_winsor,0.03,0.03,0.25,5,1.2734082575737002,0.05028723835927738,0.0026443305865622227,0.05035671579892603,-0.11004078889678544,1.0,0.0002709613719296,1.2731372962017706,27.7375678222524,0.04294439386759177,369.43027137997194,8501.441696284808,18.999527395266906,0.0111981940349195,k-window MAD,0.04294439386759177,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,outer,no_winsor,0.04,0.04,0.25,5,1.2645822321614466,0.04902981005667425,0.0027335131798295873,0.04910595043879975,-0.10849312709125794,1.0,0.0002709613719296,1.264311270789517,27.74512090065178,0.04217008065361091,346.13379360809944,7619.514887949616,19.11741150987903,0.0111981940349195,k-window MAD,0.04217008065361091,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4472,outer,raw_global_3p5,0.01,0.01,0.25,5,1.2818398532085526,0.05246213669158399,0.002667720577230332,0.05252992022956651,-0.1117519137915576,1.0,0.0002709613719296,1.281568891836623,27.730401031858335,0.04450298114256006,407.69349298798954,10196.837324699738,18.91666795620305,0.011199617301603853,k-window MAD,0.04450298114256006,"max(fit covariance + PSF MAD, k-window MAD)"
