galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4472,no_winsor,0.01,27.697965859259874,0.029859075729913104,0.029859075729913104,"max(fit covariance + PSF MAD, k-window MAD)",27.72899519703169,0.04447011308639551,0.04447011308639551,"max(fit covariance + PSF MAD, k-window MAD)",27.707607948842185,0.024789488252981606,0.031029337771816046,0.015514668885908023,0.024789488252981606
NGC 4472,no_winsor,0.03,27.7042879469253,0.02627570392811392,0.02627570392811392,"max(fit covariance + PSF MAD, k-window MAD)",27.7375678222524,0.04294439386759177,0.04294439386759177,"max(fit covariance + PSF MAD, k-window MAD)",27.713353101739916,0.022413167909629723,0.03327987532709997,0.016639937663549986,0.022413167909629723
NGC 4472,no_winsor,0.04,27.709089095182417,0.02594014739470916,0.02594014739470916,"max(fit covariance + PSF MAD, k-window MAD)",27.74512090065178,0.04217008065361091,0.04217008065361091,"max(fit covariance + PSF MAD, k-window MAD)",27.718980339378206,0.02209463754531389,0.036031805469363576,0.018015902734681788,0.02209463754531389
NGC 4472,raw_global_3p5,0.01,27.774812544532278,0.03044405581710089,0.03044405581710089,"max(fit covariance + PSF MAD, k-window MAD)",27.730401031858335,0.04450298114256006,0.04450298114256006,"max(fit covariance + PSF MAD, k-window MAD)",27.760654528775756,0.02512710861622975,-0.04441151267394261,0.022205756336971305,0.02512710861622975
NGC 4472,raw_global_3p5,0.03,27.78110849911068,0.026812894926594555,0.026812894926594555,"max(fit covariance + PSF MAD, k-window MAD)",27.738975240159274,0.04298281968151158,0.04298281968151158,"max(fit covariance + PSF MAD, k-window MAD)",27.76930586456632,0.022749499979934598,-0.04213325895140585,0.021066629475702925,0.022749499979934598
NGC 4472,raw_global_3p5,0.04,27.785908623531043,0.02646314235846524,0.02646314235846524,"max(fit covariance + PSF MAD, k-window MAD)",27.74652927853888,0.04221115880534725,0.04221115880534725,"max(fit covariance + PSF MAD, k-window MAD)",27.774798073260968,0.022421301315192665,-0.03937934499216311,0.019689672496081556,0.022421301315192665
NGC 4472,normalized_full_3p5,0.01,27.704925502560357,0.03008168254618789,0.03008168254618789,"max(fit covariance + PSF MAD, k-window MAD)",27.72938950883877,0.04448665394945724,0.04448665394945724,"max(fit covariance + PSF MAD, k-window MAD)",27.712601610765624,0.02491933772035699,0.024464006278414274,0.012232003139207137,0.02491933772035699
NGC 4472,normalized_full_3p5,0.03,27.711225278845298,0.026560512032213136,0.026560512032213136,"max(fit covariance + PSF MAD, k-window MAD)",27.73796148625267,0.04296219793817728,0.04296219793817728,"max(fit covariance + PSF MAD, k-window MAD)",27.718618373495072,0.022591742223521276,0.026736207407370927,0.013368103703685463,0.022591742223521276
NGC 4472,normalized_full_3p5,0.04,27.71603935953601,0.02619532329345167,0.02619532329345167,"max(fit covariance + PSF MAD, k-window MAD)",27.745514122302794,0.04218915426289041,0.04218915426289041,"max(fit covariance + PSF MAD, k-window MAD)",27.72424067828425,0.022254482818026736,0.02947476276678529,0.014737381383392645,0.022254482818026736
NGC 4472,normalized_union_3p5,0.01,27.702507345027424,0.030054730666296135,0.030054730666296135,"max(fit covariance + PSF MAD, k-window MAD)",27.729133746602724,0.04447738291704849,0.04447738291704849,"max(fit covariance + PSF MAD, k-window MAD)",27.71085406518564,0.02490238325810617,0.026626401575299496,0.013313200787649748,0.02490238325810617
NGC 4472,normalized_union_3p5,0.03,27.708811182300273,0.026531175093482743,0.026531175093482743,"max(fit covariance + PSF MAD, k-window MAD)",27.737706029817545,0.0429522678173364,0.0429522678173364,"max(fit covariance + PSF MAD, k-window MAD)",27.7167910836814,0.022572239908178627,0.02889484751727167,0.014447423758635836,0.022572239908178627
NGC 4472,normalized_union_3p5,0.04,27.713623734079828,0.026168812260739194,0.026168812260739194,"max(fit covariance + PSF MAD, k-window MAD)",27.745259171832,0.042178304752037384,0.042178304752037384,"max(fit covariance + PSF MAD, k-window MAD)",27.722416663310725,0.02223663078454168,0.031635437752171924,0.015817718876085962,0.02223663078454168
