galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4486,no_winsor,0.01,27.768396762146732,0.0336964251559775,0.0336964251559775,"max(fit covariance + PSF MAD, k-window MAD)",27.834741563034452,0.030013774516525073,0.030013774516525073,"max(fit covariance + PSF MAD, k-window MAD)",27.805391330848988,0.02241228581628033,0.06634480088771966,0.03317240044385983,0.03317240044385983
NGC 4486,no_winsor,0.03,27.775137515377615,0.026391833723419324,0.026391833723419324,"max(fit covariance + PSF MAD, k-window MAD)",27.841307729425566,0.027511354366639016,0.027511354366639016,"max(fit covariance + PSF MAD, k-window MAD)",27.806848919237698,0.019045327079250034,0.06617021404795054,0.03308510702397527,0.03308510702397527
NGC 4486,no_winsor,0.04,27.781251869873664,0.025002286864883424,0.025002286864883424,"max(fit covariance + PSF MAD, k-window MAD)",27.847568763380096,0.02620027427302716,0.02620027427302716,"max(fit covariance + PSF MAD, k-window MAD)",27.812859547786775,0.018087979041502847,0.066316893506432,0.033158446753216,0.033158446753216
NGC 4486,raw_global_3p5,0.01,27.90929073803872,0.029037900231711225,0.029037900231711225,"max(fit covariance + PSF MAD, k-window MAD)",27.838980797886528,0.03009416982740169,0.03009416982740169,"max(fit covariance + PSF MAD, k-window MAD)",27.87539130598892,0.020896339442157526,-0.0703099401521925,0.03515497007609625,0.03515497007609625
NGC 4486,raw_global_3p5,0.03,27.91611851000989,0.023634857016204724,0.023634857016204724,"max(fit covariance + PSF MAD, k-window MAD)",27.845537684364864,0.027610306570794413,0.027610306570794413,"max(fit covariance + PSF MAD, k-window MAD)",27.886270795462625,0.01795491704610673,-0.07058082564502755,0.03529041282251377,0.03529041282251377
NGC 4486,raw_global_3p5,0.04,27.92048449580392,0.023444148654803525,0.023444148654803525,"max(fit covariance + PSF MAD, k-window MAD)",27.8518017519161,0.02630475086586103,0.02630475086586103,"max(fit covariance + PSF MAD, k-window MAD)",27.890079422774967,0.017501827531986768,-0.0686827438878197,0.03434137194390985,0.03434137194390985
NGC 4486,normalized_full_3p5,0.01,27.782759028483014,0.03147043145687498,0.03147043145687498,"max(fit covariance + PSF MAD, k-window MAD)",27.83548980125394,0.030039474903232367,0.030039474903232367,"max(fit covariance + PSF MAD, k-window MAD)",27.810350471522963,0.021729387073819006,0.05273077277092497,0.026365386385462486,0.026365386385462486
NGC 4486,normalized_full_3p5,0.03,27.789551453843153,0.024914034158234368,0.024914034158234368,"max(fit covariance + PSF MAD, k-window MAD)",27.842055232144443,0.027539781212536262,0.027539781212536262,"max(fit covariance + PSF MAD, k-window MAD)",27.813181664362826,0.018475619196974637,0.05250377830128983,0.026251889150644914,0.026251889150644914
NGC 4486,normalized_full_3p5,0.04,27.79480682642226,0.02420059887341477,0.02420059887341477,"max(fit covariance + PSF MAD, k-window MAD)",27.848314998794937,0.026231675914704825,0.026231675914704825,"max(fit covariance + PSF MAD, k-window MAD)",27.819409448396737,0.017787162642495497,0.05350817237267691,0.026754086186338455,0.026754086186338455
NGC 4486,normalized_union_3p5,0.01,27.77987171404499,0.03177506969866967,0.03177506969866967,"max(fit covariance + PSF MAD, k-window MAD)",27.835077598642144,0.030028409702096113,0.030028409702096113,"max(fit covariance + PSF MAD, k-window MAD)",27.809033613152263,0.0218246630608483,0.0552058845971537,0.02760294229857685,0.02760294229857685
NGC 4486,normalized_union_3p5,0.03,27.786662997819256,0.025096834398662577,0.025096834398662577,"max(fit covariance + PSF MAD, k-window MAD)",27.84164364972122,0.02752726259954241,0.02752726259954241,"max(fit covariance + PSF MAD, k-window MAD)",27.81161946357632,0.018545973056425396,0.054980651901963995,0.027490325950981997,0.027490325950981997
NGC 4486,normalized_union_3p5,0.04,27.79202875146146,0.024309437927456518,0.024309437927456518,"max(fit covariance + PSF MAD, k-window MAD)",27.847903835906198,0.02621815975850127,0.02621815975850127,"max(fit covariance + PSF MAD, k-window MAD)",27.817858573857592,0.017825996595147817,0.05587508444473954,0.02793754222236977,0.02793754222236977
