galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 4486,inner,no_winsor,0.01,0.01,0.25,5,1.239849058910586,0.03839115925431626,0.0010846688140715192,0.038406478819679526,-0.10632586869774263,1.0,0.0023496992966127,1.2374993596139732,27.768396762146732,0.0336964251559775,82.59200010101802,2069.3000025254505,18.618487881842157,0.009065141975841788,k-window MAD,0.0336964251559775,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4486,inner,no_winsor,0.03,0.03,0.25,5,1.2321898901588377,0.029875909980519484,0.0010592323740874145,0.02989468130598516,-0.10498522012057265,1.0,0.0023496992966127,1.229840190862225,27.775137515377615,0.026391833723419324,49.75309808678822,1148.8667105415836,18.666594833810414,0.009065141975841788,k-window MAD,0.026391833723419324,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4486,inner,no_winsor,0.04,0.04,0.25,5,1.2252834750324908,0.028151268626949257,0.0007652082659434033,0.028161666658721135,-0.10375128588195956,1.0,0.0023496992966127,1.222933775735878,27.781251869873664,0.025002286864883424,43.55269397987859,962.7306961287576,18.795568386475228,0.009065141975841788,k-window MAD,0.025002286864883424,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4486,inner,raw_global_3p5,0.01,0.01,0.25,5,1.0892442028107898,0.029034971119732064,0.0014036264925343682,0.02906887880972053,-0.09227562820375618,1.0,0.0023496992966127,1.086894503514177,27.90929073803872,0.029037900231711225,61.030448860059934,1530.2612215014983,18.364266864478765,0.0064730105382254585,k-window MAD,0.029037900231711225,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4486,inner,raw_global_3p5,0.03,0.03,0.25,5,1.0824305932724654,0.02347243795510112,0.0013590487282299356,0.02351174933946377,-0.09107837305422013,1.0,0.0023496992966127,1.0800808939758526,27.91611851000989,0.023634857016204724,39.53899473452741,913.9423334395849,18.44266281748366,0.0064730105382254585,k-window MAD,0.023634857016204724,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4486,inner,raw_global_3p5,0.04,0.04,0.25,5,1.0780960696166284,0.023209048821707424,0.0009489244573414154,0.023228439569504867,-0.09027624564935714,1.0,0.0023496992966127,1.0757463703200156,27.92048449580392,0.023444148654803525,37.96617570777469,839.8272941424717,18.60468999395402,0.0064730105382254585,k-window MAD,0.023444148654803525,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4486,inner,normalized_full_3p5,0.01,0.01,0.25,5,1.2235870441041587,0.03537369260992883,0.0013109952942921268,0.03539797787336714,-0.10459320665908456,1.0,0.0023496992966127,1.221237344807546,27.782759028483014,0.03147043145687498,72.13563855802009,1807.8909639505023,18.52817419521461,0.007791615385784233,k-window MAD,0.03147043145687498,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4486,inner,normalized_full_3p5,0.03,0.03,0.25,5,1.2159707649369573,0.027819310215404923,0.0012761756176638119,0.027848566301841328,-0.10325861378176286,1.0,0.0023496992966127,1.2136210656403446,27.789551453843153,0.024914034158234368,44.32293213922244,1023.9728937475705,18.58763514404912,0.007791615385784233,k-window MAD,0.024914034158234368,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4486,inner,normalized_full_3p5,0.04,0.04,0.25,5,1.2101105756200923,0.02690531063016876,0.0009035156581726247,0.026920476976651717,-0.1021969468079848,1.0,0.0023496992966127,1.2077608763234795,27.79480682642226,0.02420059887341477,40.799690887924044,902.1646281057575,18.732711724966876,0.007791615385784233,k-window MAD,0.02420059887341477,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4486,inner,normalized_union_3p5,0.01,0.01,0.25,5,1.2268390208378557,0.03581276459271044,0.0012849067339714133,0.03583580741504089,-0.10489340261677839,1.0,0.0023496992966127,1.224489321541243,27.77987171404499,0.03177506969866967,73.50944699482821,1842.2361748707053,18.537396407281214,0.007955266349929076,k-window MAD,0.03177506969866967,"max(fit covariance + PSF MAD, k-window MAD)"
