galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4486,no_winsor,0.01,27.768396762146732,0.0336964251559775,0.0336964251559775,"max(fit covariance + PSF MAD, k-window MAD)",27.834741563034452,0.030013774516525073,0.030013774516525073,"max(fit covariance + PSF MAD, k-window MAD)",27.805391330848988,0.02241228581628033,0.06634480088771966,0.03317240044385983,0.03317240044385983
NGC 4486,no_winsor,0.03,27.775137515377615,0.026391833723419324,0.026391833723419324,"max(fit covariance + PSF MAD, k-window MAD)",27.841307729425566,0.027511354366639016,0.027511354366639016,"max(fit covariance + PSF MAD, k-window MAD)",27.806848919237698,0.019045327079250034,0.06617021404795054,0.03308510702397527,0.03308510702397527
NGC 4486,no_winsor,0.04,27.781251869873664,0.025002286864883424,0.025002286864883424,"max(fit covariance + PSF MAD, k-window MAD)",27.847568763380096,0.02620027427302716,0.02620027427302716,"max(fit covariance + PSF MAD, k-window MAD)",27.812859547786775,0.018087979041502847,0.066316893506432,0.033158446753216,0.033158446753216
NGC 4486,raw_global_3p5,0.01,27.90929073803872,0.029037900231711225,0.029037900231711225,"max(fit covariance + PSF MAD, k-window MAD)",27.838980797886528,0.03009416982740169,0.03009416982740169,"max(fit covariance + PSF MAD, k-window MAD)",27.87539130598892,0.020896339442157526,-0.0703099401521925,0.03515497007609625,0.03515497007609625
NGC 4486,raw_global_3p5,0.03,27.91611851000989,0.023634857016204724,0.023634857016204724,"max(fit covariance + PSF MAD, k-window MAD)",27.845537684364864,0.027610306570794413,0.027610306570794413,"max(fit covariance + PSF MAD, k-window MAD)",27.886270795462625,0.01795491704610673,-0.07058082564502755,0.03529041282251377,0.03529041282251377
NGC 4486,raw_global_3p5,0.04,27.92048449580392,0.023444148654803525,0.023444148654803525,"max(fit covariance + PSF MAD, k-window MAD)",27.8518017519161,0.02630475086586103,0.02630475086586103,"max(fit covariance + PSF MAD, k-window MAD)",27.890079422774967,0.017501827531986768,-0.0686827438878197,0.03434137194390985,0.03434137194390985
NGC 4486,normalized_full_3p5,0.01,27.782759029706973,0.03147043130739123,0.03147043130739123,"max(fit covariance + PSF MAD, k-window MAD)",27.835489801336564,0.030039474921547085,0.030039474921547085,"max(fit covariance + PSF MAD, k-window MAD)",27.810350472008718,0.021729387031543958,0.052730771629590834,0.026365385814795417,0.026365385814795417
NGC 4486,normalized_full_3p5,0.03,27.789551455064963,0.024914034068763295,0.024914034068763295,"max(fit covariance + PSF MAD, k-window MAD)",27.842055232228038,0.027539781234763885,0.027539781234763885,"max(fit covariance + PSF MAD, k-window MAD)",27.813181664958055,0.01847561916719818,0.05250377716307497,0.026251888581537486,0.026251888581537486
NGC 4486,normalized_full_3p5,0.04,27.794806827610106,0.02420059880014066,0.02420059880014066,"max(fit covariance + PSF MAD, k-window MAD)",27.848314998885424,0.02623167593031721,0.02623167593031721,"max(fit covariance + PSF MAD, k-window MAD)",27.81940944898372,0.017787162618269802,0.05350817127531826,0.02675408563765913,0.02675408563765913
NGC 4486,normalized_union_3p5,0.01,27.77987171242454,0.031775069861250275,0.031775069861250275,"max(fit covariance + PSF MAD, k-window MAD)",27.835077598534127,0.030028409706803504,0.030028409706803504,"max(fit covariance + PSF MAD, k-window MAD)",27.809033612467214,0.02182466311533632,0.055205886109586544,0.027602943054793272,0.027602943054793272
NGC 4486,normalized_union_3p5,0.03,27.786662996195425,0.025096834488760898,0.025096834488760898,"max(fit covariance + PSF MAD, k-window MAD)",27.841643649612003,0.027527262606598792,0.027527262606598792,"max(fit covariance + PSF MAD, k-window MAD)",27.81161946273086,0.018545973094942082,0.05498065341657821,0.027490326708289103,0.027490326708289103
NGC 4486,normalized_union_3p5,0.04,27.79202874988966,0.0243094379786631,0.0243094379786631,"max(fit covariance + PSF MAD, k-window MAD)",27.847903835805457,0.026218159760625376,0.026218159760625376,"max(fit covariance + PSF MAD, k-window MAD)",27.81785857302209,0.01782599661600666,0.055875085915797484,0.027937542957898742,0.027937542957898742
