galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 4552,inner,no_winsor,0.01,0.01,0.25,5,1.2941262486882366,0.02494282535913481,0.0012969279039968626,0.02497652015162369,-0.10979698810466482,1.0,3.353955977909356e-05,1.2940927091284575,27.719845365003923,0.020955154144831054,31.841797068954335,800.5449267238583,18.161337321914235,0.003551948757285622,k-window MAD,0.020955154144831054,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,no_winsor,0.03,0.03,0.25,5,1.28775185179248,0.02472506887921387,0.0012918872473753184,0.024758796492192453,-0.1086754532554219,1.0,3.353955977909356e-05,1.287718312232701,27.725206661782657,0.020875312156743032,30.5522175616568,707.2464584635609,18.37747045573585,0.003551948757285622,k-window MAD,0.020875312156743032,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,no_winsor,0.04,0.04,0.25,5,1.2849135394583822,0.025092157573244282,0.0013493118738016228,0.02512841049914026,-0.10810629602710276,1.0,3.353955977909356e-05,1.2848799998986031,27.72760241839758,0.021233753384824975,30.808427609989145,682.3568359911898,18.573795412869597,0.003551948757285622,k-window MAD,0.021233753384824975,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,raw_global_3p5,0.01,0.01,0.25,5,1.1721982685134391,0.0234826321804658,0.0011221835758655416,0.023509430237693772,-0.09929101891956595,1.0,3.353955977909356e-05,1.17216472895366,27.82728721829938,0.021775983299791597,34.24141542086851,860.5353855217129,18.183704553430353,0.0034881422869443234,k-window MAD,0.021775983299791597,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,raw_global_3p5,0.03,0.03,0.25,5,1.1662563300632967,0.023305466918955586,0.0011156473768857559,0.02333215500934462,-0.09824174582305413,1.0,3.353955977909356e-05,1.1662227905035176,27.83280503049553,0.02172189193604838,32.94355334745139,762.2471815368366,18.397211315114376,0.0034881422869443234,k-window MAD,0.02172189193604838,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,raw_global_3p5,0.04,0.04,0.25,5,1.1637319372118444,0.02369647693983316,0.001147851453410276,0.023724261470468175,-0.09773398996690767,1.0,3.353955977909356e-05,1.1636983976520654,27.835157750235812,0.022134850113746666,33.34715793301537,738.2089030977667,18.593995347717257,0.0034881422869443234,k-window MAD,0.022134850113746666,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,normalized_full_3p5,0.01,0.01,0.25,5,1.2697400492037414,0.024942080439834216,0.0012349277060533868,0.02497263348360238,-0.10783686423856731,1.0,3.353955977909356e-05,1.2697065096439624,27.740500475601067,0.021354298883531096,33.06858385622964,831.214596405741,18.18826003501887,0.0035725455828711622,k-window MAD,0.021354298883531096,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,normalized_full_3p5,0.03,0.03,0.25,5,1.2633499159757997,0.02469610225784903,0.001229795014746861,0.024726703429863682,-0.10670699750140612,1.0,3.353955977909356e-05,1.2633163764160207,27.74597852615895,0.0212509531573421,31.66414504586238,732.8207906002892,18.402652583873067,0.0035725455828711622,k-window MAD,0.0212509531573421,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,normalized_full_3p5,0.04,0.04,0.25,5,1.2605492601056472,0.025072590903046046,0.0012752263167015367,0.025104999835696386,-0.10614603640686096,1.0,3.353955977909356e-05,1.2605157205458681,27.748388175142406,0.021624012138665435,31.956980759843034,707.6250052879753,18.59860120980526,0.0035725455828711622,k-window MAD,0.021624012138665435,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,normalized_union_3p5,0.01,0.01,0.25,5,1.2706443984325397,0.0249457848400101,0.0012369005943974616,0.024976430977313363,-0.10790386968670412,1.0,3.353955977909356e-05,1.2706108588727607,27.739727434599892,0.021342345052654057,33.03090435836244,830.272608959061,18.18679254321259,0.0035720657281788333,k-window MAD,0.021342345052654057,"max(fit covariance + PSF MAD, k-window MAD)"
