galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 4552,inner,no_winsor,0.004471940459873727,13.03982550561745,2.485371472766734,437,0.9216042760460472,0.006162469072943857
NGC 4552,inner,no_winsor,0.013415821379621183,1.2086817849354399,0.032099717694496786,1296,0.8386982847029361,0.005210522703621194
NGC 4552,inner,no_winsor,0.022359702299368636,0.9943624072650916,0.02045966082194035,2144,0.7583726871463933,0.0046841420618921395
NGC 4552,inner,no_winsor,0.031303583219116096,0.8610518938231201,0.01581691629773965,3000,0.6950460195543119,0.003931923520740435
NGC 4552,inner,no_winsor,0.04024746413886354,0.8550819611424895,0.013510129007485987,3888,0.6426144236118757,0.0017538649175457327
NGC 4552,inner,no_winsor,0.049191345058611,0.6842916763110897,0.009862245661956143,4760,0.6013696953891716,0.0021575467677642343
NGC 4552,inner,no_winsor,0.058135225978358455,0.6693060536956096,0.0089945122558245,5556,0.5663415432764273,0.0035666568105421925
NGC 4552,inner,no_winsor,0.06707910689810591,0.6495484435941035,0.007825922522910554,6500,0.5360607078443766,0.0014385546827022778
NGC 4552,inner,no_winsor,0.07602298781785337,0.5903894449687135,0.007056303894543241,7304,0.503833438759354,0.001503699489490167
NGC 4552,inner,no_winsor,0.08496686873760081,0.5240348498239499,0.005746202479059514,8184,0.4734441831748428,0.0010050828454674305
NGC 4552,inner,no_winsor,0.09391074965734827,0.4935642597194479,0.005298167441004398,9016,0.44258783138943414,0.0011267951656474936
NGC 4552,inner,no_winsor,0.10285463057709573,0.4332180829468974,0.00437271929736934,9952,0.41560207477142397,0.0005496945627330673
NGC 4552,inner,no_winsor,0.1117985114968432,0.39740921149704117,0.003951391557290535,10752,0.3887612663417225,0.000714481422045057
NGC 4552,inner,no_winsor,0.12074239241659063,0.3560116855542748,0.0033047850506432276,11588,0.3640493636518916,0.0005708184045137609
NGC 4552,inner,no_winsor,0.1296862733363381,0.33351014727488304,0.0030649176953134825,12524,0.3409362466660121,0.0008799703931619719
NGC 4552,inner,no_winsor,0.13863015425608555,0.3031099471977012,0.0026975611245538453,13344,0.3199407474844156,0.0010376914358528212
NGC 4552,inner,no_winsor,0.147574035175833,0.27660318357205105,0.00230533917142196,14208,0.3004981458208156,0.0015459912643767872
NGC 4552,inner,no_winsor,0.15651791609558047,0.24929849834650641,0.0021253885125669765,15040,0.2811363003728821,0.0007256114735430663
NGC 4552,inner,no_winsor,0.16546179701532793,0.22272203379837743,0.00174309753162668,16000,0.2623715126938645,0.0016874911825890426
NGC 4552,inner,no_winsor,0.17440567793507536,0.1956808934797186,0.0015264120298315582,16776,0.24508204778286752,0.001844149284463499
NGC 4552,inner,no_winsor,0.18334955885482282,0.1783667039835456,0.0013428180696486603,17612,0.2282730185192737,0.0012437225315929475
NGC 4552,inner,no_winsor,0.19229343977457028,0.15595731323966983,0.0011518308676032331,18532,0.21235281293003694,0.0005508443515246457
NGC 4552,inner,no_winsor,0.20123732069431774,0.14172998423225597,0.0010045323262673105,19408,0.19807648442319215,0.0003636338265880747
NGC 4552,inner,no_winsor,0.2101812016140652,0.12616878965086403,0.0008933507479492392,20204,0.1845610229422996,0.001105771026634732
NGC 4552,inner,no_winsor,0.21912508253381263,0.10878312791450663,0.0007727848614259779,21104,0.17225503849879623,0.0013727666085586179
NGC 4552,inner,no_winsor,0.2280689634535601,0.09882388483007892,0.0006861959040983448,21988,0.16040367186114843,0.0006847869504707159
NGC 4552,inner,no_winsor,0.23701284437330755,0.08785975305183429,0.0005798384393555455,22816,0.15058891086783022,0.0010570244969137076
NGC 4552,inner,no_winsor,0.245956725293055,0.07866957299954938,0.0005160945727562249,23620,0.14113209740193186,0.0001247695192979608
NGC 4552,inner,no_winsor,0.2549006062128024,0.0711905276268311,0.0004580586204283512,24612,0.13349145634889603,0.0009618335843910594
NGC 4552,inner,no_winsor,0.26384448713254993,0.06282028185425388,0.0003970851436938413,25400,0.1264265382217424,0.0009485678573861831
NGC 4552,inner,no_winsor,0.27278836805229734,0.058292105729724826,0.00036333950429058104,26260,0.12074144196610219,0.0006397707357485977
NGC 4552,inner,no_winsor,0.28173224897204485,0.05265713375596718,0.00031680602526142234,27104,0.11480346542635321,0.00027888057628935333
NGC 4552,inner,no_winsor,0.29067612989179226,0.04712288376542018,0.00028496085413184393,27972,0.10991613637259096,0.0005831450738028458
NGC 4552,inner,no_winsor,0.29962001081153977,0.040997944445237924,0.00024073523456680544,28848,0.10468327669478748,0.0006678001830834976
NGC 4552,inner,no_winsor,0.3085638917312872,0.037346296763869156,0.00022164150465363503,29756,0.09980443912773969,0.0003906659133381241
NGC 4552,inner,no_winsor,0.3175077726510347,0.033058537531378586,0.000186589210864095,30580,0.0950032328985181,0.0005229222733016116
NGC 4552,inner,no_winsor,0.3264516535707821,0.028478580244653804,0.00016045518253651945,31400,0.08991950515221883,0.0006508772972134277
NGC 4552,inner,no_winsor,0.33539553449052956,0.025403899067183662,0.0001445496993600685,32284,0.0847553161961905,0.000497977754948129
NGC 4552,inner,no_winsor,0.344339415410277,0.02246687957808052,0.0001249200032393216,33152,0.07958373329972297,0.000746029179213039
NGC 4552,inner,no_winsor,0.3532832963300244,0.019581207711898356,0.00010821500777273641,34084,0.0739488812887481,0.0006427281715158093
NGC 4552,inner,no_winsor,0.36222717724977194,0.016881434200529115,9.343186182137856e-05,34776,0.06874139304296975,0.0004679852118682515
NGC 4552,inner,no_winsor,0.37117105816951934,0.014497719414524888,7.799816115272485e-05,35804,0.06348073497077214,0.00045580443534074954
NGC 4552,inner,no_winsor,0.38011493908926686,0.012138095039600443,6.444589641610848e-05,36560,0.05832068945087547,0.0005323443090973096
NGC 4552,inner,no_winsor,0.38905882000901426,0.01031284785217076,5.4880396295082914e-05,37508,0.05308040758169747,0.0004209229326577524
NGC 4552,inner,no_winsor,0.3980027009287618,0.008464315210778131,4.448488445697245e-05,38284,0.04826950736070182,0.00034103476912806624
NGC 4552,inner,no_winsor,0.4069465818485092,0.007053154644969932,3.6199965239137455e-05,39264,0.0438745529600179,0.0002904991849612046
NGC 4552,inner,no_winsor,0.4158904627682567,0.005922690869190081,3.092863116763273e-05,40060,0.03959982735933249,0.00034354573109950847
NGC 4552,inner,no_winsor,0.4248343436880041,0.0047431276929176805,2.4232272842701206e-05,40804,0.03563903277623522,0.00022012988264963264
NGC 4552,inner,no_winsor,0.43377822460775156,0.0038821203061542063,1.9703489191589754e-05,41848,0.03211952267038699,0.00023983327350045745
NGC 4552,inner,no_winsor,0.442722105527499,0.0031142721882927247,1.558852870845927e-05,42600,0.028930137696558677,0.00043878787976726224
NGC 4552,inner,no_winsor,0.4516659864472464,0.0025265926651048074,1.2591491755924679e-05,43508,0.02613236009844704,0.00035797273579200097
