galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4552,no_winsor,0.01,27.719845365003923,0.020955154144831054,0.020955154144831054,"max(fit covariance + PSF MAD, k-window MAD)",27.91299012938389,0.013356964240362857,0.013356964240362857,"max(fit covariance + PSF MAD, k-window MAD)",27.85718905889286,0.011263429758876406,0.19314476437996575,0.09657238218998287,0.09657238218998287
NGC 4552,no_winsor,0.03,27.725206661782657,0.020875312156743032,0.020875312156743032,"max(fit covariance + PSF MAD, k-window MAD)",27.915569861897797,0.01358815671674149,0.01358815671674149,"max(fit covariance + PSF MAD, k-window MAD)",27.858917158419313,0.011388113832146766,0.19036320011514007,0.09518160005757004,0.09518160005757004
NGC 4552,no_winsor,0.04,27.72760241839758,0.021233753384824975,0.021233753384824975,"max(fit covariance + PSF MAD, k-window MAD)",27.917390220958875,0.013792671762831873,0.013792671762831873,"max(fit covariance + PSF MAD, k-window MAD)",27.86107413072546,0.011566683933397298,0.18978780256129468,0.09489390128064734,0.09489390128064734
NGC 4552,raw_global_3p5,0.01,27.82728721829938,0.021775983299791597,0.021775983299791597,"max(fit covariance + PSF MAD, k-window MAD)",27.91654578485566,0.01341225222800193,0.01341225222800193,"max(fit covariance + PSF MAD, k-window MAD)",27.8919974995552,0.011419928946539043,0.08925856655628195,0.044629283278140974,0.044629283278140974
NGC 4552,raw_global_3p5,0.03,27.83280503049553,0.02172189193604838,0.02172189193604838,"max(fit covariance + PSF MAD, k-window MAD)",27.919135554921333,0.013644276088331814,0.013644276088331814,"max(fit covariance + PSF MAD, k-window MAD)",27.89471053337144,0.01155401526614849,0.08633052442580436,0.04316526221290218,0.04316526221290218
NGC 4552,raw_global_3p5,0.04,27.835157750235812,0.022134850113746666,0.022134850113746666,"max(fit covariance + PSF MAD, k-window MAD)",27.920948711499815,0.01385331601818547,0.01385331601818547,"max(fit covariance + PSF MAD, k-window MAD)",27.896802443857105,0.011743047661792782,0.08579096126400287,0.04289548063200144,0.04289548063200144
NGC 4552,normalized_full_3p5,0.01,27.740500476115972,0.021354298797432027,0.021354298797432027,"max(fit covariance + PSF MAD, k-window MAD)",27.918668991981843,0.01352069409154259,0.01352069409154259,"max(fit covariance + PSF MAD, k-window MAD)",27.867682672402374,0.011423433713143066,0.17816851586587035,0.08908425793293517,0.08908425793293517
NGC 4552,normalized_full_3p5,0.03,27.74597852667414,0.021250953060346526,0.021250953060346526,"max(fit covariance + PSF MAD, k-window MAD)",27.921281851212818,0.013754473680109278,0.013754473680109278,"max(fit covariance + PSF MAD, k-window MAD)",27.869525534572745,0.01154688967680369,0.17530332453867814,0.08765166226933907,0.08765166226933907
NGC 4552,normalized_full_3p5,0.04,27.74838817565616,0.02162401203577068,0.02162401203577068,"max(fit covariance + PSF MAD, k-window MAD)",27.923105596124984,0.0139662179785856,0.0139662179785856,"max(fit covariance + PSF MAD, k-window MAD)",27.871676655290575,0.011731997451322003,0.17471742046882355,0.08735871023441177,0.08735871023441177
NGC 4552,normalized_union_3p5,0.01,27.73972743246188,0.02134234501951981,0.02134234501951981,"max(fit covariance + PSF MAD, k-window MAD)",27.918304119892994,0.013510798524056428,0.013510798524056428,"max(fit covariance + PSF MAD, k-window MAD)",27.867213557483574,0.011415635591645686,0.17857668743111432,0.08928834371555716,0.08928834371555716
NGC 4552,normalized_union_3p5,0.03,27.74520409964649,0.02123813939712563,0.02123813939712563,"max(fit covariance + PSF MAD, k-window MAD)",27.92091474657892,0.013744466125628815,0.013744466125628815,"max(fit covariance + PSF MAD, k-window MAD)",27.869047290338592,0.011538913101032267,0.17571064693242988,0.08785532346621494,0.08785532346621494
NGC 4552,normalized_union_3p5,0.04,27.74761342497715,0.021610599345588913,0.021610599345588913,"max(fit covariance + PSF MAD, k-window MAD)",27.922738219242156,0.013955774770867863,0.013955774770867863,"max(fit covariance + PSF MAD, k-window MAD)",27.871198645941554,0.011723665051164414,0.17512479426500605,0.08756239713250302,0.08756239713250302
