galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 4552,inner,no_winsor,0.01,0.01,0.25,stpsf_O2024062601-NRCA3_FP1-1,27,1.2953328323424727,-0.10981191058349063,0.02494282535913481,3.353955977909356e-05,1.2952992927826936,27.71883352002153,0.020907390818683296,796.0449267238583,31.841797068954335,800.5449267238583,18.1671177377198
NGC 4552,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.2936359678984934,-0.10901267052193032,0.0246209802898173,3.353955977909356e-05,1.2936024283387144,27.720256785655902,0.02066468731944241,777.8352705851047,31.113410823404188,782.3352705851047,18.13897840625883
NGC 4552,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,1.2932514828012833,-0.10979698810466482,0.02521887215766248,3.353955977909356e-05,1.2932179432415043,27.720579536626854,0.021172798202992144,816.1922785710427,32.64769114284171,820.6922785710427,18.141840914822208
NGC 4552,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.2981338857404132,-0.1071112117855324,0.023579639082856336,3.353955977909356e-05,1.2981003461806342,27.716488176694966,0.01972210231875588,709.0617229628109,28.362468918512437,713.5617229628109,18.18150658932127
NGC 4552,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,1.2941262486882366,-0.11137624379057177,0.025265095338708417,3.353955977909356e-05,1.2940927091284575,27.719845365003923,0.02119726703690024,818.0620837054943,32.72248334821977,822.5620837054943,18.161337321914235
NGC 4552,inner,no_winsor,0.03,0.03,0.25,stpsf_O2024062601-NRCA3_FP1-1,25,1.28885541757382,-0.1086754532554219,0.02472506887921387,3.353955977909356e-05,1.288821878014041,27.72427659176012,0.02082902447983471,702.7010039181064,30.5522175616568,707.2464584635609,18.381837292946333
NGC 4552,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.287244840199386,-0.107893724641112,0.0244186872714848,3.353955977909356e-05,1.2872113006396069,27.725634231411913,0.020596659484067446,687.2379710491662,29.879911784746355,691.7834255946207,18.354709126818857
NGC 4552,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,1.2868804857818397,-0.10867732976435668,0.025057860399301423,3.353955977909356e-05,1.2868469462220606,27.72594160035791,0.02114177317603223,723.777743682395,31.46859755140848,728.3231982278495,18.357801930823225
NGC 4552,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.2919526324449129,-0.10604152187247977,0.023352004070165265,3.353955977909356e-05,1.2919190928851338,27.721670549563832,0.019625157962497804,624.4080152416429,27.148174575723605,628.9534697870974,18.401458266763346
NGC 4552,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,1.28775185179248,-0.11024897128005895,0.025095604979037994,3.353955977909356e-05,1.287718312232701,27.725206661782657,0.021159291319549193,724.9673245842004,31.520318460182626,729.5127791296549,18.37747045573585
NGC 4552,inner,no_winsor,0.04,0.04,0.25,stpsf_O2024062601-NRCA3_FP1-1,24,1.2855929873216334,-0.10810629602710276,0.025092157573244282,3.353955977909356e-05,1.2855594477618544,27.72702843003755,0.02119191296847282,677.7854074197612,30.808427609989145,682.3568359911898,18.573795412869597
NGC 4552,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.284003441067851,-0.10732948755144812,0.0247765858450399,3.353955977909356e-05,1.2839699015080719,27.728371732956045,0.02095129819683588,662.6058222219156,30.118446464632527,667.1772507933441,18.546615551485168
NGC 4552,inner,no_winsor,0.04,0.04,0.25,stpsf_field_768_1024,24,1.2837259498094542,-0.10812605819388696,0.02547800037822884,3.353955977909356e-05,1.2836924102496752,27.7286064073566,0.021549077656464525,700.6264903430423,31.846658651956467,705.1979189144708,18.551254242283978
NGC 4552,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.2890442717145343,-0.10554103939345041,0.02376433063151076,3.353955977909356e-05,1.2890107321547553,27.724117507902193,0.020016741137090982,605.2406601798017,27.510939099081895,609.8120887512302,18.599271651900487
NGC 4552,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_768,24,1.2849135394583822,-0.10974961158222976,0.025613415148857142,3.353955977909356e-05,1.2848799998986031,27.72760241839758,0.021643587071795905,706.7322058937357,32.124191176987985,711.3036344651642,18.576284293811185
NGC 4552,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_O2024062601-NRCA3_FP1-1,27,1.1733015661746353,-0.0993002727340742,0.0234826321804658,3.353955977909356e-05,1.1732680266148563,27.826265751961536,0.021730707189653517,856.0353855217129,34.24141542086851,860.5353855217129,18.18987685022254
NGC 4552,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.1717986086239573,-0.09858049437080116,0.023121461260477677,3.353955977909356e-05,1.1717650690641783,27.827657472746566,0.021423925546323136,832.2672468049432,33.290689872197724,836.7672468049432,18.161619675446556
NGC 4552,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,1.1714413660610814,-0.09929101891956595,0.023686255598071564,3.353955977909356e-05,1.1714078265013024,27.827988537678337,0.021953946931353052,873.5349034984747,34.94139613993899,878.0349034984747,18.164685780940907
NGC 4552,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.175883172425135,-0.09685868507884438,0.022170140249056253,3.353955977909356e-05,1.175849632865356,27.823879371279677,0.020471090231417452,760.5206126008862,30.42082450403545,765.0206126008862,18.203995586923586
NGC 4552,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,1.1721982685134391,-0.10071471579184552,0.02373308766619821,3.353955977909356e-05,1.17216472895366,27.82728721829938,0.021983149546644234,875.8368017285454,35.033472069141816,880.3368017285454,18.183704553430353
NGC 4552,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_O2024062601-NRCA3_FP1-1,25,1.167271755436408,-0.09824174582305413,0.023305466918955586,3.353955977909356e-05,1.167238215876629,27.831860095776335,0.021678170624065168,757.7017269913821,32.94355334745139,762.2471815368366,18.402044784862923
NGC 4552,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.1658465759539403,-0.09753784148719886,0.022950251621292155,3.353955977909356e-05,1.1658130363941612,27.833186572555068,0.021373855254369536,736.7645618953298,32.03324182153608,741.3100164407844,18.374786774894215
NGC 4552,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,1.165503836216753,-0.09824694578394615,0.023557287291885155,3.353955977909356e-05,1.1654702966569739,27.83350581727224,0.02194564698221239,776.3397082538336,33.75390035886233,780.8851627992881,18.37804940470289
NGC 4552,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.1701144110743826,-0.09585982403675912,0.021977267238686767,3.353955977909356e-05,1.1700808715146036,27.829219142145146,0.02039304744107094,671.2302492332931,29.183923879708395,675.7757037787476,18.4213027173753
NGC 4552,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,1.1662563300632967,-0.09966332980729886,0.02359739332078071,3.353955977909356e-05,1.1662227905035176,27.83280503049553,0.02196882488913425,777.9651610078633,33.82457221773319,782.5106155533178,18.397211315114376
NGC 4552,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_O2024062601-NRCA3_FP1-1,24,1.1643630903564994,-0.09773398996690767,0.02369647693983316,3.353955977909356e-05,1.1643295507967204,27.83456904094893,0.022096942331479866,733.6374745263381,33.34715793301537,738.2089030977667,18.593995347717257
NGC 4552,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.1629577220132674,-0.09703466359313256,0.023329473781254165,3.353955977909356e-05,1.1629241824534884,27.835880337138892,0.021781002325382683,712.9912302790906,32.40869228541321,717.5626588505191,18.56668402578354
NGC 4552,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,1.1626933611692742,-0.09775549563685342,0.023991851403854847,3.353955977909356e-05,1.1626598216094952,27.836127179342984,0.02240450835591997,754.0116044622647,34.27325474828476,758.5830330336933,18.571496650127692
NGC 4552,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.1675278621856442,-0.09541444797830083,0.02240251971121543,3.353955977909356e-05,1.1674943226258652,27.83162189772456,0.02083370022182869,652.8085141245302,29.67311427838774,657.3799426959588,18.619099230721464
NGC 4552,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,1.1637319372118444,-0.09921892784791167,0.024116341783057164,3.353955977909356e-05,1.1636983976520654,27.835157750235812,0.02250066293209346,760.4368862826228,34.565313012846495,765.0083148540514,18.59600341146338
NGC 4552,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_O2024062601-NRCA3_FP1-1,27,1.2709174675681072,-0.10784608866403429,0.024942080326947943,3.353955977909356e-05,1.2708839280083282,27.7394941222598,0.021308413015649844,826.7145898219997,33.06858359287999,831.2145898219997,18.19404743900962
NGC 4552,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.2692904403864347,-0.10706777597815222,0.02458726718383982,3.353955977909356e-05,1.2692569008266557,27.74088500778772,0.02103221667746691,805.6198242353719,32.22479296941488,810.1198242353719,18.166097748310477
NGC 4552,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,1.2689071012722732,-0.10783686415124001,0.025176972649602065,3.353955977909356e-05,1.2688735617124942,27.741212969777266,0.0215431636033031,844.8518523645398,33.79407409458159,849.3518523645398,18.168973789041157
NGC 4552,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.2737107858655552,-0.10520264078059859,0.023558405762986644,3.353955977909356e-05,1.2736772463057762,27.73711036504789,0.020082178697503804,735.086294548619,29.40345178194476,739.586294548619,18.20859948166485
NGC 4552,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,1.2697400486015882,-0.10938194610856171,0.02523907148264122,3.353955977909356e-05,1.2697065090418092,27.740500476115972,0.021582132160495746,847.8811601008802,33.91524640403521,852.3811601008802,18.18826002992688
NGC 4552,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_O2024062601-NRCA3_FP1-1,25,1.264425695306032,-0.10670699741382125,0.02469610213288322,3.353955977909356e-05,1.264392155746253,27.745054358975256,0.021206594868702175,728.275329484402,31.664144760191395,732.8207840298566,18.407015418236682
NGC 4552,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.2628828644210777,-0.10594584100404236,0.024352047053996618,3.353955977909356e-05,1.2628493248612986,27.746380000051158,0.020936701335609948,710.0121054761194,30.870091542439972,714.5575600215739,18.38007658320786
NGC 4552,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,1.2625204299998904,-0.10671434136879873,0.02498355362850414,3.353955977909356e-05,1.2624868904401114,27.74669164819785,0.02148580623164105,747.4065222615521,32.49593575050227,751.9519768070066,18.383199717189115
NGC 4552,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.2675061341259766,-0.10412880285982662,0.023296672373809515,3.353955977909356e-05,1.2674725945661975,27.74241239667989,0.01995628209641139,645.573276385085,28.068403321090653,650.1187309305395,18.426773698590164
NGC 4552,inner,normalized_full_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,1.2633499153763474,-0.10825178140440006,0.025039171544535166,3.353955977909356e-05,1.2633163758165684,27.74597852667414,0.02151949868098497,749.7314361387928,32.597018962556206,754.2768906842473,18.402652578622572
NGC 4552,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_O2024062601-NRCA3_FP1-1,24,1.2612106345999747,-0.10614603631997684,0.02507259077138036,3.353955977909356e-05,1.2611770950401957,27.747818654346357,0.021584771603154272,703.0535701320803,31.956980460549104,707.6249987035088,18.598601204103087
NGC 4552,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.2596891311402378,-0.10538983562402797,0.02471756617224939,3.353955977909356e-05,1.2596555915804588,27.7491292939626,0.02130483654904795,685.0880110435212,31.140364138341873,689.6594396149497,18.57161868090597
NGC 4552,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,1.2594114005341945,-0.1061709570771165,0.025409770733169062,3.353955977909356e-05,1.2593778609744155,27.749368704975637,0.021906299050119343,723.9676382153943,32.90761991888156,728.5390667868229,18.576285029965778
NGC 4552,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.2646377919947325,-0.10363515067359799,0.023714456398036283,3.353955977909356e-05,1.2646042524349534,27.74487224637626,0.020360238262626288,626.1410330849885,28.46095604931766,630.7124616564171,18.624207737458317
NGC 4552,inner,normalized_full_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,1.260549259509191,-0.10775898877950996,0.02556103722069206,3.353955977909356e-05,1.260515719949412,27.74838817565616,0.022016816690544144,731.2253039582016,33.23751381628189,735.7967325296302,18.601080666688297
NGC 4552,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_O2024062601-NRCA3_FP1-1,27,1.2718223863648248,-0.10791317197948204,0.02494578485002719,3.353955977909356e-05,1.2717888468050458,27.73872131094788,0.021296413972981782,825.7726065661323,33.030904262645294,830.2726065661323,18.19257242965195
NGC 4552,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.2701936494853632,-0.10713426173372655,0.0245919008805843,3.353955977909356e-05,1.2701601099255841,27.740112667635337,0.02102122159342416,804.7660138404328,32.190640553617314,809.2660138404328,18.164626688422462
NGC 4552,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,1.2698101229078145,-0.10790386988979028,0.025181628320065035,3.353955977909356e-05,1.2697765833480354,27.740440556668947,0.021531823724271187,843.9508318448854,33.75803327379542,848.4508318448854,18.167498616504343
NGC 4552,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.2746163355315552,-0.10526766738021882,0.023562405775551742,3.353955977909356e-05,1.2745827959717762,27.73633871059924,0.020071318318880767,734.2803535407381,29.371214141629526,738.7803535407381,18.207118313157977
NGC 4552,inner,normalized_union_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,1.2706444009346036,-0.1094502016652372,0.0252435938638357,3.353955977909356e-05,1.2706108613748246,27.73972743246188,0.021570635533935806,846.966346033726,33.87865384134904,851.466346033726,18.186792540551608
NGC 4552,inner,normalized_union_3p5,0.03,0.03,0.25,stpsf_O2024062601-NRCA3_FP1-1,25,1.2653275886864268,-0.10677354261736875,0.024698729660835382,3.353955977909356e-05,1.2652940491266478,27.744280177311516,0.02119373360114358,727.383127429577,31.62535336650335,731.9285819750315,18.405536393253175
NGC 4552,inner,normalized_union_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.2637831013297633,-0.10601179886740052,0.024355750967128866,3.353955977909356e-05,1.2637495617699843,27.74560629604048,0.020924969170353473,709.2069758037151,30.835085904509352,713.7524303491696,18.378601523783086
NGC 4552,inner,normalized_union_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,1.2634205020978264,-0.10678082149163254,0.02498725097189132,3.353955977909356e-05,1.2633869625380474,27.74591786378749,0.021473676586830494,746.5531751374187,32.4588337016269,751.0986296828733,18.381720316532448
NGC 4552,inner,normalized_union_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.2684088774827873,-0.10419333647682132,0.02329969497538842,3.353955977909356e-05,1.2683753379230083,27.741639368317312,0.019944665934631924,644.8128546328289,28.035341505775172,649.3583091782834,18.42528815610403
NGC 4552,inner,normalized_union_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,1.2642513270994933,-0.1083195095746538,0.025042707879176833,3.353955977909356e-05,1.2642177875397143,27.74520409964649,0.021507191939228915,748.864548260293,32.55932818523013,753.4100028057475,18.401181150107796
NGC 4552,inner,normalized_union_3p5,0.04,0.04,0.25,stpsf_O2024062601-NRCA3_FP1-1,24,1.2621105951354965,-0.10621224143193055,0.025074819418781077,3.353955977909356e-05,1.2620770555757175,27.74704416258344,0.021571297212374912,702.1675557376427,31.91670707898376,706.7389843090713,18.597107903005586
NGC 4552,inner,normalized_union_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.2605874359695477,-0.1054554541473039,0.02472092454553216,3.353955977909356e-05,1.2605538964097687,27.748355293132875,0.021292546769022206,684.288812109173,31.10403691405332,688.8602406806016,18.57012936773831
NGC 4552,inner,normalized_union_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,1.2603096083876872,-0.10623710857172171,0.02541316528313556,3.353955977909356e-05,1.2602760688279082,27.74859461706165,0.021893610699966697,723.1201019919015,32.86909554508643,727.69153056333,18.57479116762716
NGC 4552,inner,normalized_union_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.2655388302345492,-0.10369938811540683,0.023717196139747546,3.353955977909356e-05,1.2655052906747701,27.744098928175188,0.020348092350165818,625.3856162713805,28.426618921426385,629.9570448428091,18.622707314627643
NGC 4552,inner,normalized_union_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,1.261449048905936,-0.10782642887953851,0.025564369565261046,3.353955977909356e-05,1.261415509346157,27.74761342497715,0.022003979959948253,730.3637960023416,33.1983543637428,734.9352245737701,18.599594710220334
NGC 4552,outer,no_winsor,0.01,0.01,0.25,stpsf_O2024062601-NRCA3_FP1-1,27,1.0891643452943978,-0.08212831059441862,0.012895875715379666,0.0056403153757993,1.0835240299185984,27.912662472651967,0.012922204556276184,893.5754449614664,35.74301779845865,898.0754449614664,17.309599862683456
NGC 4552,outer,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.088837405494159,-0.08193052040957854,0.013060406014979865,0.0056403153757993,1.0831970901183596,27.91299012938389,0.013091020820370773,916.9882904944858,36.67953161977943,921.4882904944858,17.3044200796772
NGC 4552,outer,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,1.0866926128405638,-0.08192660333546407,0.01318259378024304,0.0056403153757993,1.0810522974647645,27.91514208082849,0.01323971039458034,937.841145122454,37.51364580489816,942.341145122454,17.27324875262182
NGC 4552,outer,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.091522078454659,-0.08001537153943894,0.012047054448800162,0.0056403153757993,1.0858817630788598,27.910302492541845,0.01204543958696627,776.8048608503818,31.072194434015273,781.3048608503818,17.328791523058438
NGC 4552,outer,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,1.0870527676874584,-0.08337717107095842,0.01323671115719957,0.0056403153757993,1.081412452311659,27.914780425767752,0.013289634777717182,944.9043995842534,37.796175983370134,949.4043995842534,17.287079761726627
NGC 4552,outer,no_winsor,0.03,0.03,0.25,stpsf_O2024062601-NRCA3_FP1-1,25,1.086670785637705,-0.08168638300200969,0.013160387893900984,0.0056403153757993,1.0810304702619056,27.915164002824024,0.013217675170254085,834.792890153103,36.29534305013492,839.3383446985575,17.526306853606787
NGC 4552,outer,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.0862667611335548,-0.08147530519586856,0.013296469567242,0.0056403153757993,1.0806264457577555,27.915569861897797,0.013359342130939781,852.718314792212,37.07470933879183,857.2637693376665,17.519640598630232
NGC 4552,outer,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,1.08406369628433,-0.08146021472239175,0.01341322822045616,0.0056403153757993,1.0784233809085306,27.917785603349287,0.01350418375514424,871.2251982798374,37.87935644694945,875.7706528252919,17.4869973522524
NGC 4552,outer,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.0892378861423715,-0.07961567883521227,0.01227924595546544,0.0056403153757993,1.0835975707665721,27.912588784160118,0.012303480794578703,723.6528387516747,31.463166902246726,728.1982932971292,17.54928286589887
NGC 4552,outer,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,1.0845997889247503,-0.08293871275799168,0.013499550430676249,0.0056403153757993,1.078959473548951,27.917246009554347,0.013584338438897293,881.5659968996872,38.32895638694292,886.1114514451417,17.503962011236776
NGC 4552,outer,no_winsor,0.04,0.04,0.25,stpsf_O2024062601-NRCA3_FP1-1,24,1.0852676371781405,-0.08143924769872547,0.013493230322782391,0.0056403153757993,1.0796273218023411,27.916574174580937,0.013569579413874088,818.5742564502744,37.20792074773975,823.145685021703,17.743548627071906
