galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 4552,inner,no_winsor,0.01,0.01,0.25,5,1.2941262486882366,0.02494282535913481,0.0012969279039968626,0.02497652015162369,-0.10979698810466482,1.0,3.353955977909356e-05,1.2940927091284575,27.719845365003923,0.020955154144831054,31.841797068954335,800.5449267238583,18.161337321914235,0.003551948757285622,k-window MAD,0.020955154144831054,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,no_winsor,0.03,0.03,0.25,5,1.28775185179248,0.02472506887921387,0.0012918872473753184,0.024758796492192453,-0.1086754532554219,1.0,3.353955977909356e-05,1.287718312232701,27.725206661782657,0.020875312156743032,30.5522175616568,707.2464584635609,18.37747045573585,0.003551948757285622,k-window MAD,0.020875312156743032,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,no_winsor,0.04,0.04,0.25,5,1.2849135394583822,0.025092157573244282,0.0013493118738016228,0.02512841049914026,-0.10810629602710276,1.0,3.353955977909356e-05,1.2848799998986031,27.72760241839758,0.021233753384824975,30.808427609989145,682.3568359911898,18.573795412869597,0.003551948757285622,k-window MAD,0.021233753384824975,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,raw_global_3p5,0.01,0.01,0.25,5,1.1721982685134391,0.0234826321804658,0.0011221835758655416,0.023509430237693772,-0.09929101891956595,1.0,3.353955977909356e-05,1.17216472895366,27.82728721829938,0.021775983299791597,34.24141542086851,860.5353855217129,18.183704553430353,0.0034881422869443234,k-window MAD,0.021775983299791597,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,raw_global_3p5,0.03,0.03,0.25,5,1.1662563300632967,0.023305466918955586,0.0011156473768857559,0.02333215500934462,-0.09824174582305413,1.0,3.353955977909356e-05,1.1662227905035176,27.83280503049553,0.02172189193604838,32.94355334745139,762.2471815368366,18.397211315114376,0.0034881422869443234,k-window MAD,0.02172189193604838,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,raw_global_3p5,0.04,0.04,0.25,5,1.1637319372118444,0.02369647693983316,0.001147851453410276,0.023724261470468175,-0.09773398996690767,1.0,3.353955977909356e-05,1.1636983976520654,27.835157750235812,0.022134850113746666,33.34715793301537,738.2089030977667,18.593995347717257,0.0034881422869443234,k-window MAD,0.022134850113746666,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,normalized_full_3p5,0.01,0.01,0.25,5,1.2697400486015882,0.024942080326947943,0.0012349277104423254,0.02497263337107126,-0.10783686415124001,1.0,3.353955977909356e-05,1.2697065090418092,27.740500476115972,0.021354298797432027,33.06858359287999,831.2145898219997,18.18826002992688,0.0035725455807431917,k-window MAD,0.021354298797432027,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,normalized_full_3p5,0.03,0.03,0.25,5,1.2633499153763474,0.02469610213288322,0.0012297950191351413,0.024726703305270777,-0.10670699741382125,1.0,3.353955977909356e-05,1.2633163758165684,27.74597852667414,0.021250953060346526,31.664144760191395,732.8207840298566,18.402652578622572,0.0035725455807431917,k-window MAD,0.021250953060346526,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,normalized_full_3p5,0.04,0.04,0.25,5,1.260549259509191,0.02507259077138036,0.0012752263198098747,0.025104999704358564,-0.10614603631997684,1.0,3.353955977909356e-05,1.260515719949412,27.74838817565616,0.02162401203577068,31.956980460549104,707.6249987035088,18.598601204103087,0.0035725455807431917,k-window MAD,0.02162401203577068,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4552,inner,normalized_union_3p5,0.01,0.01,0.25,5,1.2706444009346036,0.02494578485002719,0.001236900602517591,0.024976430987720292,-0.10790386988979028,1.0,3.353955977909356e-05,1.2706108613748246,27.73972743246188,0.02134234501951981,33.030904262645294,830.2726065661323,18.186792540551608,0.0035720657352369526,k-window MAD,0.02134234501951981,"max(fit covariance + PSF MAD, k-window MAD)"
