galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4621,no_winsor,0.01,27.543382916610724,0.025382552100054474,0.025382552100054474,"max(fit covariance + PSF MAD, k-window MAD)",27.736618116849947,0.01288921452385006,0.01288921452385006,"max(fit covariance + PSF MAD, k-window MAD)",27.697005219932304,0.011492392960040197,0.19323520023922214,0.09661760011961107,0.09661760011961107
NGC 4621,no_winsor,0.03,27.54987963741517,0.024649929354587534,0.024649929354587534,"max(fit covariance + PSF MAD, k-window MAD)",27.738835769611875,0.013418162146791628,0.013418162146791628,"max(fit covariance + PSF MAD, k-window MAD)",27.695643610776063,0.011785218515482502,0.18895613219670437,0.09447806609835219,0.09447806609835219
NGC 4621,no_winsor,0.04,27.554715072672607,0.024103672659019887,0.024103672659019887,"max(fit covariance + PSF MAD, k-window MAD)",27.739666742900997,0.013970109783746966,0.013970109783746966,"max(fit covariance + PSF MAD, k-window MAD)",27.693160455344998,0.01208676082341335,0.18495167022838999,0.09247583511419499,0.09247583511419499
NGC 4621,raw_global_3p5,0.01,27.667370627826035,0.026571224007677877,0.026571224007677877,"max(fit covariance + PSF MAD, k-window MAD)",27.747915169001445,0.012980173064668164,0.012980173064668164,"max(fit covariance + PSF MAD, k-window MAD)",27.732397378114282,0.011662951035985886,0.08054454117540999,0.040272270587704995,0.040272270587704995
NGC 4621,raw_global_3p5,0.03,27.674170551297482,0.025864777997842148,0.025864777997842148,"max(fit covariance + PSF MAD, k-window MAD)",27.75011343783406,0.013519312294518521,0.013519312294518521,"max(fit covariance + PSF MAD, k-window MAD)",27.733817483409638,0.011981332085888988,0.07594288653657699,0.037971443268288496,0.037971443268288496
NGC 4621,raw_global_3p5,0.04,27.679149083541326,0.025320488046556025,0.025320488046556025,"max(fit covariance + PSF MAD, k-window MAD)",27.751008097454278,0.014069544372701139,0.014069544372701139,"max(fit covariance + PSF MAD, k-window MAD)",27.73405541730899,0.012298457076797525,0.07185901391295246,0.03592950695647623,0.03592950695647623
NGC 4621,normalized_full_3p5,0.01,27.563130964766064,0.025773532055457963,0.025773532055457963,"max(fit covariance + PSF MAD, k-window MAD)",27.744618154309876,0.013075511430662181,0.013075511430662181,"max(fit covariance + PSF MAD, k-window MAD)",27.707468908250203,0.01166073574865378,0.18148718954381238,0.09074359477190619,0.09074359477190619
NGC 4621,normalized_full_3p5,0.03,27.56967532068129,0.025034304691620272,0.025034304691620272,"max(fit covariance + PSF MAD, k-window MAD)",27.74688414694242,0.013603007799081,0.013603007799081,"max(fit covariance + PSF MAD, k-window MAD)",27.706489060542314,0.011952455346330134,0.1772088262611291,0.08860441313056455,0.08860441313056455
NGC 4621,normalized_full_3p5,0.04,27.574560447127443,0.02447358558217033,0.02447358558217033,"max(fit covariance + PSF MAD, k-window MAD)",27.74777175372853,0.014156474694182509,0.014156474694182509,"max(fit covariance + PSF MAD, k-window MAD)",27.7043464482745,0.012254085997797579,0.17321130660108608,0.08660565330054304,0.08660565330054304
NGC 4621,normalized_union_3p5,0.01,27.56196353070929,0.025752783776121644,0.025752783776121644,"max(fit covariance + PSF MAD, k-window MAD)",27.744057575758077,0.01306315552128619,0.01306315552128619,"max(fit covariance + PSF MAD, k-window MAD)",27.706792413795554,0.011650050724428289,0.1820940450487889,0.09104702252439445,0.09104702252439445
NGC 4621,normalized_union_3p5,0.03,27.56850485705255,0.025013606138505045,0.025013606138505045,"max(fit covariance + PSF MAD, k-window MAD)",27.746320580755242,0.013590681426224585,0.013590681426224585,"max(fit covariance + PSF MAD, k-window MAD)",27.70579212090787,0.011941840779181668,0.17781572370269316,0.08890786185134658,0.08890786185134658
NGC 4621,normalized_union_3p5,0.04,27.57338762204921,0.02445312470853747,0.02445312470853747,"max(fit covariance + PSF MAD, k-window MAD)",27.747204414507586,0.01414405679934378,0.01414405679934378,"max(fit covariance + PSF MAD, k-window MAD)",27.703629998909857,0.01224346326863723,0.1738167924583749,0.08690839622918745,0.08690839622918745
