galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 4621,inner,no_winsor,0.01,0.01,0.25,5,1.5224545743009448,0.03557228969687331,0.0011811032392413316,0.03559189232311237,-0.13224217954053652,1.0,1.4831491430689464e-05,1.522439742809514,27.543382916610724,0.025382552100054474,47.01909209490534,1179.9773023726334,18.201259342958558,0.007169016312676283,k-window MAD,0.025382552100054474,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4621,inner,no_winsor,0.03,0.03,0.25,5,1.5133719510539356,0.03433658891267916,0.0012237265142632859,0.03435838827331737,-0.13060580610344896,1.0,1.4831491430689464e-05,1.5133571195625048,27.54987963741517,0.024649929354587534,43.049045313181125,994.6734967486203,18.357626786934045,0.007169016312676283,k-window MAD,0.024649929354587534,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4621,inner,no_winsor,0.04,0.04,0.25,5,1.506647049223387,0.03340883180722259,0.001611841872340636,0.033447691653456714,-0.12936762429143944,1.0,1.4831491430689464e-05,1.5066322177319562,27.554715072672607,0.024103672659019887,40.08633010788988,886.4706909450059,18.50333650070642,0.007169016312676283,k-window MAD,0.024103672659019887,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4621,inner,raw_global_3p5,0.01,0.01,0.25,5,1.3581563569489217,0.03322224010126414,0.0010169091309020846,0.03323779988998302,-0.11823598825984195,1.0,1.4831491430689464e-05,1.358141525457491,27.667370627826035,0.026571224007677877,51.42116955576044,1290.029238894011,18.20173178803144,0.007381171904721851,k-window MAD,0.026571224007677877,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4621,inner,raw_global_3p5,0.03,0.03,0.25,5,1.3496769503995227,0.0321351816246369,0.0010432401254924929,0.032152111097217835,-0.1167082742761147,1.0,1.4831491430689464e-05,1.349662118908092,27.674170551297482,0.025864777997842148,47.27054689974519,1091.768033239594,18.359306470751342,0.007381171904721851,k-window MAD,0.025864777997842148,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4621,inner,raw_global_3p5,0.04,0.04,0.25,5,1.3435023801374664,0.031301170468495995,0.0013786126417568898,0.03133151521254371,-0.11557219777787846,1.0,1.4831491430689464e-05,1.3434875486460356,27.679149083541326,0.025320488046556025,44.123927456870874,975.2978326225877,18.503248822385594,0.007381171904721851,k-window MAD,0.025320488046556025,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4621,inner,normalized_full_3p5,0.01,0.01,0.25,5,1.4950137997727577,0.03547046494353527,0.001138589061347758,0.03548873438657943,-0.13030759482336846,1.0,1.4831491430689464e-05,1.494998968281327,27.563130965609027,0.025773532023804904,48.58931720375844,1219.232930093961,18.237863074467274,0.0072426884696272665,k-window MAD,0.025773532023804904,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4621,inner,normalized_full_3p5,0.03,0.03,0.25,5,1.4860296854512285,0.034243364687984466,0.0011805418200940003,0.0342637082660837,-0.12868970979454303,1.0,1.4831491430689464e-05,1.4860148539597977,27.569675321523448,0.025034304653568352,44.509157738928444,1028.2560825408086,18.39267388243309,0.0072426884696272665,k-window MAD,0.025034304653568352,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4621,inner,normalized_full_3p5,0.04,0.04,0.25,5,1.4793585773048603,0.03330970044496075,0.0015532492586795184,0.03334589520454665,-0.127463136212282,1.0,1.4831491430689464e-05,1.4793437458134295,27.57456044796998,0.024473585538254496,41.43294777419712,916.0962796037651,18.536936199229064,0.0072426884696272665,k-window MAD,0.024473585538254496,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4621,inner,normalized_union_3p5,0.01,0.01,0.25,5,1.4966221561660984,0.035479980192826575,0.0011407516017284288,0.035498314167016605,-0.13042962610165623,1.0,1.4831491430689464e-05,1.4966073246746676,27.561963531953896,0.02575278382216027,48.507543145831114,1217.1885786457779,18.23654489415046,0.00723918739121432,k-window MAD,0.02575278382216027,"max(fit covariance + PSF MAD, k-window MAD)"
