galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4636,no_winsor,0.01,27.80829175937184,0.025992870593779062,0.025992870593779062,"max(fit covariance + PSF MAD, k-window MAD)",27.93325804926468,0.020279859882318983,0.020279859882318983,"max(fit covariance + PSF MAD, k-window MAD)",27.885972071563362,0.015989099054750204,0.1249662898928392,0.0624831449464196,0.0624831449464196
NGC 4636,no_winsor,0.03,27.814660568261715,0.025152599667723007,0.025152599667723007,"max(fit covariance + PSF MAD, k-window MAD)",27.938905618641247,0.019099304634061908,0.019099304634061908,"max(fit covariance + PSF MAD, k-window MAD)",27.89346660859946,0.015210999807488924,0.12424505037953182,0.06212252518976591,0.06212252518976591
NGC 4636,no_winsor,0.04,27.81949828490596,0.024971923952260548,0.024971923952260548,"max(fit covariance + PSF MAD, k-window MAD)",27.942728868017284,0.018914156006258245,0.018914156006258245,"max(fit covariance + PSF MAD, k-window MAD)",27.89780553967666,0.01507747838796101,0.12323058311132229,0.061615291555661145,0.061615291555661145
NGC 4636,raw_global_3p5,0.01,27.91545648327213,0.025962944828914484,0.025962944828914484,"max(fit covariance + PSF MAD, k-window MAD)",27.939206957247578,0.020441710823618425,0.020441710823618425,"max(fit covariance + PSF MAD, k-window MAD)",27.930118110856203,0.01606098556385835,0.02375047397544705,0.011875236987723525,0.01606098556385835
NGC 4636,raw_global_3p5,0.03,27.92185930454356,0.025059452634474753,0.025059452634474753,"max(fit covariance + PSF MAD, k-window MAD)",27.944864315707754,0.019276348391872672,0.019276348391872672,"max(fit covariance + PSF MAD, k-window MAD)",27.93631235259172,0.015278941426729337,0.0230050111641944,0.0115025055820972,0.015278941426729337
NGC 4636,raw_global_3p5,0.04,27.926740432741887,0.024840960438603694,0.024840960438603694,"max(fit covariance + PSF MAD, k-window MAD)",27.9486932934841,0.019098995761293664,0.019098995761293664,"max(fit covariance + PSF MAD, k-window MAD)",27.94053744264623,0.015141101093161627,0.021952860742214142,0.010976430371107071,0.015141101093161627
NGC 4636,normalized_full_3p5,0.01,27.82495769136608,0.025900121779057365,0.025900121779057365,"max(fit covariance + PSF MAD, k-window MAD)",27.936616431881767,0.02039917024496761,0.02039917024496761,"max(fit covariance + PSF MAD, k-window MAD)",27.89386888694337,0.016025479481379345,0.11165874051568636,0.05582937025784318,0.05582937025784318
NGC 4636,normalized_full_3p5,0.03,27.831324682936405,0.02503655574838874,0.02503655574838874,"max(fit covariance + PSF MAD, k-window MAD)",27.942269773861263,0.01922763149935654,0.01922763149935654,"max(fit covariance + PSF MAD, k-window MAD)",27.901110388084746,0.015249478100011895,0.11094509092485794,0.05547254546242897,0.05547254546242897
NGC 4636,normalized_full_3p5,0.04,27.836186971127347,0.024828454975074656,0.024828454975074656,"max(fit covariance + PSF MAD, k-window MAD)",27.946102362840996,0.01904519563731963,0.01904519563731963,"max(fit covariance + PSF MAD, k-window MAD)",27.905385851852596,0.015111435339411993,0.10991539171364906,0.05495769585682453,0.05495769585682453
NGC 4636,normalized_union_3p5,0.01,27.822477478953218,0.025891739376331296,0.025891739376331296,"max(fit covariance + PSF MAD, k-window MAD)",27.935697555490627,0.02036958019697203,0.02036958019697203,"max(fit covariance + PSF MAD, k-window MAD)",27.892412596355584,0.01600914029899003,0.1132200765374094,0.0566100382687047,0.0566100382687047
NGC 4636,normalized_union_3p5,0.03,27.828844786788036,0.025028357326243054,0.025028357326243054,"max(fit covariance + PSF MAD, k-window MAD)",27.94134933541842,0.01919564832239217,0.01919564832239217,"max(fit covariance + PSF MAD, k-window MAD)",27.89968160040423,0.015231660555905312,0.11250454863038328,0.05625227431519164,0.05625227431519164
NGC 4636,normalized_union_3p5,0.04,27.83370404772576,0.024821519467572675,0.024821519467572675,"max(fit covariance + PSF MAD, k-window MAD)",27.945179249657382,0.01901274835831248,0.01901274835831248,"max(fit covariance + PSF MAD, k-window MAD)",27.903959035990006,0.015093652571183848,0.11147520193162208,0.05573760096581104,0.05573760096581104
