galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 4636,inner,no_winsor,0.01,0.01,0.25,stpsf_R2024051402-NRCA3_FP1-1,27,1.1947679713612627,-0.10268424232833959,0.029112829516426242,6.31478231329878e-05,1.1947048235381297,27.80655433304054,0.026457458282728916,1263.178117004489,50.52712468017956,1267.678117004489,18.19479527759364
NGC 4636,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.1916353538897424,-0.10155391728169423,0.028271198127075244,6.31478231329878e-05,1.1915722060666094,27.809404964476965,0.025760137071156177,1198.3815939661333,47.935263758645334,1202.8815939661333,18.13718747374266
NGC 4636,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,1.1928576991531066,-0.10293619150803923,0.028415087268752526,6.31478231329878e-05,1.1927945513299736,27.80829175937184,0.025864713227141272,1207.9950267288007,48.31980106915203,1212.4950267288007,18.1630792396785
NGC 4636,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.1972703810545169,-0.09993375503582116,0.02805289873384473,6.31478231329878e-05,1.197207233231384,27.80428254567555,0.025440915288775318,1169.2649391356156,46.77059756542462,1173.7649391356156,18.205636667680043
NGC 4636,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,1.190179474977209,-0.10347979478646852,0.02927246556235754,6.31478231329878e-05,1.190116327154076,27.810732342612198,0.026705100113690403,1286.5810365640566,51.463241462562266,1291.0810365640566,18.13629855665791
NGC 4636,inner,no_winsor,0.03,0.03,0.25,stpsf_R2024051402-NRCA3_FP1-1,25,1.1877757866909422,-0.1014422055783722,0.028151976243498578,6.31478231329878e-05,1.1877126388678092,27.812927430924766,0.025734861146374546,1066.6641903558009,46.37670392851308,1071.2096449012554,18.36245649949407
NGC 4636,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.1847932830699923,-0.10034164880958178,0.027264341826059486,6.31478231329878e-05,1.1847301352468593,27.815657287175313,0.024986182201979762,1006.2398122068391,43.74955705247127,1010.7852667522936,18.306618476619985
NGC 4636,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,1.1858813789703133,-0.10169361182090458,0.027327184678384825,6.31478231329878e-05,1.1858182311471803,27.814660568261715,0.025020794081341353,1008.9959489927115,43.86938908663963,1013.541403538166,18.330059453104102
NGC 4636,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.1903694070068753,-0.09872628953592698,0.026935639342436975,6.31478231329878e-05,1.1903062591837423,27.810559082551002,0.024569306098118113,973.3312054489229,42.31874806299665,977.8766599943774,18.37479233051882
NGC 4636,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,1.1830982734604687,-0.10221269974295198,0.028236550893430842,6.31478231329878e-05,1.1830351256373357,27.817211777094773,0.02591423106391478,1081.3917338366973,47.01703190594336,1085.9371883821518,18.300741913476028
NGC 4636,inner,no_winsor,0.04,0.04,0.25,stpsf_R2024051402-NRCA3_FP1-1,24,1.18239815591558,-0.10049271166514281,0.027847678614681817,6.31478231329878e-05,1.182335008092447,27.81785450355642,0.025572475384290284,979.3653551028276,44.51660705012853,983.9367836742562,18.536583645969884
NGC 4636,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.1795611202590965,-0.09942016030929518,0.026979069185636625,6.31478231329878e-05,1.1794979724359635,27.820462879197983,0.02483442351751089,924.283547847419,42.01288853851904,928.8549764188475,18.482698463720013
NGC 4636,inner,no_winsor,0.04,0.04,0.25,stpsf_field_768_1024,24,1.180609480397507,-0.10076002975451691,0.027022745640700153,6.31478231329878e-05,1.180546332574374,27.81949828490596,0.02485253859549785,925.6171647841835,42.07350749019016,930.188593355612,18.505660541508032
NGC 4636,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_1280,24,1.1855205612572728,-0.09788225623862148,0.026851385153080866,6.31478231329878e-05,1.1854574134341398,27.81499098354539,0.02459263460519451,906.5737991233117,41.207899960150534,911.1452276947402,18.55955849932112
