galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 4636,inner,no_winsor,0.004473650243842351,27.543187645053376,6.971171767130014,433,0.9230468910764076,0.007623025779913646
NGC 4636,inner,no_winsor,0.013420950731527052,1.3610258239925481,0.038885224336010216,1296,0.8377646010824008,0.003923324643189537
NGC 4636,inner,no_winsor,0.02236825121921175,0.9467681796317823,0.020076326172234024,2148,0.7562453514940105,0.0018723934219514072
NGC 4636,inner,no_winsor,0.031315551706896455,0.8579050794238392,0.015187191703053276,3000,0.6938808507274359,0.006684458272482682
NGC 4636,inner,no_winsor,0.04026285219458116,0.7788732379744957,0.012992879594859957,3884,0.6467043663344093,0.005368049622198884
NGC 4636,inner,no_winsor,0.04921015268226586,0.7001772523617111,0.009922870230820174,4760,0.603792530368793,0.0015089067191390668
NGC 4636,inner,no_winsor,0.05815745316995056,0.6620067847867552,0.008915240176352026,5552,0.5676088034191009,0.0025389254224913857
NGC 4636,inner,no_winsor,0.06710475365763527,0.5928055554576374,0.007428517846252226,6500,0.5393942897455909,0.0007456843632114143
NGC 4636,inner,no_winsor,0.07605205414531996,0.5632333861570445,0.006599414037326076,7312,0.5060861689766069,0.0009833603653525596
NGC 4636,inner,no_winsor,0.08499935463300468,0.47496598970387643,0.005280565700912952,8176,0.47626405318202003,0.0007128253010346102
NGC 4636,inner,no_winsor,0.09394665512068937,0.4610288644064635,0.004925793138346301,9032,0.4469205649896498,0.0028659550465107266
NGC 4636,inner,no_winsor,0.10289395560837407,0.41017389933893,0.004168798587940405,9936,0.41806115217374734,0.0008803632957819357
NGC 4636,inner,no_winsor,0.11184125609605877,0.37432320504406585,0.0036251368373172417,10768,0.3915868586194765,0.0013101457251428587
NGC 4636,inner,no_winsor,0.12078855658374346,0.3346138876274772,0.003113217823086889,11580,0.36741445818990687,0.002604991409208324
NGC 4636,inner,no_winsor,0.12973585707142818,0.30936541638386683,0.0027991905608530485,12520,0.34425884162059267,0.0014557016283515652
NGC 4636,inner,no_winsor,0.13868315755911287,0.27503759894647967,0.0023595690259478916,13332,0.32284707999107254,0.00029341246998293864
NGC 4636,inner,no_winsor,0.14763045804679759,0.253683868630343,0.0021215274419936606,14210,0.3037229178151939,0.001697381864116132
NGC 4636,inner,no_winsor,0.15657775853448228,0.22590748301588792,0.0018760735721715144,15074,0.28417962474994013,0.0010072600626291944
NGC 4636,inner,no_winsor,0.16552505902216696,0.19737093990390125,0.0015787715551787386,15960,0.26493566027828197,0.0015273410572045267
NGC 4636,inner,no_winsor,0.17447235950985168,0.17851781004937448,0.0013894847441007288,16796,0.2468486554091076,0.0007298830127997502
NGC 4636,inner,no_winsor,0.1834196599975364,0.16450615204617244,0.0012824195321974876,17600,0.22981822588686224,0.002477848118076055
NGC 4636,inner,no_winsor,0.1923669604852211,0.1458818936600536,0.001053022463711229,18560,0.21548741498113416,0.002164703958193352
NGC 4636,inner,no_winsor,0.20131426097290578,0.13212017553326566,0.000934641515368439,19368,0.1999298182933589,0.0010645664807932575
NGC 4636,inner,no_winsor,0.2102615614605905,0.11619263690304943,0.0008110692543259379,20246,0.18685445435816433,0.0008844423790124026
NGC 4636,inner,no_winsor,0.21920886194827519,0.10412569978264005,0.0007138152238284177,21078,0.17419083029522378,0.0014207368761215953
NGC 4636,inner,no_winsor,0.22815616243595988,0.0946860875942134,0.000651781734410931,22000,0.16241406924850293,0.0011106145095320932
