galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4649,no_winsor,0.01,27.839946088291793,0.027201197716429336,0.027201197716429336,"max(fit covariance + PSF MAD, k-window MAD)",27.89633877757769,0.023950039138144412,0.023950039138144412,"max(fit covariance + PSF MAD, k-window MAD)",27.871712315043315,0.017975361794346015,0.05639268928589658,0.02819634464294829,0.02819634464294829
NGC 4649,no_winsor,0.03,27.845366406759997,0.02440966147429974,0.02440966147429974,"max(fit covariance + PSF MAD, k-window MAD)",27.901698653793318,0.022431430214132794,0.022431430214132794,"max(fit covariance + PSF MAD, k-window MAD)",27.875907363985842,0.016516565714538755,0.05633224703332118,0.02816612351666059,0.02816612351666059
NGC 4649,no_winsor,0.04,27.851359870773663,0.023004718895637596,0.023004718895637596,"max(fit covariance + PSF MAD, k-window MAD)",27.90592717326329,0.022413540665375205,0.022413540665375205,"max(fit covariance + PSF MAD, k-window MAD)",27.879353666728832,0.01605369919699682,0.05456730248962671,0.027283651244813356,0.027283651244813356
NGC 4649,raw_global_3p5,0.01,28.02148132267951,0.027111449601193285,0.027111449601193285,"max(fit covariance + PSF MAD, k-window MAD)",27.904904782099,0.024013079948171395,0.024013079948171395,"max(fit covariance + PSF MAD, k-window MAD)",27.956153859340084,0.01797588092206747,-0.11657654058051037,0.058288270290255184,0.058288270290255184
NGC 4649,raw_global_3p5,0.03,28.02701635349996,0.023914704683693295,0.023914704683693295,"max(fit covariance + PSF MAD, k-window MAD)",27.910265407265204,0.022508432268504002,0.022508432268504002,"max(fit covariance + PSF MAD, k-window MAD)",27.96510744590597,0.016390477762933307,-0.11675094623475601,0.05837547311737801,0.05837547311737801
NGC 4649,raw_global_3p5,0.04,28.03319952051443,0.02236404910581152,0.02236404910581152,"max(fit covariance + PSF MAD, k-window MAD)",27.91450428572061,0.022490548965926394,0.022490548965926394,"max(fit covariance + PSF MAD, k-window MAD)",27.974186647197744,0.01585830603359966,-0.11869523479381883,0.05934761739690941,0.05934761739690941
NGC 4649,normalized_full_3p5,0.01,27.85292783079472,0.027176554712979348,0.027176554712979348,"max(fit covariance + PSF MAD, k-window MAD)",27.897556473340025,0.023980517123065363,0.023980517123065363,"max(fit covariance + PSF MAD, k-window MAD)",27.878019485818392,0.017981104270433028,0.0446286425453053,0.02231432127265265,0.02231432127265265
NGC 4649,normalized_full_3p5,0.03,27.85836609297491,0.02432730326139229,0.02432730326139229,"max(fit covariance + PSF MAD, k-window MAD)",27.90291724970529,0.022465652971768058,0.022465652971768058,"max(fit covariance + PSF MAD, k-window MAD)",27.882411330918092,0.01650456541281888,0.04455115673037824,0.02227557836518912,0.02227557836518912
NGC 4649,normalized_full_3p5,0.04,27.864348577578404,0.02293132745263117,0.02293132745263117,"max(fit covariance + PSF MAD, k-window MAD)",27.907150127198996,0.022447749822318903,0.022447749822318903,"max(fit covariance + PSF MAD, k-window MAD)",27.88620541106203,0.016041193918167263,0.04280154962059157,0.021400774810295786,0.021400774810295786
NGC 4649,normalized_union_3p5,0.01,27.850497940561368,0.027196695273580533,0.027196695273580533,"max(fit covariance + PSF MAD, k-window MAD)",27.896981643114664,0.023967923097363657,0.023967923097363657,"max(fit covariance + PSF MAD, k-window MAD)",27.876661536872994,0.017981617929862997,0.046483702553295814,0.023241851276647907,0.023241851276647907
NGC 4649,normalized_union_3p5,0.03,27.855937440049544,0.02435654927817712,0.02435654927817712,"max(fit covariance + PSF MAD, k-window MAD)",27.90234257785976,0.022451288799020943,0.022451288799020943,"max(fit covariance + PSF MAD, k-window MAD)",27.881025753659333,0.016507981668432113,0.046405137810214825,0.023202568905107412,0.023202568905107412
NGC 4649,normalized_union_3p5,0.04,27.86191844748749,0.022962916985663155,0.022962916985663155,"max(fit covariance + PSF MAD, k-window MAD)",27.906574159749702,0.022433154654583887,0.022433154654583887,"max(fit covariance + PSF MAD, k-window MAD)",27.884767355157166,0.016046656695563963,0.04465571226221243,0.022327856131106216,0.022327856131106216
