galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4697,no_winsor,0.01,26.950424190788304,0.024023048395016258,0.024023048395016258,"max(fit covariance + PSF MAD, k-window MAD)",27.141116342575497,0.013516698389976843,0.013516698389976843,"max(fit covariance + PSF MAD, k-window MAD)",27.09526308344191,0.011780041252749436,0.1906921517871929,0.09534607589359645,0.09534607589359645
NGC 4697,no_winsor,0.03,26.954276985881243,0.024524783752519232,0.024524783752519232,"max(fit covariance + PSF MAD, k-window MAD)",27.14362665065947,0.013909461597429916,0.013909461597429916,"max(fit covariance + PSF MAD, k-window MAD)",27.09754247261342,0.012098982242071961,0.18934966477822712,0.09467483238911356,0.09467483238911356
NGC 4697,no_winsor,0.04,26.958038317044803,0.0244982995438402,0.0244982995438402,"max(fit covariance + PSF MAD, k-window MAD)",27.145287228786405,0.014161347206761722,0.014161347206761722,"max(fit covariance + PSF MAD, k-window MAD)",27.098389376363166,0.012260347145514562,0.18724891174160163,0.09362445587080082,0.09362445587080082
NGC 4697,raw_global_3p5,0.01,27.031354930243715,0.024134914963965377,0.024134914963965377,"max(fit covariance + PSF MAD, k-window MAD)",27.148703922343497,0.013609373228837979,0.013609373228837979,"max(fit covariance + PSF MAD, k-window MAD)",27.120392682409364,0.011854562651468536,0.11734899209978167,0.058674496049890834,0.058674496049890834
NGC 4697,raw_global_3p5,0.03,27.03522620307512,0.024638776476906092,0.024638776476906092,"max(fit covariance + PSF MAD, k-window MAD)",27.151187568433024,0.014018303934407582,0.014018303934407582,"max(fit covariance + PSF MAD, k-window MAD)",27.12282967397557,0.01218426871429775,0.11596136535790436,0.05798068267895218,0.05798068267895218
NGC 4697,raw_global_3p5,0.04,27.03893882007932,0.024641139210455524,0.024641139210455524,"max(fit covariance + PSF MAD, k-window MAD)",27.152869885565675,0.014269052297139286,0.014269052297139286,"max(fit covariance + PSF MAD, k-window MAD)",27.124259534933678,0.012348132840966463,0.11393106548635501,0.056965532743177505,0.056965532743177505
NGC 4697,normalized_full_3p5,0.01,26.97301525595092,0.02429021380929923,0.02429021380929923,"max(fit covariance + PSF MAD, k-window MAD)",27.14990468874101,0.013779005715244198,0.013779005715244198,"max(fit covariance + PSF MAD, k-window MAD)",27.106840885656553,0.011984959848141304,0.17688943279009095,0.08844471639504548,0.08844471639504548
NGC 4697,normalized_full_3p5,0.03,26.97698100497757,0.024774379917741274,0.024774379917741274,"max(fit covariance + PSF MAD, k-window MAD)",27.15243799412772,0.014186199345095928,0.014186199345095928,"max(fit covariance + PSF MAD, k-window MAD)",27.10911329976481,0.012310769808823377,0.17545698915014896,0.08772849457507448,0.08772849457507448
NGC 4697,normalized_full_3p5,0.04,26.980735127422083,0.024765677266935474,0.024765677266935474,"max(fit covariance + PSF MAD, k-window MAD)",27.154160707342424,0.014433625212727893,0.014433625212727893,"max(fit covariance + PSF MAD, k-window MAD)",27.110189593437784,0.012470313315233114,0.17342557992034102,0.08671278996017051,0.08671278996017051
NGC 4697,normalized_union_3p5,0.01,26.974066350638193,0.024299705415998848,0.024299705415998848,"max(fit covariance + PSF MAD, k-window MAD)",27.150423509547302,0.013793917214355748,0.013793917214355748,"max(fit covariance + PSF MAD, k-window MAD)",27.107444387935395,0.01199591084783494,0.1763571589091093,0.08817857945455465,0.08817857945455465
NGC 4697,normalized_union_3p5,0.03,26.978035001320414,0.02478336019291896,0.02478336019291896,"max(fit covariance + PSF MAD, k-window MAD)",27.152958401225806,0.014201865036753424,0.014201865036753424,"max(fit covariance + PSF MAD, k-window MAD)",27.10971722219109,0.01232210761584276,0.17492339990539207,0.08746169995269604,0.08746169995269604
NGC 4697,normalized_union_3p5,0.04,26.981789565119662,0.024774891758315064,0.024774891758315064,"max(fit covariance + PSF MAD, k-window MAD)",27.15468412479029,0.014449208756694563,0.014449208756694563,"max(fit covariance + PSF MAD, k-window MAD)",27.110801357347825,0.012481538076188637,0.1728945596706275,0.08644727983531375,0.08644727983531375
