galaxy,branch,requested_kmin,mbar_inner,sigma_inner_fit_psf,sigma_inner,sigma_inner_method,mbar_outer,sigma_outer_fit_psf,sigma_outer,sigma_outer_method,mbar_weighted,sigma_weighted_formal,annulus_difference,annulus_half_difference,sigma_adopted_internal
NGC 4697,no_winsor,0.01,26.950424190788304,0.024023048395016258,0.024023048395016258,"max(fit covariance + PSF MAD, k-window MAD)",27.141116342575497,0.013516698389976843,0.013516698389976843,"max(fit covariance + PSF MAD, k-window MAD)",27.09526308344191,0.011780041252749436,0.1906921517871929,0.09534607589359645,0.09534607589359645
NGC 4697,no_winsor,0.03,26.954276985881243,0.024524783752519232,0.024524783752519232,"max(fit covariance + PSF MAD, k-window MAD)",27.14362665065947,0.013909461597429916,0.013909461597429916,"max(fit covariance + PSF MAD, k-window MAD)",27.09754247261342,0.012098982242071961,0.18934966477822712,0.09467483238911356,0.09467483238911356
NGC 4697,no_winsor,0.04,26.958038317044803,0.0244982995438402,0.0244982995438402,"max(fit covariance + PSF MAD, k-window MAD)",27.145287228786405,0.014161347206761722,0.014161347206761722,"max(fit covariance + PSF MAD, k-window MAD)",27.098389376363166,0.012260347145514562,0.18724891174160163,0.09362445587080082,0.09362445587080082
NGC 4697,raw_global_3p5,0.01,27.031354930243715,0.024134914963965377,0.024134914963965377,"max(fit covariance + PSF MAD, k-window MAD)",27.148703922343497,0.013609373228837979,0.013609373228837979,"max(fit covariance + PSF MAD, k-window MAD)",27.120392682409364,0.011854562651468536,0.11734899209978167,0.058674496049890834,0.058674496049890834
NGC 4697,raw_global_3p5,0.03,27.03522620307512,0.024638776476906092,0.024638776476906092,"max(fit covariance + PSF MAD, k-window MAD)",27.151187568433024,0.014018303934407582,0.014018303934407582,"max(fit covariance + PSF MAD, k-window MAD)",27.12282967397557,0.01218426871429775,0.11596136535790436,0.05798068267895218,0.05798068267895218
NGC 4697,raw_global_3p5,0.04,27.03893882007932,0.024641139210455524,0.024641139210455524,"max(fit covariance + PSF MAD, k-window MAD)",27.152869885565675,0.014269052297139286,0.014269052297139286,"max(fit covariance + PSF MAD, k-window MAD)",27.124259534933678,0.012348132840966463,0.11393106548635501,0.056965532743177505,0.056965532743177505
NGC 4697,normalized_full_3p5,0.01,26.973015255469235,0.024290213710220575,0.024290213710220575,"max(fit covariance + PSF MAD, k-window MAD)",27.149904688722923,0.013779005714086318,0.013779005714086318,"max(fit covariance + PSF MAD, k-window MAD)",27.106840885265296,0.011984959835478025,0.1768894332536881,0.08844471662684406,0.08844471662684406
NGC 4697,normalized_full_3p5,0.03,26.97698100447823,0.024774379819162508,0.024774379819162508,"max(fit covariance + PSF MAD, k-window MAD)",27.15243799410034,0.014186199346933562,0.014186199346933562,"max(fit covariance + PSF MAD, k-window MAD)",27.10911329935279,0.012310769797928615,0.1754569896221092,0.0877284948110546,0.0877284948110546
NGC 4697,normalized_full_3p5,0.04,26.980735126919967,0.02476567716095121,0.02476567716095121,"max(fit covariance + PSF MAD, k-window MAD)",27.15416070730832,0.01443362521637448,0.01443362521637448,"max(fit covariance + PSF MAD, k-window MAD)",27.11018959298751,0.01247031330405409,0.1734255803883542,0.0867127901941771,0.0867127901941771
NGC 4697,normalized_union_3p5,0.01,26.974066347873737,0.024299705380706672,0.024299705380706672,"max(fit covariance + PSF MAD, k-window MAD)",27.150423508117917,0.013793917159230486,0.013793917159230486,"max(fit covariance + PSF MAD, k-window MAD)",27.10744438634602,0.011995910807332352,0.17635716024418002,0.08817858012209001,0.08817858012209001
NGC 4697,normalized_union_3p5,0.03,26.978034998535858,0.024783360162361445,0.024783360162361445,"max(fit covariance + PSF MAD, k-window MAD)",27.152958399800756,0.014201864975384917,0.014201864975384917,"max(fit covariance + PSF MAD, k-window MAD)",27.109717220631026,0.012322107572003659,0.17492340126489836,0.08746170063244918,0.08746170063244918
NGC 4697,normalized_union_3p5,0.04,26.98178956233328,0.024774891725129207,0.024774891725129207,"max(fit covariance + PSF MAD, k-window MAD)",27.15468412336198,0.014449208693356013,0.014449208693356013,"max(fit covariance + PSF MAD, k-window MAD)",27.110801355774168,0.012481538031118837,0.17289456102870204,0.08644728051435102,0.08644728051435102
