galaxy,ring,branch,requested_kmin,effective_kmin,kmax,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,P1,P1_negative_fraction,Pr,P_fluctuation,mbar,mbar_sigma,chi2_reduced,aicc,condition_number,k_window_scatter,k_window_scatter_method,sigma_measurement,sigma_measurement_method
NGC 4697,inner,no_winsor,0.01,0.01,0.25,5,2.6289644052977383,0.05815141544964645,0.0011115790234154715,0.058162038536511744,-0.21899837026063615,1.0,0.0002958889936654,2.628668516304073,26.950424190788304,0.024023048395016258,40.51648289492461,1017.4120723731152,18.29275828681985,0.005576549583093447,k-window MAD,0.024023048395016258,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4697,inner,no_winsor,0.03,0.03,0.25,5,2.6196529602499825,0.059132400063318005,0.0020072456780870383,0.05916645817066026,-0.21724952228027586,1.0,0.0002958889936654,2.6193570712563172,26.954276985881243,0.024524783752519232,40.945938576177454,946.3020417975359,18.50521370080946,0.005576549583093447,k-window MAD,0.024524783752519232,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4697,inner,no_winsor,0.04,0.04,0.25,5,2.6105943847415887,0.058834916906721164,0.0027288937174076524,0.058898168972742186,-0.21551753968127246,1.0,0.0002958889936654,2.6102984957479234,26.958038317044803,0.0244982995438402,39.837641555815146,880.9995427993617,18.671256896876756,0.005576549583093447,k-window MAD,0.0244982995438402,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4697,inner,raw_global_3p5,0.01,0.01,0.25,5,2.440148140313589,0.054224709726995654,0.001090121980486079,0.05423566640974623,-0.20555350835740444,1.0,0.0002958889936654,2.4398522513199237,27.031354930243715,0.024134914963965377,41.289174620178976,1036.7293655044743,18.395991978141975,0.0055043259704280765,k-window MAD,0.024134914963965377,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4697,inner,raw_global_3p5,0.03,0.03,0.25,5,2.4314641573449687,0.055138325666943815,0.0018947278270691266,0.05517087049243129,-0.20392831919072058,1.0,0.0002958889936654,2.4311682683513034,27.03522620307512,0.024638776476906092,41.74809879324686,964.7517267901324,18.606805016105596,0.0055043259704280765,k-window MAD,0.024638776476906092,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4697,inner,raw_global_3p5,0.04,0.04,0.25,5,2.423165104378588,0.05492489550724854,0.002629686825751188,0.054987811370190945,-0.2023415173930248,1.0,0.0002958889936654,2.4228692153849227,27.03893882007932,0.024641139210455524,40.72678865496012,900.5607789805512,18.77367881688323,0.0055043259704280765,k-window MAD,0.024641139210455524,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4697,inner,normalized_full_3p5,0.01,0.01,0.25,5,2.574834430618818,0.05758733830535889,0.0011013389427772364,0.057597868715454505,-0.2162113139972367,1.0,0.0002958889936654,2.5745385416251527,26.973015255469235,0.024290213710220575,41.67662638029522,1046.4156595073805,18.371456889049515,0.005565861932119945,k-window MAD,0.024290213710220575,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4697,inner,normalized_full_3p5,0.03,0.03,0.25,5,2.5654478504492277,0.05849902689453892,0.0019571837766224776,0.05853175818257523,-0.21445567892944722,1.0,0.0002958889936654,2.5651519614555625,26.97698100447823,0.024774379819162508,42.046182091489555,971.6076426497143,18.581770147189335,0.005565861932119945,k-window MAD,0.024774379819162508,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4697,inner,normalized_full_3p5,0.04,0.04,0.25,5,2.5565937059949744,0.05824554793469855,0.0027245035310101127,0.05830923403461714,-0.21276480941959694,1.0,0.0002958889936654,2.556297817001309,26.980735126919967,0.02476567716095121,40.96875867712836,905.8841194682526,18.747753077829245,0.005565861932119945,k-window MAD,0.02476567716095121,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4697,inner,normalized_union_3p5,0.01,0.01,0.25,5,2.5723432468018714,0.05755408691112043,0.0011012078493590847,0.057564620896000826,-0.2160599938836391,1.0,0.0002958889936654,2.572047357808206,26.974066347873737,0.024299705380706672,41.71788782852105,1047.4471957130263,18.37433085306075,0.005566516286057701,k-window MAD,0.024299705380706672,"max(fit covariance + PSF MAD, k-window MAD)"
NGC 4697,inner,normalized_union_3p5,0.03,0.03,0.25,5,2.5629589005265783,0.05846346265722571,0.0019556189305300433,0.0584961615088911,-0.21430498431657344,1.0,0.0002958889936654,2.562663011532913,26.978034998535858,0.024783360162361445,42.085746737071524,972.5176294980995,18.584564447998172,0.005566516286057701,k-window MAD,0.024783360162361445,"max(fit covariance + PSF MAD, k-window MAD)"
