galaxy,ring,psf_id,k,E,N
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.004473650243842351,0.9222181259301659,17.434711865100187
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.013420950731527052,0.8403256996264002,8.4902442384271
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.02236825121921175,0.7547930924756556,4.252685381328652
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.031315551706896455,0.6890046342132411,3.262787637196171
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.04026285219458116,0.6388241952036491,2.7927162286177243
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.04921015268226586,0.6032002788012418,2.4904553534398395
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.05815745316995056,0.5667609564164265,2.1598008069547334
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.06710475365763527,0.5368496546395488,1.976923896119913
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.07605205414531996,0.5058058736718766,1.82950930675268
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.08499935463300468,0.4761899089457948,1.608677164077931
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.09394665512068937,0.444242763073431,1.4527311152112203
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.10289395560837407,0.4177231727529895,1.3623809215343083
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.11184125609605877,0.3922674113055397,1.2658970426365237
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.12078855658374346,0.3663227712027198,1.2388194412022493
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.12973585707142818,0.3450100853933829,1.1399389639998119
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.13868315755911287,0.32357264962093607,1.0385119196596484
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.14763045804679759,0.30534956139058084,0.9614880803403514
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.15657775853448228,0.2853302492122798,0.9362226915199618
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.16552505902216696,0.26621903339437797,0.892502695885791
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.17447235950985168,0.24776883674414774,0.8356946910905335
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.1834196599975364,0.23108134967731953,0.7503428527688251
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.1923669604852211,0.21695946363729543,0.7159905328326641
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.20131426097290578,0.20080099878384414,0.6673597728868198
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.2102615614605905,0.1871867196423884,0.6340490005617038
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.21920886194827519,0.17533401629206063,0.6167165547840961
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.22815616243595988,0.16317972063464725,0.5682297399395565
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.2371034629236446,0.15281478819166985,0.5118782537156613
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.2460507634113293,0.14343179926505562,0.48866101387809124
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.254998063899014,0.1357455279336306,0.459296794407273
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.2639453643866987,0.1289031434356068,0.42601679373690593
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.2728926648743834,0.12208398477915425,0.4082939602206176
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.2818399653620681,0.11637196400010752,0.3861928727032299
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.2907872658497528,0.11111439274231294,0.3775902151125829
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.2997345663374375,0.10640578652223519,0.3459949418223496
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.3086818668251222,0.10115272587089878,0.33304854921014254
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.3176291673128069,0.0962061800455676,0.31649375333624297
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.32657646780049165,0.0912007955391045,0.29283116632259204
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.3355237682881763,0.08624309765634756,0.2752690643014756
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.344471068775861,0.08072455340527526,0.2701270720180868
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.35341836926354575,0.07511417702854775,0.25622385088796773
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.3623656697512304,0.06951000431000377,0.2332797842645429
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.3713129702389151,0.06420157365297811,0.22801369315909564
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.38026027072659985,0.058965091546365034,0.21581005679939708
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.3892075712142845,0.05369961138809777,0.20715055158980256
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.3981548717019692,0.0488915197980066,0.19952239806375344
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.40710217218965394,0.04416236141229968,0.18621966771307302
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.4160494726773386,0.039961366594594996,0.17634463857930915
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.4249967731650233,0.03595183514663197,0.17154663949523988
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.43394407365270804,0.03230888480614049,0.16730701255579966
NGC 1380,inner,stpsf_R2023111002-NRCA3_FP1-1,0.4428913741403927,0.02909238012015718,0.16473628558220388
