galaxy,ring,variant,noise_model,psf_id,k,observed,predicted,residual,residual_sigma
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.04026285219458116,0.5798422567443917,0.5384302943631138,0.04141196238127787,4.410533224823435
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.04921015268226586,0.5667040325191922,0.5037424886274271,0.06296154389176511,7.793485429977118
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.05815745316995056,0.5022438219310426,0.4682607038133598,0.03398311811768273,5.06911261023281
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.06710475365763527,0.4589890899703107,0.43913539895867726,0.019853691011633423,3.5686068189177704
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.07605205414531996,0.4323061675545922,0.4089073737369737,0.023398793817618502,4.677831478594847
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.08499935463300468,0.40712241565543483,0.3800696451871769,0.027052770468257936,5.810537370665443
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.09394665512068937,0.3708476532346488,0.34896199331329925,0.021885659921349554,5.721495643907573
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.10289395560837407,0.33353448291407967,0.32313927391225905,0.010395209001820616,3.089894193322385
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.11184125609605877,0.29681284697903676,0.2983524285253365,-0.0015395815462997398,-0.5300587709303791
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.12078855658374346,0.2714219631084587,0.2730895510358723,-0.0016675879274136163,-0.6600812841413988
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.12973585707142818,0.2598109524638868,0.2523369112444189,0.007474041219467875,3.2124128168123156
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.13868315755911287,0.23973391807190292,0.23146279961822927,0.008271118453673648,3.9556871885931617
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.14763045804679759,0.21493115192043613,0.2137185702275459,0.0012125816928902355,0.6766029250341623
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.15657775853448228,0.190216388582792,0.19422531732523304,-0.004008928742441048,-2.5267526827821016
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.16552505902216696,0.17126771567839702,0.17561629819954908,-0.004348582521152056,-3.090684565148804
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.17447235950985168,0.14900868534336065,0.15765092825091653,-0.008642242907555886,-7.5883918554000145
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.1834196599975364,0.1367168786953116,0.14140194812609772,-0.004685069430786115,-4.474916345797957
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,0.1923669604852211,0.1190464505612752,0.12765115121639126,-0.008604700655116052,-9.813147278452702
