galaxy,ring,variant,noise_model,psf_id,n_fit,effective_kmin,kmax,P0,noise_coefficient,noise_coefficient_nonnegative,physical_solution,Pr,P_fluctuation,mbar_observed,mbar_sigma_formal,P0_sigma_formal,cov_P0_P0,cov_P0_Pnoise,cov_Pnoise_P0,cov_Pnoise_Pnoise,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation
NGC 1380,inner,raw,constant,stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.9737224100756869,-0.0836071406052444,False,True,1.9643037739237436e-05,0.9737027670379477,28.028508505236783,0.020847463090458436,0.018696284058633696,0.00034955103760112043,-6.409964810997363e-05,-6.409964810997365e-05,1.2860295569555937e-05,660.8796107738295,30.039982307901344,665.4510393452581,18.378359412691893,,-0.9560373787775759
NGC 1380,inner,raw,N(k),stpsf_R2023111002-NRCA3_FP1-1,24,0.04,0.25,0.5670102875643865,-0.002960606821362681,False,False,1.9643037739237436e-05,0.5669906445266473,28.61563478317986,1.3317641897929693,0.6954708086725706,0.4836796457156793,-0.142806269352562,-0.14280626935256194,0.042230973955065504,16988.812273792395,772.2187397178361,16993.383702363823,92.05325491232142,0.9813700692702427,-0.9992009062452989
NGC 1380,inner,raw,constant,stpsf_field_1280_1024,24,0.04,0.25,0.9710131042064089,-0.08267875408071229,False,True,1.9643037739237436e-05,0.9709934611686696,28.03153375240138,0.02076963834560767,0.018574661999887696,0.00034501806841007193,-6.311506390320168e-05,-6.311506390320168e-05,1.2643518629337066e-05,655.9938775323272,29.817903524196694,660.5653061037558,18.323789078321226,,-0.9556043766717794
NGC 1380,inner,raw,N(k),stpsf_field_1280_1024,24,0.04,0.25,0.6947978384571567,-0.040288285353616074,False,False,1.9643037739237436e-05,0.6947781954194174,28.394959064912033,1.090935257187136,0.6981051437598027,0.48735079174389473,-0.14360851050918788,-0.14360851050918777,0.04238388089820499,16748.02629512719,761.2739225057813,16752.59772369862,93.03458899779993,0.9826997919974032,-0.9992150795373859
NGC 1380,inner,raw,constant,stpsf_field_768_1024,24,0.04,0.25,0.9725309725628264,-0.08400291146353688,False,True,1.9643037739237436e-05,0.9725113295250871,28.02983784203205,0.02023479580750369,0.018124631091037336,0.00032850225218619727,-6.044726624138407e-05,-6.044726624138408e-05,1.2165151861827273e-05,622.8965971285693,28.31348168766224,627.4680256999978,18.355732004041553,,-0.9561999604078142
NGC 1380,inner,raw,N(k),stpsf_field_768_1024,24,0.04,0.25,0.5414665637893185,0.004053700655698252,True,True,1.9643037739237436e-05,0.5414469207515792,28.665684795187882,1.4152583270313648,0.7057766517142813,0.49812068210502186,-0.14755522488206718,-0.1475552248820673,0.043777069784638904,17046.056785372515,774.820762971478,17050.628213943943,93.3097639964173,0.9827838016390523,-0.9992265406567291
NGC 1380,inner,raw,constant,stpsf_field_1024_1280,24,0.04,0.25,0.9759757040753407,-0.08149209306600921,False,True,1.9643037739237436e-05,0.9759560610376015,28.025998851825182,0.019705854738924833,0.017713371154151183,0.0003137635176447152,-5.672423769499766e-05,-5.672423769499766e-05,1.1243917775370854e-05,590.9882955612438,26.8631043436929,595.5597241326724,18.39613360241891,,-0.9550115302780272
NGC 1380,inner,raw,N(k),stpsf_field_1024_1280,24,0.04,0.25,0.8746731926430837,-0.09042238803746827,False,False,1.9643037739237436e-05,0.8746535496053445,28.144984358225418,0.8550278256754156,0.6887981808665411,0.4744429339650563,-0.1382481303755019,-0.138248130375502,0.04034893999924337,16306.863385078123,741.2210629580965,16311.434813649552,92.86305955441362,0.9821893372508552,-0.9991972045108555
NGC 1380,inner,raw,constant,stpsf_field_1024_768,24,0.04,0.25,0.970050108608015,-0.08433409631102169,False,True,1.9643037739237436e-05,0.9700304655702757,28.032611079947507,0.02163587452916099,0.01933016265881776,0.0003736551884163525,-6.90592083052437e-05,-6.905920830524369e-05,1.3953948279268758e-05,711.3700428496591,32.335001947711774,715.9414714210876,18.32418060657189,,-0.9563955182302033
NGC 1380,inner,raw,N(k),stpsf_field_1024_768,24,0.04,0.25,0.44750512892214256,0.031334094726850004,True,True,1.9643037739237436e-05,0.44748548588440334,28.872627131636122,1.6752555403591858,0.6904555049126042,0.4767288042641192,-0.14180779166289195,-0.14180779166289195,0.042250360234690296,17174.17662749879,780.6443921590359,17178.748056070217,91.00446457349575,0.9821797237812299,-0.9991925546465331
