galaxy,ring,variant,noise_model,n_psf,P0,P0_sigma_formal,P0_psf_mad,P0_sigma_total,noise_coefficient,noise_coefficient_negative_fraction,P0_negative_fraction,physical_solution_fraction,Pr,P_fluctuation,mbar_observed,mbar_sigma_with_psf,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation,delta_P0_vs_raw,delta_P0_fraction_vs_raw,delta_mbar_vs_raw,delta_mbar_from_production_branch
NGC 1380,inner,raw,constant,5,0.9725309725628264,0.018574661999887696,0.0022503916252246446,0.018710487189727402,-0.0836071406052444,1.0,0.0,1.0,1.9643037739237436e-05,0.9725113295250871,28.02983784203205,0.020888860349288284,655.9938775323272,29.817903524196694,660.5653061037558,18.355732004041553,,-0.9560373787775759,0.0,0.0,0.0,-0.06416998269136798
NGC 1380,inner,raw,N(k),5,0.5670102875643865,0.6954708086725706,0.17717834820299092,0.7176850373162448,-0.002960606821362681,0.6,0.0,0.4,1.9643037739237436e-05,0.5669906445266473,28.61563478317986,1.374302444228098,16988.812273792395,772.2187397178361,16993.383702363823,92.86305955441362,0.9821893372508552,-0.9992009062452989,0.0,0.0,0.0,0.5216269584564408
NGC 1380,inner,winsor_3.0,constant,5,0.8464545920209079,0.016565742371118658,0.0019528456911975854,0.01668045043156524,-0.07251214501941541,1.0,0.0,1.0,1.9643037739237436e-05,0.8464349489831686,28.18059054837196,0.02139629154842929,686.393607863605,31.199709448345683,690.9650364350335,18.33616870621269,,-0.955963041907563,-0.1260763805419185,-0.12963739366539695,0.15075270633990812,0.08658272364854014
NGC 1380,inner,winsor_3.0,N(k),5,0.4811548259148042,0.6041385302626037,0.15409921507850807,0.6234821022576921,0.0014886138806422457,0.4,0.0,0.6,1.9643037739237436e-05,0.48113518287706497,28.793906726349157,1.4069582012106794,16839.019014589216,765.4099552086008,16843.590443160643,92.88521229244536,0.9821893372508552,-0.9992008161849332,-0.08585546164958235,-0.15141781998061732,0.17827194316929607,0.6998989016257369
NGC 1380,inner,winsor_3.5,constant,5,0.9167184716142736,0.017798441284063243,0.002120753768550923,0.0179243440239544,-0.07882847248389942,1.0,0.0,1.0,1.9643037739237436e-05,0.9166988285765343,28.09400782472342,0.02122955614939189,677.3741011932216,30.789731872419164,681.9455297646501,18.372391003737693,,-0.9561017169816194,-0.055812500948552835,-0.057388918731785976,0.06416998269136798,0.0
NGC 1380,inner,winsor_3.5,N(k),5,0.5269258462551868,0.6569500041990081,0.1673963499062456,0.6779416243151108,-0.0006215281149391016,0.6,0.0,0.4,1.9643037739237436e-05,0.5269062032174475,28.695241236889977,1.3969578679028856,17012.517456382688,773.2962480173949,17017.088884954115,93.0233539626859,0.9821893372508552,-0.9992037367738267,-0.04008444130919975,-0.07069438101623149,0.07960645371011665,0.6012334121665575
NGC 1380,inner,winsor_4.0,constant,5,0.9475192289626623,0.01825158737819588,0.0021920522804152426,0.018382751018930568,-0.08151698553005861,1.0,0.0,1.0,1.9643037739237436e-05,0.947499585924923,28.05812694355467,0.02106472511523481,667.1297741907742,30.324080645035192,671.7012027622028,18.37594340023202,,-0.9561197824652479,-0.025011743600164116,-0.02571819747216153,0.02828910152261699,-0.03588088116875099
NGC 1380,inner,winsor_4.0,N(k),5,0.5500305896139305,0.6787368749091945,0.17297257104460165,0.7004307643838036,-0.002298864714981598,0.6,0.0,0.4,1.9643037739237436e-05,0.5500109465761912,28.64864618288543,1.3826689169586541,17027.35925657198,773.9708752987264,17031.93068514341,92.98281447943039,0.9821893372508552,-0.999203139497117,-0.016979697950456063,-0.029946013895784773,0.03301139970556832,0.5546383581620091
NGC 1380,outer,raw,constant,5,0.8849138547105257,0.015047091222570152,0.0026839723391073158,0.015284589028738749,-0.07302897950257914,1.0,0.0,1.0,0.0011913501973191,0.8837225045132067,28.133784728921366,0.018778555031244596,1619.8691673611706,73.63041669823502,1624.4405959325993,18.115840008054047,,-0.9552686272485796,0.0,0.0,0.0,-0.006065453056336878
NGC 1380,outer,raw,N(k),5,0.512535876120637,0.602668540849974,0.07954145008023432,0.6078949024388206,0.0028920614303912418,0.4,0.0,0.6,0.0011913501973191,0.5113445259233179,28.72779048798393,1.2907413119832931,48204.299073716145,2191.104503350734,48208.87050228757,91.95265974792646,0.9825726157736523,-0.9991903136100184,0.0,0.0,0.0,0.587940306006228
