galaxy,ring,variant,k,Pk,Pk_error,Pk_count,E_median,E_mad,N_windowed
NGC 1380,inner,raw,0.004473650243842351,5.532134566337033,0.8777034557299088,433,0.9222181259301659,0.008345614956539078,17.434711865100187
NGC 1380,inner,raw,0.013420950731527052,0.9457632685573584,0.02872622398996751,1296,0.8384556173674605,0.0027725839571039962,8.4902442384271
NGC 1380,inner,raw,0.02236825121921175,0.7870149089567751,0.01630509094929166,2148,0.7558986676118079,0.0016391256968593722,4.252685381328652
NGC 1380,inner,raw,0.031315551706896455,0.6379720787949984,0.011301209641572399,3000,0.6928921800694946,0.005763675486481446,3.262787637196171
NGC 1380,inner,raw,0.04026285219458116,0.5798422567443917,0.009389332371016364,3884,0.6462901116006565,0.005113979298614032,2.7927162286177243
NGC 1380,inner,raw,0.04921015268226586,0.5667040325191922,0.00807874018081663,4760,0.6036247970714437,0.0009848154933658826,2.4904553534398395
NGC 1380,inner,raw,0.05815745316995056,0.5022438219310426,0.006703958016060327,5552,0.5676471982475328,0.002157093420483482,2.1598008069547334
NGC 1380,inner,raw,0.06710475365763527,0.4589890899703107,0.005563429096863725,6500,0.5390658699252711,0.0010333926011109197,1.976923896119913
NGC 1380,inner,raw,0.07605205414531996,0.4323061675545922,0.005002060019624128,7312,0.5058058736718766,0.0006014850325559867,1.82950930675268
NGC 1380,inner,raw,0.08499935463300468,0.40712241565543483,0.004655812146538136,8176,0.4761899089457948,0.0009904108268175404,1.608677164077931
NGC 1380,inner,raw,0.09394665512068937,0.3708476532346488,0.003825164132503376,9032,0.44695905045652634,0.0028181230008161168,1.4527311152112203
NGC 1380,inner,raw,0.10289395560837407,0.33353448291407967,0.003364260505840573,9936,0.41831817634309326,0.0008821523226878672,1.3623809215343083
NGC 1380,inner,raw,0.11184125609605877,0.29681284697903676,0.0029045487608806253,10768,0.3919961745836834,0.001150955208883797,1.2658970426365237
NGC 1380,inner,raw,0.12078855658374346,0.2714219631084587,0.0025263372367582463,11580,0.36786469478318706,0.002286055900400798,1.2388194412022493
NGC 1380,inner,raw,0.12973585707142818,0.2598109524638868,0.002326612937276344,12520,0.3450100853933829,0.0011500782149046227,1.1399389639998119
NGC 1380,inner,raw,0.13868315755911287,0.23973391807190292,0.002090943509771122,13332,0.3240012680554853,0.000635469691062676,1.0385119196596484
NGC 1380,inner,raw,0.14763045804679759,0.21493115192043613,0.0017921614702286592,14210,0.30508944187363835,0.0015183956560961347,0.9614880803403514
NGC 1380,inner,raw,0.15657775853448228,0.190216388582792,0.0015865932466437452,15074,0.2853302492122798,0.0015123668624186998,0.9362226915199618
NGC 1380,inner,raw,0.16552505902216696,0.17126771567839702,0.001406996550274838,15960,0.26621903339437797,0.001431843762493612,0.892502695885791
NGC 1380,inner,raw,0.17447235950985168,0.14900868534336065,0.0011388767307009765,16796,0.2481473436497594,0.000715820339180358,0.8356946910905335
NGC 1380,inner,raw,0.1834196599975364,0.1367168786953116,0.0010469624611386303,17600,0.23108134967731953,0.0024250054972059605,0.7503428527688251
NGC 1380,inner,raw,0.1923669604852211,0.1190464505612752,0.0008768543272564443,18560,0.21669265217461145,0.0022859531927792564,0.7159905328326641
NGC 1380,inner,raw,0.20131426097290578,0.1078531634042068,0.0007682235576975747,19368,0.20094693677283795,0.0011229682455175492,0.6673597728868198
NGC 1380,inner,raw,0.2102615614605905,0.09264965246940873,0.0006508417023857181,20246,0.18771965940477137,0.0007901364917089948,0.6340490005617038
NGC 1380,inner,raw,0.21920886194827519,0.08612800261706763,0.0005952990741417622,21078,0.17514800877112333,0.0013353431524193353,0.6167165547840961
NGC 1380,inner,raw,0.22815616243595988,0.07685237227063492,0.0005223813565682217,22000,0.16317972063464725,0.0012663518497967497,0.5682297399395565
NGC 1380,inner,raw,0.2371034629236446,0.06738706060061211,0.0004564144123034813,22750,0.15281478819166985,0.000745225654921076,0.5118782537156613
NGC 1380,inner,raw,0.2460507634113293,0.0595155813379389,0.00038891726119104375,23702,0.14343179926505562,0.0012818575828508134,0.48866101387809124
NGC 1380,inner,raw,0.254998063899014,0.053174719866196665,0.0003345526780548978,24568,0.1357455279336306,0.0006415254555378439,0.459296794407273
NGC 1380,inner,raw,0.2639453643866987,0.04730463095511077,0.0003001607807610876,25424,0.1289031434356068,0.0005350569956717319,0.42601679373690593
NGC 1380,inner,raw,0.2728926648743834,0.04286197179133018,0.00026474657987523475,26246,0.12217026724023719,0.0007307511814037401,0.4082939602206176
NGC 1380,inner,raw,0.2818399653620681,0.039357471678113716,0.00024155253353374927,27102,0.11643102955483045,0.0009360140445194605,0.3861928727032299
NGC 1380,inner,raw,0.2907872658497528,0.03574948447306605,0.00021318753365420065,28052,0.11111439274231294,0.0008240473045667054,0.3775902151125829
NGC 1380,inner,raw,0.2997345663374375,0.03199399345889637,0.00018951258280729924,28774,0.10640578652223519,0.0002160971340038066,0.3459949418223496
NGC 1380,inner,raw,0.3086818668251222,0.027150608684073846,0.00015960961654887736,29762,0.10115272587089878,0.0010097524108171648,0.33304854921014254
NGC 1380,inner,raw,0.3176291673128069,0.024564537887004575,0.0001415162978356389,30604,0.0962061800455676,0.0007542895450737158,0.31649375333624297
NGC 1380,inner,raw,0.32657646780049165,0.022321265934512363,0.00012812665980249262,31396,0.0912007955391045,0.00025591672796752954,0.29283116632259204
NGC 1380,inner,raw,0.3355237682881763,0.019438807699237587,0.00011139876946148434,32310,0.08624309765634756,0.0003711898805293235,0.2752690643014756
NGC 1380,inner,raw,0.344471068775861,0.017184560930814576,9.501026287896022e-05,33150,0.08072455340527526,0.0005462881502917137,0.2701270720180868
NGC 1380,inner,raw,0.35341836926354575,0.014550102269145637,8.019034493928642e-05,34048,0.07511417702854775,0.0004207633307456687,0.25622385088796773
NGC 1380,inner,raw,0.3623656697512304,0.012308873117244965,6.727914337437497e-05,34826,0.06951000431000377,0.0006094290295208723,0.2332797842645429
NGC 1380,inner,raw,0.3713129702389151,0.010349671225154358,5.649067689895278e-05,35762,0.06420157365297811,0.0003923360334485577,0.22801369315909564
NGC 1380,inner,raw,0.38026027072659985,0.008843200029953313,4.717799310080295e-05,36576,0.058965091546365034,0.000531972603261643,0.21581005679939708
NGC 1380,inner,raw,0.3892075712142845,0.0072908542739636645,3.843494181917562e-05,37486,0.05369961138809777,0.0003793694681112241,0.20715055158980256
