galaxy,ring,variant,noise_model,psf_size_pix,P0,noise_coefficient,physical_solution,Pr,P_fluctuation,mbar_observed,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number,template_correlation,covariance_correlation,cov_P0_P0,cov_P0_Pnoise,cov_Pnoise_P0,cov_Pnoise_Pnoise
NGC 1380,inner,raw,constant,129,0.9737224100756869,-0.0836071406052444,True,1.9643037739237436e-05,0.9737027670379477,28.028508505236783,0.020847463090458436,660.8796107738295,30.039982307901344,665.4510393452581,18.378359412691893,,-0.9560373787775759,0.00034955103760112043,-6.409964810997363e-05,-6.409964810997365e-05,1.2860295569555937e-05
NGC 1380,inner,raw,N(k),129,0.5670102875643865,-0.002960606821362681,False,1.9643037739237436e-05,0.5669906445266473,28.61563478317986,1.3317641897929693,16988.812273792395,772.2187397178361,16993.383702363823,92.05325491232142,0.9813700692702427,-0.9992009062452989,0.4836796457156793,-0.142806269352562,-0.14280626935256194,0.042230973955065504
NGC 1380,inner,raw,constant,257,0.9876744251312829,-0.0836072377683387,True,1.9643037739237436e-05,0.9876547820935436,28.01306158848751,0.020846747555670644,660.834984188414,30.03795382674609,665.4064127598425,18.624576883669373,,-0.9560374010001839,0.00035961542896110674,-6.501371147829163e-05,-6.501371147829163e-05,1.2859433518878426e-05
NGC 1380,inner,raw,N(k),257,0.5751469000598264,-0.0029642430060662817,False,1.9643037739237436e-05,0.5751272570220871,28.600164639128142,1.3317433094342441,16988.797138361344,772.2180517436974,16993.36856693277,93.16277632655448,0.9813702541630582,-0.9992009173820524,0.4976457603580243,-0.14485428899446035,-0.14485428899446037,0.042231524665344765
NGC 1380,inner,winsor_3.0,constant,129,0.8474904548215686,-0.07251214501941541,True,1.9643037739237436e-05,0.8474708117838293,28.179262642284048,0.021334469209211587,689.7363544034581,31.35165247288446,694.3077829748867,18.35870677401699,,-0.955963041907563,0.00027730936947373643,-5.086124786157623e-05,-5.086124786157625e-05,1.020768533818429e-05
NGC 1380,inner,winsor_3.0,N(k),129,0.4811548259148042,0.0014886138806422457,True,1.9643037739237436e-05,0.48113518287706497,28.793906726349157,1.3633072332668545,16839.019014589216,765.4099552086008,16843.590443160643,92.04345922818236,0.9813700692702427,-0.9992008161849332,0.3649833637478589,-0.10776764615951857,-0.1077676461595186,0.03187118158747327
NGC 1380,inner,winsor_3.0,constant,257,0.85963375390412,-0.07251222857672779,True,1.9643037739237436e-05,0.8596141108663807,28.163815675733513,0.021333713607323477,689.6883578450922,31.349470811140556,694.2597864165208,18.60465449232215,,-0.9559630618359752,0.000285293155969536,-5.1586422432264127e-05,-5.158642243226414e-05,1.0206979532894854e-05
NGC 1380,inner,winsor_3.0,N(k),257,0.48806119058079844,0.0014850108953700805,True,1.9643037739237436e-05,0.48804154754305923,28.7784325267441,1.3632809311673433,16839.00135089884,765.4091523135837,16843.57277947027,93.15285808552105,0.9813702541630582,-0.9992008276307714,0.37552224735849793,-0.10931319401142667,-0.10931319401142664,0.03187160443520617
NGC 1380,inner,winsor_3.5,constant,129,0.9178321154644261,-0.07882847248389942,True,1.9643037739237436e-05,0.9178124724266868,28.09268962777889,0.02118552200980258,681.9724145223597,30.998746114652715,686.5438430937883,18.39493272428047,,-0.9561017169816194,0.000320728541457089,-5.8806811418093136e-05,-5.8806811418093095e-05,1.1795312694984895e-05
NGC 1380,inner,winsor_3.5,N(k),129,0.5269258462551868,-0.0006215281149391016,False,1.9643037739237436e-05,0.5269062032174475,28.695241236889977,1.353702803116381,17012.517456382688,773.2962480173949,17017.088884954115,92.21295344770627,0.9813700692702427,-0.9992037367738267,0.4315833080170768,-0.12743136355727622,-0.12743136355727624,0.037685989423960974
