galaxy,psf_size_pix,radius_pix,encircled_energy
NGC 1380,129,1,0.581100277091731
NGC 1380,129,2,0.671334112644142
NGC 1380,129,3,0.7631093214953586
NGC 1380,129,5,0.826793971677985
NGC 1380,129,10,0.892525270645691
NGC 1380,129,20,0.9512255516370608
NGC 1380,129,32,0.9767374001796372
NGC 1380,129,48,0.9916928069438515
NGC 1380,129,64,0.9984165578443936
NGC 1380,257,1,0.5769814644063743
NGC 1380,257,2,0.6665757306154074
NGC 1380,257,3,0.7577004405934826
NGC 1380,257,5,0.8209336971648123
NGC 1380,257,10,0.8861990960863797
NGC 1380,257,20,0.9444833125912955
NGC 1380,257,32,0.9698143344796682
NGC 1380,257,48,0.9846637381354204
NGC 1380,257,64,0.9913438894533457
NGC 1380,257,96,0.9963860600080521
NGC 1380,257,128,0.9992504574451261
