galaxy,tile,y0,x0,size,valid_fraction,median_wht,wht_ratio_to_outer_ring,wht_relative_mad,median_ERR,standardized_sigma,plane_0,plane_x,plane_y,accepted,selected,selection_mode
NGC 3379,y96_x96,96,96,512,0.854644775390625,848.7888793945312,0.9608605610590131,0.003549419299111922,0.030799217522144318,0.7929085546661108,0.43116089243027306,6.962458211763966e-06,-1.317385725262793e-05,True,True,nominal_0.80
NGC 3379,y96_x608,96,608,512,0.8218421936035156,848.929443359375,0.9610196846919956,0.0034967071636352654,0.03039686568081379,0.8313657771825405,0.4306659658128764,2.399161059940741e-05,-1.6325565047948285e-05,True,False,nominal_0.80
NGC 3379,y96_x1120,96,1120,512,0.7729148864746094,848.122314453125,0.9601059847690424,0.0035069700588011947,0.03018820285797119,0.8272741488697868,0.43675172193958184,2.387849336620006e-05,-1.1893752166943978e-05,False,False,nominal_0.80
NGC 3379,y96_x1632,96,1632,512,0.6358261108398438,847.1028747558594,0.9589519411390419,0.0036928443168922163,0.02999098226428032,0.8806440921865736,0.44437777501362696,3.286656209652255e-05,2.2312260780843927e-06,False,False,nominal_0.80
NGC 3379,y96_x2144,96,2144,512,0.5757255554199219,845.1136474609375,0.9567000619013734,0.0036504081150097257,0.029747702181339264,0.9411920488042909,0.4619336388482715,6.751092164092047e-06,1.8099587835835632e-05,False,False,nominal_0.80
NGC 3379,y96_x2656,96,2656,512,0.6500396728515625,843.1495666503906,0.9544766494187151,0.0034786598536103797,0.02991704549640417,0.9511541616512208,0.47151790288991224,2.3468921124779306e-05,-3.5138017844125383e-06,False,False,nominal_0.80
NGC 3379,y96_x3168,96,3168,512,0.5928306579589844,840.1989135742188,0.95113640046036,0.003439772003394785,0.03024016134440899,0.9987870835690055,0.4822817119493494,4.857681725768967e-05,7.3109058932890515e-06,False,False,nominal_0.80
NGC 3379,y96_x3680,96,3680,512,0.5290908813476562,836.5245666503906,0.9469769031666708,0.0034952840617882364,0.031495142728090286,1.0518339156518457,0.5002206350296039,5.5602671363522366e-05,3.048900684479429e-05,False,False,nominal_0.80
NGC 3379,y96_x4192,96,4192,512,0.09527969360351562,832.8712158203125,0.9428411742315341,0.004824020820530213,0.0322556346654892,1.1003324305751405,0.5210907733498887,0.00023377388228731935,5.7053893571738505e-05,False,False,nominal_0.80
NGC 3379,y96_x5216,96,5216,512,0.082916259765625,834.0152282714844,0.9441362388493406,0.004300780595390005,0.0312772523611784,1.3502552288078447,0.5742701788639156,7.357666986950356e-05,0.0001192794788635653,False,False,nominal_0.80
NGC 3379,y96_x5728,96,5728,512,0.2541923522949219,837.0453491210938,0.9475664482810536,0.0033961912042531836,0.03202474117279053,1.4978755970362954,0.6203965003033572,0.0001251995807093101,0.00012079008981436989,False,False,nominal_0.80
NGC 3379,y96_x6240,96,6240,512,0.14794921875,839.5818176269531,0.9504378249105249,0.0028503147111615516,0.033175500109791756,1.5883777952524787,0.626453938637405,0.00017623714843687188,0.00033227029452777436,False,False,nominal_0.80
NGC 3379,y96_x6752,96,6752,512,0.1043548583984375,842.0062561035156,0.9531823793826625,0.0031237337319774106,0.03470365144312382,1.6756343453901463,0.6825064696125862,0.0001612743516964532,0.00041950394567125815,False,False,nominal_0.80
NGC 3379,y96_x7264,96,7264,512,0.057682037353515625,843.3936157226562,0.9547529220398531,0.0042506498657817054,0.036403629928827286,1.7106198460938025,0.7482198220356759,0.00011322192053803583,0.0005001905604973138,False,False,nominal_0.80
NGC 3379,y96_x7776,96,7776,512,0.08057785034179688,845.5570068359375,0.9572019611935945,0.0030312080767996435,0.04003176838159561,1.6769363297757094,0.7865254627080551,2.148227500441023e-05,0.0005967985231430665,False,False,nominal_0.80
NGC 3379,y96_x8288,96,8288,512,0.10137939453125,847.0701904296875,0.958914941266935,0.002623052055431758,0.04004463739693165,1.6962404659739978,0.8071351957605964,-7.847866581417946e-05,0.0005592604545342989,False,False,nominal_0.80
NGC 3379,y96_x8800,96,8800,512,0.12768936157226562,847.703369140625,0.9596317231030449,0.002791996513442657,0.038418639451265335,1.6350800840404287,0.7879985848737526,-0.00015485484288088944,0.00045676521329487496,False,False,nominal_0.80
NGC 3379,y608_x96,608,96,512,0.8412513732910156,856.4532470703125,0.9695369101534628,0.0032086074459116327,0.030698684975504875,0.8072162254201303,0.41832523278578887,6.658978794240969e-06,1.891881878045632e-05,True,False,nominal_0.80
NGC 3379,y608_x608,608,608,512,0.8179702758789062,856.4833984375,0.9695710426218489,0.0031513357872340907,0.030217526480555534,0.8170835994245987,0.4206721818107037,1.8500274370520948e-05,7.745340431604989e-06,True,False,nominal_0.80
NGC 3379,y608_x1120,608,1120,512,0.7687606811523438,855.8863525390625,0.9688951644725501,0.0030998245148879237,0.030108247883617878,0.8688575817948758,0.4245688357922129,3.947919365316756e-05,7.462085159599353e-06,False,False,nominal_0.80
NGC 3379,y608_x1632,608,1632,512,0.6109466552734375,854.701171875,0.9675534959075239,0.0032563698849652767,0.0299833407625556,0.8926897725592328,0.43722932584689317,2.4010450132786844e-05,2.2699855464722176e-05,False,False,nominal_0.80
NGC 3379,y608_x2144,608,2144,512,0.5883941650390625,852.6153564453125,0.9651922753111081,0.0033592191849956153,0.029625747352838516,0.9466978800361695,0.4602719614744894,3.1643160947539735e-05,1.1314704008173256e-05,False,False,nominal_0.80
