galaxy,ring,variant,noise_model,P0_129,mbar_129,aicc_129,physical_129,P0_257,mbar_257,aicc_257,physical_257,delta_P0_257_minus_129,delta_mbar_257_minus_129
NGC 3379,inner,raw,constant,2.99620518885408,26.808368084652688,620.5326268264922,True,3.039135995741509,26.792921199821723,620.5237145524824,True,0.04293080688742901,-0.015446884830964791
NGC 3379,inner,raw,N(k),-0.78992220117163,,17214.850420643725,False,-0.8011395827052311,,17214.859493011467,False,-0.011217381533601078,
NGC 3379,inner,winsor_3.0,constant,2.3455853433183593,27.07417727704253,699.0669014027791,True,2.3791935440904113,27.058730396139573,699.0555505923807,True,0.033608200772051955,-0.01544688090295665
NGC 3379,inner,winsor_3.0,N(k),-0.6297212229835863,,17438.71125547938,False,-0.6386468504093593,,17438.724432292394,False,-0.008925627425772964,
NGC 3379,inner,winsor_3.5,constant,2.672046411114188,26.932690649781016,689.6918962134355,True,2.7103323109054855,26.91724380615681,689.6827209227768,True,0.038285899791297595,-0.01544684362420412
NGC 3379,inner,winsor_3.5,N(k),-0.7186915763143115,,17671.49670099107,False,-0.7288871276344562,,17671.508191691843,False,-0.010195551320144713,
NGC 3379,inner,winsor_4.0,constant,2.8383633897812026,26.867128659137094,668.8376402272003,True,2.879032393354085,26.85168181984339,668.8284408034366,True,0.04066900357288228,-0.015446839293705494
NGC 3379,inner,winsor_4.0,N(k),-0.753292704147932,,17549.446185089982,False,-0.7639817826463522,,17549.456900191875,False,-0.010689078498420157,
NGC 3379,outer,raw,constant,2.3153461016186996,27.095480306609122,632.8122628839916,True,2.3485213671231313,27.079931014466496,632.799262959773,True,0.03317526550443173,-0.01554929214262657
NGC 3379,outer,raw,N(k),-0.7773807899935192,,31672.853994726822,False,-0.7884420400198233,,31672.890326450546,False,-0.011061250026304092,
NGC 3379,outer,winsor_3.0,constant,2.2669654843269256,27.118563164812745,698.7404733480572,True,2.299447613192799,27.103011625101974,698.7248145944205,True,0.03248212886587343,-0.015551539710770612
NGC 3379,outer,winsor_3.0,N(k),-0.8131257574911743,,33175.41359560524,False,-0.8246973918567378,,33175.45305179312,False,-0.011571634365563521,
NGC 3379,outer,winsor_3.5,constant,2.3037279622457554,27.100978824054458,656.0314085323406,True,2.3367367876865046,27.08542899616129,656.0179238609,True,0.033008825440749234,-0.01554982789316739
NGC 3379,outer,winsor_3.5,N(k),-0.7926099598289083,,32108.284320145423,False,-0.8038888812423781,,32108.32149771792,False,-0.011278921413469867,
NGC 3379,outer,winsor_4.0,constant,2.312643638118005,27.096756818604934,641.1692855928285,True,2.3457801868677866,27.081207403066536,641.1564341837831,True,0.03313654874978145,-0.015549415538398392
NGC 3379,outer,winsor_4.0,N(k),-0.7830486445294669,,31806.563337990025,False,-0.7941909933869594,,31806.599869813672,False,-0.011142348857492546,
