galaxy,k,N_reference,N_p16,N_p84,y3680_x8800,y2656_x8288,y3680_x7776,y2656_x8800
NGC 4486,0.004475359374598403,8.422941821878835,7.536827250737705,15.178539165519233,8.757562906128916,7.028457790656597,8.077132380039316,21.08620768471546
NGC 4486,0.013426078123795208,4.25615789848425,3.612915508477247,4.8437292598181125,3.856512144333873,5.016231143398079,3.3834425503771977,4.6501501152444416
NGC 4486,0.022376796872992013,3.6183043182874903,3.060365437189333,4.201594215647448,4.4147253599296326,3.964888539145817,3.2669138333665,2.865796587847299
NGC 4486,0.031327515622188815,2.759342641635403,2.518146333782971,2.9379550789475193,2.890859527386798,2.4170708808908383,2.624160467337647,2.9776754506537144
NGC 4486,0.04027823437138563,2.5597357975179733,2.328030876670884,2.758265114324411,2.2435704100523104,2.4163084980777625,2.6997629500685636,2.8087441724395603
NGC 4486,0.049228953120582425,2.0342399727099263,1.906534302894082,2.3055992918249153,2.4647101209154347,1.8771412430442225,2.130039047370715,1.9357387774933146
NGC 4486,0.05817967186977923,1.985237122177583,1.901136887229219,2.102019636150834,2.0311463587603282,1.8658896491365513,1.9366908564793037,2.1647563598937793
NGC 4486,0.06713039061897604,1.96499968466883,1.9240763580620346,2.1864859801230105,1.9748386279107453,1.8953349593387254,1.9525505940935806,2.379060120731248
NGC 4486,0.07608110936817285,1.742452267135945,1.6835181007387037,1.97521870497393,2.1647414760202364,1.7154206745160876,1.6519193308424036,1.7671693264894557
NGC 4486,0.08503182811736965,1.6734440282154128,1.5752530017713453,1.7729036640506695,1.7797349556711937,1.5673682456187066,1.7630499914100404,1.5816151967415644
NGC 4486,0.09398254686656646,1.480370262210992,1.3865970820393456,1.632612616157334,1.6880181808338564,1.5703309303413835,1.3884431894432845,1.3831219791504854
NGC 4486,0.10293326561576326,1.429650012791502,1.3340097896088008,1.5575190830975192,1.6490921876446731,1.4012411935084332,1.4561598001319178,1.2702461944972234
NGC 4486,0.11188398436496007,1.3468597612680597,1.2898877611498192,1.420166833510145,1.4864992049371373,1.3455887347517859,1.2368239941488903,1.3463417277444378
NGC 4486,0.12083470311415687,1.2366276312803448,1.2083675391312183,1.2693752225542239,1.2919879540258767,1.243121705315403,1.188248746418524,1.2284909206895165
NGC 4486,0.12978542186335368,1.1503412477680701,1.0905382487514927,1.1863859320266537,1.211961530639782,1.0415342222196813,1.1570374715201313,1.142117003343175
NGC 4486,0.13873614061255046,1.0565882166051932,1.026008431100403,1.0767122294363085,1.077272307217171,1.014406738584275,1.0746156682836399,1.037157278230275
NGC 4486,0.1476868593617473,0.9434117833948068,0.9104876956332335,0.9753207711689873,0.9227276927828291,0.9855932614157248,0.8980263342928758,0.962842721769725
NGC 4486,0.1566375781109441,0.8988259412588072,0.849000955672645,0.9186581517104297,0.8863576139709137,0.813433516765856,0.9253843317163604,0.9101003405516925
NGC 4486,0.1655882968601409,0.8005111466035837,0.7916859936099284,0.8256400901412151,0.8470006488953025,0.7842909294316902,0.7986018840562722,0.8013570746114987
NGC 4486,0.1745390156093377,0.747524555993133,0.7236936417370048,0.7707710773381592,0.7773957594895857,0.7315283120450918,0.7625278485215634,0.7155373149600266
NGC 4486,0.1834897343585345,0.6649138722049187,0.6618074039240828,0.7208385633640545,0.7713166247677058,0.6651565969516491,0.6637879294180161,0.6591339461047963
NGC 4486,0.1924404531077313,0.6360087115933152,0.6011429371517147,0.6670077570241257,0.673821041684587,0.6124688178213403,0.6587037826126481,0.5899204801242457
NGC 4486,0.20139117185692812,0.5969903240118851,0.594840416379576,0.616900798299054,0.6331434427820524,0.594736638774363,0.5941764629144879,0.5984510153805515
NGC 4486,0.2103418906061249,0.5204030779921751,0.490832718935748,0.5361527392541529,0.5398574654886937,0.5313974294576597,0.5087174649876287,0.4736968161806582
NGC 4486,0.21929260935532174,0.4898365391786773,0.48553500771463876,0.5362269668480353,0.5763736177473924,0.49199280262511824,0.4870296163217122,0.48353522899797136
NGC 4486,0.22824332810451853,0.4632285968380108,0.4279788561495426,0.48520094728078716,0.4802222687626362,0.4456196093506429,0.489176937197959,0.4111484564196928
NGC 4486,0.23719404685371534,0.4343168718787527,0.4162230924947792,0.43768021728103007,0.43632177995755245,0.4317350522442916,0.40137274769111553,0.43837514100959346
NGC 4486,0.24614476560291212,0.3746921571061304,0.3581757906035679,0.405157151750202,0.42490996614762316,0.38319766726573623,0.35078310645592764,0.365688936060196
NGC 4486,0.25509548435210894,0.35697671939914355,0.34420747051128414,0.37063553000971383,0.3719337748110767,0.34476299735364274,0.34325504430710085,0.36871626231908433
NGC 4486,0.2640462031013058,0.3247138568095833,0.3216437513044739,0.33026123907580895,0.3329858684634678,0.3221438039272161,0.32685258595482175,0.3207713511371145
NGC 4486,0.27299692185050256,0.315421819787662,0.3009989963285845,0.3365670300388692,0.34722297538023644,0.32455739285877117,0.29612076412375576,0.3058672657730862
NGC 4486,0.28194764059969935,0.28967290734523427,0.2805958171898701,0.30680538952843617,0.31997534069955336,0.27446654575374035,0.29211342620616415,0.2868476103224831
NGC 4486,0.2908983593488962,0.2618530257936263,0.2509748421960755,0.2899623270402502,0.31390422557605463,0.24256875814454593,0.2597341678679851,0.2636240592476743
NGC 4486,0.29984907809809297,0.25476842169682284,0.2523509559274819,0.26682927316613453,0.27728574706231535,0.25513222382251205,0.2504453381532258,0.2540662057170766
NGC 4486,0.30879979684728975,0.23821655756756432,0.22928652578810038,0.24768047075862903,0.25273977254947727,0.22440292802774542,0.2418568534114118,0.2342598340329939
NGC 4486,0.3177505155964866,0.21846548728109938,0.20886627342355424,0.24368507890276084,0.2611601046524651,0.2054999151389793,0.21222416038086525,0.2244166222217616
NGC 4486,0.32670123434568343,0.20619578190264037,0.19651009047292492,0.21893754237915677,0.22534435232980438,0.2004237747927885,0.1926464701597902,0.21169389514142598
NGC 4486,0.33565195309488016,0.1866432639699656,0.1815229484596953,0.19977222107200376,0.20790018164303017,0.18052942936699728,0.18234809365792679,0.19069051240113247
