program,obsid,galaxy,signal_filter,color_filter,status,method,quantity,result_value,result_unit,selected_region,selection_method,qc,result_json,error,updated_at
7763,o001_t001,NGC 4579,F150W,F115W,done,azimuthal_power_spectrum_psf_fit,apparent_sbf_magnitude,27.341998463744375,AB mag,circular_inner_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,warn:inner_k_span>0.20mag,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4579__F150W__F115W__0005d2eb60b2_result.json,,2026-07-22T08:43:20Z
7763,o002_t002,NGC 4569,F150W,F115W,failed,sbf3,apparent_sbf_magnitude,,,,,,,worker exited 1; required artifacts are absent or invalid,2026-07-22T06:26:46Z
7763,o003_t003,NGC 4548,F150W,F115W,failed,sbf3,apparent_sbf_magnitude,,,,,,,worker exited 1; required artifacts are absent or invalid,2026-07-22T04:00:12Z
7763,o004_t004,NGC 4473,F150W,F115W,done,azimuthal_power_spectrum_psf_fit,apparent_sbf_magnitude,27.64688450127236,AB mag,circular_inner_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,pass,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4473__F150W__F115W__a7cece59c6f8_result.json,,2026-07-21T17:04:24Z
7763,o005_t005,NGC 4429,F150W,F115W,done,sbf3,apparent_sbf_magnitude,27.56846824480632,AB mag,circular_inner_lit+circular_outer_lit,inverse_variance_weighted_two_annuli,warn:inner_k_span>0.20mag,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4429__F150W__F115W__6bb78b3d5d2f_result.json,,2026-07-20T16:49:24Z
7763,o006_t006,NGC 4438,F150W,F115W,done,azimuthal_power_spectrum_psf_fit,apparent_sbf_magnitude,26.956733979201267,AB mag,circular_inner_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,warn:selected_region_qc_warn|inner_k_span>0.20mag,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4438__F150W__F115W__0dfeb66040f0_result.json,,2026-07-21T10:29:55Z
7763,o007_t007,NGC 4477,F150W,F115W,done,azimuthal_power_spectrum_psf_fit,apparent_sbf_magnitude,27.696259246771028,AB mag,circular_inner_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,warn:inner_k_span>0.20mag,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4477__F150W__F115W__c62fcb3cefe0_result.json,,2026-07-21T20:26:59Z
7763,o008_t008,NGC 4435,F150W,F115W,failed,sbf3,apparent_sbf_magnitude,,,,,,,worker exited 1; required artifacts are absent or invalid,2026-07-21T08:02:52Z
7763,o009_t009,NGC 4459,F150W,F115W,done,azimuthal_power_spectrum_psf_fit,apparent_sbf_magnitude,27.609731618688354,AB mag,circular_inner_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,pass,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4459__F150W__F115W__9cf66bc6a052_result.json,,2026-07-21T14:20:01Z
7763,o010_t010,NGC 4571,F150W,F115W,done,azimuthal_power_spectrum_psf_fit,apparent_sbf_magnitude,27.277625089845763,AB mag,circular_outer_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,warn:outer_k_span>0.20mag,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4571__F150W__F115W__dab7658513f0_result.json,,2026-07-22T07:32:48Z
7763,o011_t011,NGC 4371,F150W,F115W,done,azimuthal_power_spectrum_psf_fit,apparent_sbf_magnitude,27.61700950917707,AB mag,circular_outer_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,warn:outer_k_span>0.20mag,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4371__F150W__F115W__70f76d998feb_result.json,,2026-07-21T06:36:48Z
7763,o012_t012,NGC 4442,F150W,F115W,done,azimuthal_power_spectrum_psf_fit,apparent_sbf_magnitude,27.581460018909926,AB mag,circular_inner_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,pass,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4442__F150W__F115W__588bb373439f_result.json,,2026-07-21T11:42:58Z
7763,o013_t013,NGC 4388,F150W,F115W,failed,sbf3,apparent_sbf_magnitude,,,,,,,worker exited 1; required artifacts are absent or invalid,2026-07-21T06:44:49Z
7763,o014_t014,NGC 4461,F150W,F115W,done,azimuthal_power_spectrum_psf_fit,apparent_sbf_magnitude,27.678667743393486,AB mag,circular_inner_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,pass,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4461__F150W__F115W__2da10bbe0bc6_result.json,,2026-07-21T15:52:22Z
7763,o015_t015,NGC 4503,F150W,F115W,failed,sbf3,apparent_sbf_magnitude,,,,,,,worker exited 1; required artifacts are absent or invalid,2026-07-22T00:40:06Z
7763,o016_t016,NGC 4564,F150W,F115W,done,azimuthal_power_spectrum_psf_fit,apparent_sbf_magnitude,27.76452995204461,AB mag,circular_inner_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,warn:inner_k_span>0.20mag,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4564__F150W__F115W__c3936a8f04f7_result.json,,2026-07-22T06:22:46Z
7763,o017_t017,NGC 4478,F150W,F115W,done,azimuthal_power_spectrum_psf_fit,apparent_sbf_magnitude,27.688549911570313,AB mag,circular_outer_lit,single_annulus_qc_rank_then_k03_k04_stability_v1,warn:outer_k_span>0.20mag,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4478__F150W__F115W__c3bc4f463505_result.json,,2026-07-21T21:36:01Z
