program,obsid,galaxy,status,method_generation,signal_filter,color_filter,color_name,mbar,sigma_mbar,absolute_mbar,sigma_absolute_mbar,external_distance_modulus,color,color_sigma,mbar_inner,mbar_outer,inner_outer_delta,selected_region,selection_method,qc_status,qc_reasons,k_stability_mag,Pr_over_P0,uses_two_annuli,result_json,worker_log,clean_model_fits,clean_isophotes_fits,full_residual_fits,working_residual_fits,working_annuli_residual_fits,error,model_id,model_residual
3055,,NGC 1380,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,27.887066663992847,0.07204097580328295,-3.520933336007154,0.045694715528545,31.408,0.41287645258555256,0.06450950723805299,27.958796496815964,27.814714545209398,0.1440819516065659,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,clean,,0.023974621450596364,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_1380_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1380/jw03055-o001_t001_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,-0.08175683084755958
3055,,NGC 1399,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,28.12486539458426,0.13332157150612467,-3.3731346054157427,0.1009788733694491,31.498,0.43799517646849195,0.11450320968428043,28.209566675530887,27.942923532518638,0.26664314301224934,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,clean,,0.008322677653046302,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_1399_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1399/jw03055-o002_t002_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,0.03676819240990303
3055,,NGC 1404,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,28.004211864812287,0.10427204992982553,-3.3617881351877124,0.0465735897178704,31.366,0.47670619201993203,0.0786927313378496,28.063214076824185,27.854669976964534,0.20854409985965106,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,clean,,0.007747700945919827,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_1404_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1404/jw03055-o003_t003_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,0.0030003110835341573
3055,,NGC 1549,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,27.67048994459887,0.18840338691475544,-3.5605100554011315,0.0328889884429364,31.231,0.3437686523814806,0.09270284363347775,27.866263648009053,27.48945687417954,0.3768067738295109,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,truncated_file_warning,,0.02351547001598579,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_1549_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1549/jw03055-o012_t012_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1549/jw03055-o012_t012_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 1549/jw03055-o012_t012_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,-0.04079436651966528
3055,,NGC 3379,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,26.653557577800136,0.10267545506939157,-3.4244424221998635,0.0400800028406058,30.078,0.35292140643769426,0.1088822330194692,26.781523199711902,26.57617228957312,0.20535091013878315,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,truncated_file_warning,,0.051746101864950586,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_3379_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 3379/jw03055-o013_t013_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 3379/jw03055-o013_t013_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 3379/jw03055-o013_t013_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,0.08460652083934317
3055,,NGC 4374,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,27.698255826347992,0.10687574307683612,-3.413744173652006,0.0357968325760847,31.112,0.42097661174841633,0.1036816264881458,27.751968918274958,27.538217432121286,0.21375148615367223,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,clean,,0.008629849986250819,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_4374_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4374/jw03055-o004_t004_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,0.01599229427491977
3055,,NGC 4406,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,27.487488983535293,0.11733037909196753,-3.608511016464707,0.0315747841205055,31.096,0.3059175731995949,0.12055955820983168,27.605387602800302,27.370726844616367,0.23466075818393506,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,clean,,0.013714505926217126,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_4406_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4406/jw03055-o005_t005_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4406/jw03055-o005_t005_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4406/jw03055-o005_t005_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,-0.04468315773701592
3055,,NGC 4472,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,27.512608378685666,0.07410265622137402,-3.5033916213143357,0.0449453684820086,31.016,0.4051868436195047,0.08552353428485165,27.606464063161386,27.458258750718638,0.14820531244274804,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,clean,,0.030733497540295866,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_4472_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4472/jw03055-o006_t006_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,-0.055253539785111716
3055,,NGC 4486,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,27.599748087837057,0.11086655072814366,-3.4462519121629427,0.0521473716426087,31.046,0.46331014764847017,0.11112237729257707,27.668089673005277,27.44635657154899,0.22173310145628733,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,clean,,0.01095407522178383,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_4486_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4486/jw03055-o007_t007_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,-0.06585153097850904
3055,,NGC 4552,done,sbf2_two_annuli_trgb,F150W,F090W,F090W-F150W,27.618028064201024,0.09094085158883658,-3.3049719357989744,0.0436816148562494,30.923,0.4579852664671481,0.10811148693243838,27.65655098186962,27.474669278691948,0.18188170317767316,inner+outer_weighted,inverse_variance_two_annuli,CLEAN,clean,,0.02850719746858215,true,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/code/sbf2_batch_outputs/NGC_4552_result.json,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_model_full.fits,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_resid_full_science_raw.fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/data/NGC 4552/jw03055-o008_t008_nircam_clear-f150w_i2d_sbf_resid_full_science.fits,,,go3055_trgb_absolute_clean,0.08163413537259867
