artifact_id,run_id,job_id,target,attempt_id,kind,path,size_bytes,sha256,verified,created_at,updated_at,metadata_json
56,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,clean_model_fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_01_модель_чистая.fits,173701440,af7882a0ca64685c452d4c056b0361b88cdfdd46727b56a36e534a8facbac4a1,1,1784566160.82481,1784566160.82481,"{""fits_valid"":true,""producer_job_id"":""job-a54ad3737b23ab3452f80050d5e83ef27b29e707b14c3e0884662d61127304af"",""reused"":true}"
57,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,clean_isophotes_fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_02_изофоты_чистые.fits,173701440,14b449c1abfea85d9c536f22dc66f6fc62c82fb25e23374399813ac000d6bee7,1,1784566160.826058,1784566160.826058,"{""fits_valid"":true,""producer_job_id"":""job-a54ad3737b23ab3452f80050d5e83ef27b29e707b14c3e0884662d61127304af"",""reused"":true}"
58,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,full_residual_fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_03_остатки_общие.fits,173701440,c2fb7b39136def346e4212906ed41966e8c2b2905f08aa93874f3226b15d1cbb,1,1784566160.8270469,1784566160.8270469,"{""fits_valid"":true,""producer_job_id"":""job-a54ad3737b23ab3452f80050d5e83ef27b29e707b14c3e0884662d61127304af"",""reused"":true}"
59,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,working_residual_fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits,173701440,07f6a0a5ce1c01ebbe3857a7780dd2a7487551abcd5b531c39c31d1ae41225c2,1,1784566160.828187,1784566160.828187,"{""fits_valid"":true,""producer_job_id"":""job-a54ad3737b23ab3452f80050d5e83ef27b29e707b14c3e0884662d61127304af"",""reused"":true}"
60,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,working_annuli_residual_fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits,173701440,20722d6a80f0bbaf3fb420f6c6fb2634cc2c3bf69c2baba2eb69105363c0be7f,1,1784566160.82921,1784566160.82921,"{""fits_valid"":true,""producer_job_id"":""job-a54ad3737b23ab3452f80050d5e83ef27b29e707b14c3e0884662d61127304af"",""reused"":true}"
61,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-8d338dedea641ead5fc19af3e52969978b7ec29ad6a5b9aab44d56c7ca35dea8,IC 3328,,clean_model_fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_3328/F150W__F115W/aaf0967076f9/jw07763-o051_t051_nircam_clear-f150w_i2d_01_модель_чистая.fits,173701440,95305fac4436111f3d9338e017fb6f6a6f0b62ca7b95079adc444c451c67343f,1,1784566161.381598,1784566161.381598,"{""fits_valid"":true,""producer_job_id"":""job-aaf0967076f982218327e92c4dab2179d2d9280d3883f8693a9895dedc03c6b9"",""reused"":true}"
62,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-8d338dedea641ead5fc19af3e52969978b7ec29ad6a5b9aab44d56c7ca35dea8,IC 3328,,clean_isophotes_fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_3328/F150W__F115W/aaf0967076f9/jw07763-o051_t051_nircam_clear-f150w_i2d_02_изофоты_чистые.fits,173701440,7799b4bafa160e300bce48fd502c24047ad3248880913ec05cb3787a3bc35501,1,1784566161.382787,1784566161.382787,"{""fits_valid"":true,""producer_job_id"":""job-aaf0967076f982218327e92c4dab2179d2d9280d3883f8693a9895dedc03c6b9"",""reused"":true}"
63,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-8d338dedea641ead5fc19af3e52969978b7ec29ad6a5b9aab44d56c7ca35dea8,IC 3328,,full_residual_fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_3328/F150W__F115W/aaf0967076f9/jw07763-o051_t051_nircam_clear-f150w_i2d_03_остатки_общие.fits,173701440,334a9e63eaac70958501dd0c3775da5c5d329b33a81750e86a888da6e1fba7f1,1,1784566161.383738,1784566161.383738,"{""fits_valid"":true,""producer_job_id"":""job-aaf0967076f982218327e92c4dab2179d2d9280d3883f8693a9895dedc03c6b9"",""reused"":true}"
64,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-8d338dedea641ead5fc19af3e52969978b7ec29ad6a5b9aab44d56c7ca35dea8,IC 3328,,working_residual_fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_3328/F150W__F115W/aaf0967076f9/jw07763-o051_t051_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits,173701440,60101ab0a73a209fc1fb3ed30f84182b9d9c18a398b9700256bfd3551b7e4525,1,1784566161.3846111,1784566161.3846111,"{""fits_valid"":true,""producer_job_id"":""job-aaf0967076f982218327e92c4dab2179d2d9280d3883f8693a9895dedc03c6b9"",""reused"":true}"
65,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-8d338dedea641ead5fc19af3e52969978b7ec29ad6a5b9aab44d56c7ca35dea8,IC 3328,,working_annuli_residual_fits,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_3328/F150W__F115W/aaf0967076f9/jw07763-o051_t051_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits,173701440,4c663c3d5fdb9a09a05b34ecb1cda1a1fd31fb7602de2297cb9118e41dd56e34,1,1784566161.386154,1784566161.386154,"{""fits_valid"":true,""producer_job_id"":""job-aaf0967076f982218327e92c4dab2179d2d9280d3883f8693a9895dedc03c6b9"",""reused"":true}"
