event_id,run_id,job_id,target,attempt_id,created_at,level,event_type,message,payload_json
1529,run-20260720T164920Z-5f8824d560b3-6a51d38a,,,,1784566160.261909,INFO,RUN_CREATED,,"{""deadline_at"":1784738960.261909,""soft_stop_at"":1784735360.261909}"
1530,run-20260720T164920Z-5f8824d560b3-6a51d38a,,,,1784566160.323515,INFO,CAMPAIGN_INVOCATION,,"{""programs"":[""7763""],""provenance_path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/campaign/run_provenance.json"",""resumed"":false,""target_count"":74}"
1531,run-20260720T164920Z-5f8824d560b3-6a51d38a,,,,1784566160.329995,INFO,QUEUE_UPSERTED,,"{""job_count"":74}"
1532,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,1784566160.82481,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":56,""kind"":""clean_model_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_01_модель_чистая.fits"",""verified"":true}"
1533,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,1784566160.826058,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":57,""kind"":""clean_isophotes_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_02_изофоты_чистые.fits"",""verified"":true}"
1534,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,1784566160.8270469,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":58,""kind"":""full_residual_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_03_остатки_общие.fits"",""verified"":true}"
1535,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,1784566160.828187,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":59,""kind"":""working_residual_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_04_остатки_общие_рабочие.fits"",""verified"":true}"
1536,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,1784566160.82921,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":60,""kind"":""working_annuli_residual_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_0794/F150W__F115W/a54ad3737b23/jw07763-o048_t048_nircam_clear-f150w_i2d_05_остатки_общие_рабочие_два_кольца.fits"",""verified"":true}"
1537,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,1784566160.8308322,INFO,RESULT_REUSED,,"{""artifact_count"":5,""current_template_sha256"":""23fd556bc3a871a72a2a6ce52b2b986d1882e72022c3f91edd5d44c88ea92417"",""producer_job_id"":""job-a54ad3737b23ab3452f80050d5e83ef27b29e707b14c3e0884662d61127304af"",""producer_template_sha256"":""6f66f3df1e9817b434d59d3beab8f5504a9a568216bf2ec9466f0641a3c4cd9b"",""reuse_kind"":""campaign-result"",""reused_from_result_json"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_0794__F150W__F115W__a6f2e2c80416_result.json"",""target"":""IC 0794"",""target_status_path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/campaign/target_status.csv""}"
1538,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-a6f2e2c80416a526c85a2b24ef983ededf82ec96b3be13a5189796d08ba6dacf,IC 0794,,1784566160.835215,INFO,JOB_STATE_CHANGED,,"{""from"":""PENDING"",""reason"":""verified result reused"",""to"":""SUCCEEDED""}"
1539,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-8d338dedea641ead5fc19af3e52969978b7ec29ad6a5b9aab44d56c7ca35dea8,IC 3328,,1784566161.381598,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":61,""kind"":""clean_model_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_3328/F150W__F115W/aaf0967076f9/jw07763-o051_t051_nircam_clear-f150w_i2d_01_модель_чистая.fits"",""verified"":true}"
1540,run-20260720T164920Z-5f8824d560b3-6a51d38a,job-8d338dedea641ead5fc19af3e52969978b7ec29ad6a5b9aab44d56c7ca35dea8,IC 3328,,1784566161.382787,INFO,ARTIFACT_RECORDED,,"{""artifact_id"":62,""kind"":""clean_isophotes_fits"",""path"":""/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/products/IC_3328/F150W__F115W/aaf0967076f9/jw07763-o051_t051_nircam_clear-f150w_i2d_02_изофоты_чистые.fits"",""verified"":true}"
