run_id,job_id,target,sample_count,max_process_rss_bytes,max_children_rss_bytes,max_swap_used_bytes,min_ram_available_bytes,min_disk_free_bytes,first_sample_at,last_sample_at
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-cc2e116c39243db11fc20d8367e31350a6335de0c12ea0fcae8c8fb47b2c988d,IC 3349,11,5916540928,1742372864,9390522368,11276599296,157249548288,1784566165.080718,1784566435.1306381
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-c0982bac4c684eabde52a8306a054103fa02b69f81dd9a0245db7ee76953d3e1,IC 3358,114,11449565184,1538588672,9390522368,7483621376,155875405824,1784566465.2765021,1784569826.350469
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-d0cfab08b5ae857c63df7e0bef07e3bfb8362e446d54abd8b165eda1af50ed18,IC 3363,5,5993250816,1446199296,9356967936,11628462080,155660824576,1784569856.955143,1784569946.998281
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-5b6d675db0108f129880561dda30daeda17211d22d7add64b5aae9ab33282c42,IC 3381,133,10912563200,2670182400,9356967936,7438565376,154685497344,1784569977.116498,1784573908.382229
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-dfc9619f565c1f98bb05b4033c2b9153a19cf18fca952834515ff683a486838d,IC 3383,6,7256195072,1761558528,9348579328,11872026624,154489507840,1784573938.996398,1784574059.038912
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-b1e48d7d87779d4d15d263f3e6391b739b7f47c9d80d2b2ff8a443e22005a0b8,IC 3388,5,5973835776,1386774528,9348579328,11184586752,154539393024,1784574089.176664,1784574179.209347
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-6391437cae2b14b2dde7c0f79e44313407e273f34e9d972b6345e0c6396fdf62,IC 3393,123,12221890560,1485881344,9629073408,6523453440,152705445888,1784574209.385777,1784577840.260832
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-2e91649b320028a6597d5347ace16b3461bd0055fdf7d3adab968fcf50af5bea,IC 3437,113,11393875968,1504657408,9578741760,7819935744,150378110976,1784577870.8935921,1784581201.8209422
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-240047d6ad5dc73cfd4c360731d23b8d3128bfcd42c64e9ce5a7614a8dbe85d9,IC 3442,14,5925175296,1541783552,9520021504,11979767808,150201065472,1784581232.4494789,1784581592.572714
run-20260720T164920Z-5f8824d560b3-6a51d38a,job-4999086c503725a77c7e89f77721b20a22967dae0d72118872b2b9c11e618c7b,IC 3443,120,10920706048,1676410880,9520021504,6971162624,149892841472,1784581622.7175732,1784585163.7935722
