program,obsid,galaxy,status,method_generation,signal_filter,color_filter,color_name,mbar,sigma_mbar,absolute_mbar,sigma_absolute_mbar,external_distance_modulus,color,color_sigma,mbar_inner,mbar_outer,inner_outer_delta,selected_region,selection_method,qc_status,qc_reasons,k_stability_mag,Pr_over_P0,uses_two_annuli,result_json,worker_log,clean_model_fits,clean_isophotes_fits,full_residual_fits,working_residual_fits,working_annuli_residual_fits,error
7763,o002_t002,NGC 4569,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4569__F150W__F115W__d66d4edaa17a_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
7763,o003_t003,NGC 4548,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4548__F150W__F115W__cea29b2dba21_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
7763,o008_t008,NGC 4435,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4435__F150W__F115W__9643ca2935bd_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
7763,o013_t013,NGC 4388,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4388__F150W__F115W__1d0d0ee50401_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
7763,o015_t015,NGC 4503,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4503__F150W__F115W__f36bed0b060c_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
7763,o019_t019,NGC 4313,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4313__F150W__F115W__692d7651b4be_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
7763,o022_t022,NGC 4402,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4402__F150W__F115W__9b8a035b409d_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
7763,o023_t023,NGC 4387,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4387__F150W__F115W__5fc473f0d095_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
7763,o025_t025,NGC 4294,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4294__F150W__F115W__7aa06d4a180b_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
7763,o029_t029,NGC 4551,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4551__F150W__F115W__5dc8cc66a008_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
7763,o032_t032,NGC 4299,failed,sbf3,F150W,F115W,F115W-F150W,,,,,,,,,,,,,FAILED,,,,false,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4299__F150W__F115W__c2d5edf2eac8_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
