priority,program,obsid,galaxy,status,reasons,qc_status,inner_outer_delta,model_residual,result_json,worker_log,clean_model_fits,clean_isophotes_fits,full_residual_fits,working_residual_fits,working_annuli_residual_fits,error
100,7763,o056_t056,IC 3349,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_3349__F150W__F115W__cc2e116c3924_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o061_t061,IC 3363,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_3363__F150W__F115W__d0cfab08b5ae_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o072_t072,IC 3383,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_3383__F150W__F115W__dfc9619f565c_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o070_t070,IC 3388,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_3388__F150W__F115W__b1e48d7d8777_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o055_t055,IC 3442,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_3442__F150W__F115W__240047d6ad5d_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o068_t068,IC 3466,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_3466__F150W__F115W__65f51acd1d83_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o047_t047,IC 3475,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_3475__F150W__F115W__61fe7f542274_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o065_t065,IC 3492,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_3492__F150W__F115W__3b1dadec3ba5_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o069_t069,IC 3635,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/IC_3635__F150W__F115W__ef76bdd3999e_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
100,7763,o025_t025,NGC 4294,failed,processing_failed; isophote_family_too_short,FAILED,,,,/Users/zuha/Desktop/FKI/4 курс 2025-2026/course_work-SBF/runs/sbf3_go3055_go7763/batch/NGC_4294__F150W__F115W__7aa06d4a180b_result.log,,,,,,worker exited 1; required artifacts are absent or invalid; isolist too short after all starts and datasets
