schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,phase,dataset,n_finite,start_sma_px,minsma_px,maxsma_requested_px,step_px,linear,fix_center,fix_pa,fix_eps,status,error,n_isophotes,max_sma_px,center_delta_px,x0_median,y0_median,eps_median,pa_median_rad,last_stop_code,stop_codes,region_id
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,40.0,5.0,200.0,10.0,True,False,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,40.0,5.0,200.0,20.0,True,False,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,50.0,5.0,200.0,10.0,True,False,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,50.0,5.0,200.0,20.0,True,False,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,60.0,5.0,200.0,10.0,True,False,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,60.0,5.0,200.0,20.0,True,False,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,70.0,5.0,200.0,10.0,True,False,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,70.0,5.0,200.0,20.0,True,False,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,40.0,5.0,200.0,10.0,True,True,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,40.0,5.0,200.0,20.0,True,True,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,50.0,5.0,200.0,10.0,True,True,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,50.0,5.0,200.0,20.0,True,True,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,60.0,5.0,200.0,10.0,True,True,False,False,working,,19,190.0,0.0,1078.2270639571516,3000.1150764841914,0.1722838372131905,1.21260407971411,0.0,0;2;5,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,70.0,5.0,200.0,10.0,True,True,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,bootstrap,real_only,15362177,70.0,5.0,200.0,20.0,True,True,False,False,too_short_or_shifted,,0,,,,,,,,,
sbf-table-2,sbf-3.1,IC 3381,7763,043,F150W,F115W,07_isophotes:start_attempts,photutils_multistart_v1,default,isophote_start_attempt,isophote_start_attempt,mixed_or_not_applicable,full,real_only,15362177,60.0,5.0,2000.0,10.0,True,True,False,False,working,,199,1990.0,0.0,1078.2270639571516,3000.1150764841914,0.22936566472869035,1.4304591098568449,4.0,0;1;2;4;5,
