schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab,region_id
sbf-table-2,sbf-3.1,IC 3470,7763,054,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,28262,1238.7162576687117,3229.187116564417,652,878.0176580809012,878.0176580809012,878.0176580809012,2.0119883046083817e-05,20.641001992528775,
sbf-table-2,sbf-3.1,IC 3470,7763,054,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,25809,1453.367734282325,2984.3772241992883,843,829.9719524271221,829.9719524271221,829.9719524271221,1.9018909768697253e-05,20.70210157724159,
sbf-table-2,sbf-3.1,IC 3470,7763,054,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,26708,1013.0969696969697,3056.727272727273,165,829.2034814397703,829.2034814397703,829.2034814397703,1.9001300161136943e-05,20.70310732602006,
sbf-table-2,sbf-3.1,IC 3470,7763,054,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,28629,901.5986842105264,3271.875,304,678.5793942944737,678.5793942944737,678.5793942944737,1.5549730606248484e-05,20.920758448719656,
sbf-table-2,sbf-3.1,IC 3470,7763,054,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,29005,1082.7128205128206,3354.7384615384617,585,613.935320688356,613.935320688356,613.935320688356,1.406840367778974e-05,21.029453568684385,
sbf-table-2,sbf-3.1,IC 3470,7763,054,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,26326,1197.478021978022,3018.5714285714284,182,593.4546478670809,593.4546478670809,593.4546478670809,1.3599086531287437e-05,21.066291279250965,
sbf-table-2,sbf-3.1,IC 3470,7763,054,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,23099,903.9362380446333,2240.1307120085016,941,539.5524928992891,539.5524928992891,539.5524928992891,1.2363911994759004e-05,21.16967585945162,
sbf-table-2,sbf-3.1,IC 3470,7763,054,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,26141,1153.1790633608816,3058.9366391184576,726,443.6294273953816,443.6294273953816,443.6294273953816,1.0165823104862638e-05,21.382209251559413,
sbf-table-2,sbf-3.1,IC 3470,7763,054,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,26146,995.6775106082036,3092.4271570014143,707,402.1287199534184,402.1287199534184,402.1287199534184,9.21482926962806e-06,21.488847389494694,
sbf-table-2,sbf-3.1,IC 3470,7763,054,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,30425,2197.9967213114755,3919.7196721311475,610,363.0652991196365,363.0652991196365,363.0652991196365,8.319686157958171e-06,21.59979826281676,
