sma,intens,x0_crop,y0_crop,x0_full,y0_full,eps,pa,grad,real_data_frac,sampled_real,sampled_total,pa_unwrap
20.0,5.263540891706372,1078.5686721591348,2991.1337727297587,1078.5686721591348,3050.1337727297587,0.2,0.0,-0.05054900353337555,1.0,113,113,0.0
30.0,4.93233972143981,1078.5686721591348,2991.1337727297587,1078.5686721591348,3050.1337727297587,0.2,0.0,-0.06019231070975609,1.0,169,169,0.0
40.0,4.353812385498249,1078.5686721591348,2991.1337727297587,1078.5686721591348,3050.1337727297587,0.2,0.0,-0.0328853947961043,1.0,226,226,0.0
50.0,3.9488294074096086,1078.5686721591348,2991.1337727297587,1078.5686721591348,3050.1337727297587,0.2,0.0,-0.059077445317465664,1.0,282,282,0.0
60.0,3.6992686484908015,1083.3148320369157,2991.1337727297587,1083.3148320369157,3050.1337727297587,0.33603177444946963,0.0858897794300848,-0.03635907705126924,1.0,306,306,0.0858897794300848
70.0,3.3704068610778317,1079.2323270814204,2991.831195241866,1079.2323270814204,3050.831195241866,0.33603177444946963,0.17942699158887956,-0.018407754191261852,1.0,357,357,0.17942699158887956
80.0,3.2171208487971015,1083.8153817623352,2990.9006159386877,1083.8153817623352,3049.9006159386877,0.3878452547558709,0.17942699158887956,-0.02092222944719579,1.0,390,390,0.17942699158887956
90.0,2.9686472418243968,1083.8153817623352,2990.9006159386877,1083.8153817623352,3049.9006159386877,0.3878452547558709,0.17942699158887956,-0.029219232671718217,1.0,438,438,0.17942699158887956
100.0,2.60439998386728,1082.9084520242236,2995.9008458268786,1082.9084520242236,3054.9008458268786,0.3878452547558709,0.17942699158887956,-0.015680066515704326,1.0,487,487,0.17942699158887956
110.0,2.4302354713227,1086.3289494165165,2988.9309346894606,1086.3289494165165,3047.9309346894606,0.3467637862415841,0.06807989410113542,-0.02702847547673141,1.0,556,556,0.06807989410113542
120.0,2.211527369205446,1082.554749666678,2990.462431436453,1082.554749666678,3049.462431436453,0.3467637862415841,0.12693817875510655,-0.017609934880090734,1.0,606,606,0.12693817875510655
130.0,2.0193471756922547,1088.2312436731343,2991.3221204977403,1088.2312436731343,3050.3221204977403,0.3467637862415841,0.17934741714030425,-0.017304172052718055,1.0,657,657,0.17934741714030425
140.0,1.7931426387576708,1088.2312436731343,2991.3221204977403,1088.2312436731343,3050.3221204977403,0.3467637862415841,0.19009818112645732,-0.008553000144064793,1.0,707,707,0.19009818112645732
150.0,1.7563793489928616,1088.2312436731343,2991.3221204977403,1088.2312436731343,3050.3221204977403,0.3467637862415841,0.27764922371582784,-0.013453899060922314,1.0,757,757,0.27764922371582784
160.0,1.606886159470505,1089.2152111904943,2989.3853136047983,1089.2152111904943,3048.3853136047983,0.3467637862415841,0.27764922371582784,-0.01000187818791963,1.0,808,808,0.27764922371582784
