label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab
26114,629.0679347826087,1926.054347826087,368,1187.2070742634767,1187.2070742634767,1187.2070742634767,2.7205036852153847e-05,20.313442325929746
31977,1619.8691588785048,3802.033644859813,535,369.7653782076595,369.7653782076595,369.7653782076595,8.47323180501659e-06,21.57994290301278
5270,1827.3446327683616,2605.64406779661,177,358.38921246562813,358.38921246562813,358.38921246562813,8.212545177588787e-06,21.613871193161405
31786,309.9141531322506,3665.7331786542923,431,243.83936595567437,243.83936595567437,243.83936595567437,5.587617426341028e-06,22.031998964448547
26095,779.5096774193548,1849.3774193548388,620,225.80534171995146,225.80534171995146,225.80534171995146,5.1743649242618545e-06,22.115422986628314
26105,924.1149897330596,1861.605749486653,487,172.593206430036,172.593206430036,172.593206430036,3.955000473926148e-06,22.407199272594642
27461,1469.9153225806451,2809.1048387096776,248,170.55999786765497,170.55999786765497,170.55999786765497,3.908409179899362e-06,22.42006556061861
31084,369.2173913043478,3403.3076923076924,299,161.76574473238375,161.76574473238375,161.76574473238375,3.7068874859853927e-06,22.477542111724947
32079,886.5254237288135,3898.4350282485875,354,150.7123157901164,150.7123157901164,150.7123157901164,3.453596423090066e-06,22.55438665766443
32241,772.7940503432494,4039.949656750572,437,141.6505804019484,141.6505804019484,141.6505804019484,3.245945331276519e-06,22.6217126195432
21621,1458.758064516129,3689.6290322580644,62,135.73574858039441,135.73574858039441,135.73574858039441,3.110406029693856e-06,22.66802290940515
27442,976.2822966507177,2821.535885167464,209,129.15692589508842,129.15692589508842,129.15692589508842,2.9596512730238207e-06,22.721964266191947
27082,758.5248868778281,2697.054298642534,221,110.95667120264316,110.95667120264316,110.95667120264316,2.5425895738811203e-06,22.8868749677967
30634,171.1584699453552,3296.2349726775956,366,110.92985788257607,110.92985788257607,110.92985788257607,2.541975142434099e-06,22.88713737392499
27263,792.6178861788618,2762.756097560976,123,107.59434931185639,107.59434931185639,107.59434931185639,2.4655414388669273e-06,22.92028485676714
28859,1029.4912280701756,3026.605263157895,114,95.2196505419987,95.2196505419987,95.2196505419987,2.1819732700391463e-06,23.052942057230716
26365,417.42424242424244,2389.818181818182,264,88.34834588771852,88.34834588771852,88.34834588771852,2.024516243043212e-06,23.134262458437256
23039,1039.3466666666668,3814.6177777777775,225,87.08372613670305,87.08372613670305,87.08372613670305,1.9955372825264197e-06,23.149916007035696
27532,1497.6525423728813,2825.6525423728813,118,63.064326773005504,63.064326773005504,63.064326773005504,1.4451289679016262e-06,23.500299105677655
32081,881.1368421052632,3918.584210526316,190,62.76951593331947,62.76951593331947,62.76951593331947,1.4383733311370385e-06,23.505386566744892
