sma,intens,x0_crop,y0_crop,x0_full,y0_full,eps,pa,grad,real_data_frac,sampled_real,sampled_total,pa_unwrap
20.0,557.0835775120331,3000.878483690595,2999.869863636683,8479.878483690594,3183.869863636683,0.08330642705587095,0.7537802950632807,-10.391789623575617,1.0,121,121,0.7537802950632807
30.0,458.6246104858355,3000.309995519097,3000.0598259105495,8479.309995519097,3184.0598259105495,0.059954865225254096,0.9247119882012619,-8.163373452972792,1.0,184,184,0.9247119882012619
40.0,381.5731695080146,3000.560968364049,2999.561500401955,8479.560968364049,3183.561500401955,0.08144861798466059,0.8270229036040889,-6.783773373117185,1.0,242,242,0.8270229036040889
50.0,321.06252301490196,3000.6124812149756,2999.9900846167993,8479.612481214976,3183.9900846167993,0.10188967910597257,0.7586562677550797,-4.66298845356581,1.0,291,291,0.7586562677550797
60.0,276.4094336375283,3000.527771250169,2999.9117022926093,8479.527771250168,3183.9117022926093,0.1081258241260811,0.8390243300689607,-3.770426980570472,1.0,338,338,0.8390243300689607
70.0,241.74933065142497,3000.380653064143,3000.1986526705546,8479.380653064143,3184.1986526705546,0.11799173764745047,0.9038610912122115,-2.8408970941010074,1.0,388,388,0.9038610912122115
80.0,214.20721721372033,3000.5939404356527,2999.859400654699,8479.593940435652,3183.859400654699,0.11752246317500097,0.9155719718176444,-2.3402854466876377,1.0,440,440,0.9155719718176444
90.0,191.3826497443659,3000.3799186752303,3000.2360044431193,8479.37991867523,3184.2360044431193,0.12240768732024129,0.9003193551556229,-1.8827200733156528,1.0,499,499,0.9003193551556229
100.0,171.86787223424184,3000.60608888511,2999.9807018267943,8479.60608888511,3183.9807018267943,0.11837894165825927,0.9010580730045364,-1.7546723688879977,1.0,565,565,0.9010580730045364
110.0,154.36924013888174,3000.8764477022346,2999.7880517972835,8479.876447702234,3183.7880517972835,0.11890829759630603,0.872313576796248,-1.4090042877379778,1.0,626,626,0.872313576796248
120.0,140.68830524024438,3001.1823954313445,3000.271677387158,8480.182395431344,3184.271677387158,0.12167785456757577,0.9129467475157634,-1.2565103717177601,1.0,698,698,0.9129467475157634
130.0,126.85646310028729,3000.357642046882,2999.6286330624007,8479.357642046882,3183.6286330624007,0.10946815732820508,0.898659663811099,-1.042950027446679,1.0,774,774,0.898659663811099
140.0,114.82987140169213,3000.6200444437914,2999.245208421278,8479.62004444379,3183.245208421278,0.09401813607968104,0.9380594822810037,-1.0033269300724235,1.0,841,841,0.9380594822810037
150.0,105.55436352140565,3000.6570100051135,2999.895751380332,8479.657010005114,3183.895751380332,0.10812921566034792,0.9271432983404864,-0.8597555104530167,1.0,873,873,0.9271432983404864
160.0,96.65997776305498,3000.364488936864,3000.302541039941,8479.364488936864,3184.302541039941,0.1024582518553263,0.8873805158286613,-0.798751073483002,1.0,914,914,0.8873805158286613
170.0,88.94329030913238,3000.364488936864,3000.302541039941,8479.364488936864,3184.302541039941,0.1024582518553263,0.9269871440471246,-0.7009228324217456,1.0,962,962,0.9269871440471246
180.0,80.81995684871586,3000.9114192398224,2999.824726963462,8479.911419239823,3183.824726963462,0.09221456951757284,0.8808760326380994,-0.6052186341008089,1.0,1023,1023,0.8808760326380994
190.0,74.79098384133314,3001.0924905986208,3000.178244047542,8480.092490598621,3184.178244047542,0.09308659100170721,0.8973967941244293,-0.5075080802150991,1.0,1063,1063,0.8973967941244293
200.0,68.95978571132576,3001.1210637635236,3000.8865720590884,8480.121063763523,3184.8865720590884,0.09168059479123769,0.931115842532758,-0.42635744945641957,1.0,1156,1156,0.931115842532758
210.0,64.26342858400044,3001.3460406811196,2999.9001471876386,8480.34604068112,3183.9001471876386,0.08733315144122698,0.8844107029581686,-0.397395956459445,1.0,1255,1255,0.8844107029581686
220.0,60.31688385478128,3002.227128792132,3000.9755921468354,8481.227128792132,3184.9755921468354,0.08733315144122698,0.8844107029581686,-0.3573838125155943,1.0,1326,1326,0.8844107029581686
230.0,56.70525943976653,3001.427758024531,3000.5659451218185,8480.42775802453,3184.5659451218185,0.09493352502349905,0.9168918617499786,-0.3158672500981673,1.0,1380,1380,0.9168918617499786
240.0,54.05647194421057,3001.676530149157,3000.4542734782913,8480.676530149158,3184.4542734782913,0.11104235408886104,0.9058141237238447,-0.2826217770859959,1.0,1427,1427,0.9058141237238447
250.0,50.48491689157467,3001.0963628803615,3000.1186305861384,8480.096362880362,3184.1186305861384,0.09050470972618682,0.9058141237238447,-0.26226989041344007,1.0,1504,1504,0.9058141237238447
260.0,47.533965302230634,3001.0963628803615,3000.1186305861384,8480.096362880362,3184.1186305861384,0.09050470972618682,0.9058141237238447,-0.23550420309272285,1.0,1564,1564,0.9058141237238447
270.0,44.78492320318338,3001.999018926948,2999.1650153205264,8480.999018926948,3183.1650153205264,0.08496378737826833,0.9192081239279015,-0.23211146788530382,1.0,1629,1629,0.9192081239279015
280.0,42.825653560120884,3000.9383219539905,3000.022476534235,8479.93832195399,3184.022476534235,0.09468299608051431,0.8329812099657109,-0.20299844479982376,1.0,1680,1680,0.8329812099657109
290.0,40.80779459347812,3002.123498903083,2999.820895051254,8481.123498903084,3183.820895051254,0.09551112790141607,0.8709701440407199,-0.2003637914757764,1.0,1740,1740,0.8709701440407199
300.0,38.32219282847903,3001.6234615656467,2999.2270203376793,8480.623461565647,3183.2270203376793,0.09092117371488975,0.8709701440407199,-0.17141831437226523,1.0,1804,1804,0.8709701440407199
310.0,36.64508113998898,3001.6234615656467,2999.2270203376793,8480.623461565647,3183.2270203376793,0.09092117371488975,0.8709701440407199,-0.16875477542860556,1.0,1864,1864,0.8709701440407199
320.0,34.671730411928756,3001.079748449913,3000.694551262708,8480.079748449913,3184.694551262708,0.08583357609772937,0.8935267650097064,-0.15814621377889682,1.0,1930,1930,0.8935267650097064
330.0,33.35733643604116,3003.4887831250967,3000.1478914675804,8482.488783125096,3184.1478914675804,0.09422856368982749,0.8647140012734933,-0.14974814507796752,1.0,1981,1981,0.8647140012734933
340.0,31.61388833530686,3000.356689950434,3000.114941497706,8479.356689950433,3184.114941497706,0.0910667315286819,0.8925448104906446,-0.13652955765144625,1.0,2045,2045,0.8925448104906446
350.0,30.078776413975714,3002.014987995231,3002.172961375502,8481.014987995231,3186.172961375502,0.0910667315286819,0.8925448104906446,-0.1281074877357014,1.0,2105,2105,0.8925448104906446
360.0,28.787970583994355,3002.112522037858,3001.4301554687377,8481.112522037858,3185.4301554687377,0.09385865813979224,0.8639175566129785,-0.12227820769217088,1.0,2161,2161,0.8639175566129785
370.0,27.42345750627779,3002.0312316244444,2999.9054805344367,8481.031231624445,3183.9054805344367,0.09103978933636891,0.8593977961873275,-0.1124031347895219,1.0,2225,2225,0.8593977961873275
380.0,26.217108916405508,3002.0312316244444,2999.9054805344367,8481.031231624445,3183.9054805344367,0.09103978933636891,0.8593977961873275,-0.10419737906540433,1.0,2285,2285,0.8593977961873275
390.0,25.050336942249178,3002.7792349429315,3000.7732707065184,8481.779234942931,3184.7732707065184,0.0935214655203099,0.8593977961873275,-0.09869050566879868,1.0,2342,2342,0.8593977961873275
400.0,23.9824076669852,3002.082798113879,3000.4677490239474,8481.08279811388,3184.4677490239474,0.0930967170104217,0.8593977961873275,-0.09214276638387177,1.0,2402,2402,0.8593977961873275
410.0,23.237246844015036,3001.290960587834,3000.168503363145,8480.290960587834,3184.168503363145,0.10481381954260964,0.8593977961873275,-0.08988092175348318,1.0,2446,2446,0.8593977961873275
420.0,22.055813903394846,3003.876941124284,3000.1661905217006,8482.876941124283,3184.1661905217006,0.0899679144770217,0.8974752070347083,-0.08828899710292638,1.0,2527,2527,0.8974752070347083
430.0,21.164330450354928,3000.9248264462885,2999.8256581858914,8479.924826446288,3183.8256581858914,0.0958172326557706,0.8409206615847489,-0.08057170365895638,1.0,2579,2579,0.8409206615847489
440.0,20.31354648574513,3004.9387322776297,3001.0720645654433,8483.93873227763,3185.0720645654433,0.0958172326557706,0.8409206615847489,-0.07559655563803691,1.0,2639,2639,0.8409206615847489
450.0,19.414503080677953,3003.2489793983405,2999.183426042573,8482.24897939834,3183.183426042573,0.0958172326557706,0.8409206615847489,-0.07328263964188816,1.0,2699,2699,0.8409206615847489
460.0,18.6796439956687,3002.1451845622873,3000.116871875616,8481.145184562287,3184.116871875616,0.0958172326557706,0.8688216108258683,-0.06922379580230899,1.0,2759,2759,0.8688216108258683
470.0,17.852387780019754,3001.816677670918,3001.815372726277,8480.816677670919,3185.815372726277,0.09202362959742522,0.8242101426485318,-0.0660995798375805,1.0,2825,2825,0.8242101426485318
480.0,17.068302607262275,3004.046227866165,2999.817607997103,8483.046227866165,3183.817607997103,0.08936683445684394,0.8846266944785816,-0.0628977864457828,1.0,2889,2889,0.8846266944785816
490.0,16.42331089522198,3002.091050999861,3001.4187352405916,8481.091050999861,3185.4187352405916,0.08936683445684394,0.8846266944785816,-0.06213923638823773,1.0,2949,2949,0.8846266944785816
500.0,15.622296870601835,3001.6669491378557,3000.200706606647,8480.666949137856,3184.200706606647,0.08936683445684394,0.8825548742336435,-0.05480908767150506,1.0,3009,3009,0.8825548742336435
510.0,15.102951164344562,3001.6669491378557,3000.200706606647,8480.666949137856,3184.200706606647,0.08936683445684394,0.8825548742336435,-0.05185413522164017,1.0,3069,3069,0.8825548742336435
520.0,14.524438628721473,3003.5150994268597,2999.7275332115296,8482.515099426859,3183.7275332115296,0.08936683445684394,0.8825548742336435,-0.04956243864327796,1.0,3130,3130,0.8825548742336435
530.0,13.783598057293743,3003.785350417455,2999.5052831336548,8482.785350417455,3183.5052831336548,0.08127956593838316,0.8825548742336435,-0.04436602117093193,1.0,3204,3204,0.8825548742336435
540.0,13.273274961156824,3003.785350417455,2999.5052831336548,8482.785350417455,3183.5052831336548,0.08127956593838316,0.6930922051045464,-0.04182994290641966,1.0,3265,3265,0.6930922051045464
550.0,13.04297173413312,3006.647577333368,3002.7698544418467,8485.647577333368,3186.7698544418467,0.09804874929250243,0.8972403884954661,-0.041366655215424264,1.0,3294,3294,0.8972403884954661
560.0,12.522239947623966,3006.3259446472684,2998.88864521281,8485.32594464727,3182.88864521281,0.09804874929250243,0.8473276222733775,-0.037251914438950956,1.0,3354,3354,0.8473276222733775
570.0,12.199685191041489,3006.3259446472684,2998.88864521281,8485.32594464727,3182.88864521281,0.09804874929250243,0.8924241636231747,-0.037785248948769536,1.0,3414,3414,0.8924241636231747
580.0,11.804343828251586,3006.355006998706,2998.8625595354824,8485.355006998707,3182.8625595354824,0.09804874929250243,0.839321911085778,-0.03567100785483975,1.0,3474,3474,0.839321911085778
590.0,11.342789159825646,3003.624743557617,3001.3131792417657,8482.624743557617,3185.3131792417657,0.09804874929250243,0.8521059155576093,-0.033172086771991086,1.0,3534,3534,0.8521059155576093
600.0,10.901163572152441,3003.624743557617,3001.3131792417657,8482.624743557617,3185.3131792417657,0.09057343658315993,0.8521059155576093,-0.030617331124687328,1.0,3609,3609,0.8521059155576093
610.0,10.59499218286049,3005.432503897397,2999.731834432002,8484.432503897397,3183.731834432002,0.09479643771390175,0.8088808574614027,-0.029159298226066523,1.0,3660,3660,0.8088808574614027
620.0,10.236824102226334,3005.432503897397,2999.731834432002,8484.432503897397,3183.731834432002,0.09479643771390175,0.8088808574614027,-0.02713267167374457,1.0,3720,3720,0.8088808574614027
