schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab,region_id
sbf-table-2,sbf-3.1,NGC 4306,7763,038,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,25875,1956.4187946884576,2893.664964249234,979,1108.157938781072,1108.157938781072,1108.157938781072,2.539370992868092e-05,20.38825023639831,
sbf-table-2,sbf-3.1,NGC 4306,7763,038,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,26041,1383.3567662565906,2934.435852372583,569,857.8087709502593,857.8087709502593,857.8087709502593,1.9656897578832057e-05,20.66627818527573,
sbf-table-2,sbf-3.1,NGC 4306,7763,038,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,27349,1325.8670212765958,3100.744680851064,188,387.3158245227927,387.3158245227927,387.3158245227927,8.875436753661844e-06,21.52959128837617,
sbf-table-2,sbf-3.1,NGC 4306,7763,038,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,25840,961.586592178771,2873.849162011173,179,338.28181398500806,338.28181398500806,338.28181398500806,7.75181042147493e-06,21.67655776465033,
sbf-table-2,sbf-3.1,NGC 4306,7763,038,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,28571,669.1549815498155,3307.7047970479707,271,325.1832983319687,325.1832983319687,325.1832983319687,7.451654734862752e-06,21.71943381208191,
sbf-table-2,sbf-3.1,NGC 4306,7763,038,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,25519,1437.5746031746032,2819.44126984127,315,309.810307953256,309.810307953256,309.810307953256,7.0993789041785155e-06,21.772014732979905,
sbf-table-2,sbf-3.1,NGC 4306,7763,038,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,28432,1394.4493670886077,3278.474683544304,158,297.7982060175183,297.7982060175183,297.7982060175183,6.824118653346949e-06,21.814949198642854,
sbf-table-2,sbf-3.1,NGC 4306,7763,038,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,29049,1262.9674796747968,3406.0731707317073,123,216.2851963862163,216.2851963862163,216.2851963862163,4.956228121183384e-06,22.162187403500823,
sbf-table-2,sbf-3.1,NGC 4306,7763,038,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,26628,1090.301724137931,3002.008620689655,116,203.39747560677625,203.39747560677625,203.39747560677625,4.660902850604251e-06,22.228890495226565,
sbf-table-2,sbf-3.1,NGC 4306,7763,038,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,28412,482.75280898876406,3285.2059925093636,267,201.64209546794663,201.64209546794663,201.64209546794663,4.620677885822571e-06,22.238301386597747,
