label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab
2967,7576.480412371134,3062.9835051546393,485,11087.62110316001,11087.62110316001,11087.62110316001,0.00025407759326225124,17.88764970494985
7380,8239.475675675676,1991.0108108108109,185,2630.539720860581,2630.539720860581,2630.539720860581,6.027994599008486e-05,19.449633485978442
7835,8497.18309859155,3132.915492957746,213,2278.621449481835,2278.621449481835,2278.621449481835,5.221558785726229e-05,19.605565192850577
7381,8252.561538461538,1988.5230769230768,260,2043.4448862651295,2043.4448862651295,2043.4448862651295,4.6826416039625204e-05,19.723838323800628
3236,9232.849397590362,3098.5963855421687,166,1999.2431562906313,1999.2431562906313,1999.2431562906313,4.5813514438329714e-05,19.747581600840853
7842,8474.603174603175,3143.809523809524,189,1981.2954701727253,1981.2954701727253,1981.2954701727253,4.540223551284729e-05,19.75737252940205
7843,8500.982352941177,3150.2,170,1426.519559855192,1426.519559855192,1426.519559855192,3.268930757439344e-05,20.11405131867506
7849,8493.642335766423,3163.087591240876,137,1284.373252770885,1284.373252770885,1284.373252770885,2.9431963978407433e-05,20.22801751404934
7846,8474.294736842105,3155.421052631579,95,1206.5697787746594,1206.5697787746594,1206.5697787746594,2.7649064000451913e-05,20.29586453782052
7851,8478.431034482759,3163.612068965517,116,1129.0278736442597,1129.0278736442597,1129.0278736442597,2.5872157985248458e-05,20.367983985937475
5061,9255.950495049505,3373.732673267327,101,999.5386766145148,999.5386766145148,999.5386766145148,2.2904857495028572e-05,20.500246637002547
7840,8502.935897435898,3139.1923076923076,78,919.4091264772674,919.4091264772674,919.4091264772674,2.106865448460497e-05,20.590973619827032
4113,7842.068181818182,3236.352272727273,88,881.8994394910297,881.8994394910297,881.8994394910297,2.020910391872502e-05,20.63619797948615
847,8300.346153846154,2695.4807692307695,52,794.8435681304231,794.8435681304231,794.8435681304231,1.8214181286642374e-05,20.749041485243037
6029,7840.666666666667,3548.826086956522,69,680.6982395836785,680.6982395836785,680.6982395836785,1.559849212397607e-05,20.91735907733962
6693,8895.486842105263,3737.789473684211,76,680.5923828089605,680.5923828089605,680.5923828089605,1.55960663705795e-05,20.91752793552636
6247,8981.69696969697,3596.909090909091,66,660.8654282182274,660.8654282182274,660.8654282182274,1.5144014744881481e-05,20.949463062771652
1713,8892.363636363636,2865.318181818182,88,569.8785498400846,569.8785498400846,569.8785498400846,1.3059011400911234e-05,21.11028986970868
7839,8479.74074074074,3135.5185185185182,54,549.5810373175842,549.5810373175842,549.5810373175842,1.2593885195484039e-05,21.1496662972776
7834,8485.755102040817,3131.5102040816328,49,528.4413258210395,528.4413258210395,528.4413258210395,1.2109459639332087e-05,21.192253712172786
7850,8469.155555555555,3161.4222222222224,45,409.79145497532255,409.79145497532255,409.79145497532255,9.390546957804313e-06,21.46833840044596
13,8789.41304347826,2026.304347826087,46,399.69722533022605,399.69722533022605,399.69722533022605,9.15923335588734e-06,21.49541781235975
7836,8472.307692307691,3131.096153846154,52,365.2128053650706,365.2128053650706,365.2128053650706,8.369008081387809e-06,21.593380654212964
7315,8558.970588235294,4179.382352941177,34,363.88530368537624,363.88530368537624,363.88530368537624,8.338587811007878e-06,21.597334355944852
4978,8259.75,3360.1,40,360.7290292681071,360.7290292681071,360.7290292681071,8.266260428952372e-06,21.60679291320519
5029,8410.039215686274,3373.176470588235,51,351.5401612771813,351.5401612771813,351.5401612771813,8.05569357766688e-06,21.63480827684787
7838,8481.548387096775,3130.0,31,343.6294612450027,343.6294612450027,343.6294612450027,7.87441649338568e-06,21.65951966790328
17,8852.46052631579,2058.7631578947367,76,321.40589674876543,321.40589674876543,321.40589674876543,7.36515398086141e-06,21.732111044967183
2209,8599.02564102564,2945.3333333333335,39,312.0343321519241,312.0343321519241,312.0343321519241,7.150400558489452e-06,21.764239694188966
1077,8572.34090909091,2748.1363636363635,44,291.02141707440694,291.02141707440694,291.02141707440694,6.668880596664816e-06,21.839933268184474
7845,8468.74074074074,3151.666666666667,27,284.8710612427956,284.8710612427956,284.8710612427956,6.5279425547834155e-06,21.863124812241534
6531,9256.081081081082,3671.189189189189,37,271.11907481921907,271.11907481921907,271.11907481921907,6.212809887408838e-06,21.916845461375356
7833,8478.378378378378,3125.7837837837837,37,267.0036903206414,267.0036903206414,267.0036903206414,6.118504086460302e-06,21.933452486202558
3725,8571.582278481013,3176.025316455696,79,263.05423836210167,263.05423836210167,263.05423836210167,6.028000700838235e-06,21.949632386943925
7932,8540.23076923077,3161.326923076923,52,245.71517504605538,245.71517504605538,245.71517504605538,5.630668627909873e-06,22.023665699021542
6060,7800.1,3555.0333333333333,30,228.93143091613405,228.93143091613405,228.93143091613405,5.246061932318111e-06,22.10048208892563
7844,8508.818181818182,3150.909090909091,33,222.3602565415449,222.3602565415449,222.3602565415449,5.0954806530276105e-06,22.132102729879545
8098,8511.916666666666,3232.625,48,210.02402161422606,210.02402161422606,210.02402161422606,4.812790538431469e-06,22.194073220313484
7911,8523.333333333334,3146.854166666667,48,205.5340217255926,205.5340217255926,205.5340217255926,4.709900265140418e-06,22.217536345308062
3,8589.727272727272,1970.4848484848485,33,203.33982888175436,203.33982888175436,203.33982888175436,4.659619394994451e-06,22.229189511568105
7831,8478.594594594595,3119.27027027027,37,201.58573755610007,201.58573755610007,201.58573755610007,4.619423639905253e-06,22.23859614098041
7981,8586.459016393443,3189.1475409836066,61,198.9826286405615,198.9826286405615,198.9826286405615,4.559772282584696e-06,22.252707736501804
2751,7934.861111111111,3022.6111111111113,36,197.33396792435036,197.33396792435036,197.33396792435036,4.521992515132004e-06,22.2617410243838
7857,8484.363636363636,3175.151515151515,33,197.1083317625227,197.1083317625227,197.1083317625227,4.51682196570425e-06,22.262983190231203
5515,7856.304347826087,3443.586956521739,46,196.01661301136397,196.01661301136397,196.01661301136397,4.491804762263321e-06,22.269013444155963
2806,7935.733333333334,3031.5,30,186.63915031795764,186.63915031795764,186.63915031795764,4.2769161824787745e-06,22.322238774313597
4454,9194.576923076924,3280.0384615384614,26,183.28843007154987,183.28843007154987,183.28843007154987,4.200132990847186e-06,22.34190801755137
7870,8457.405405405405,3131.3513513513512,37,181.17730151850648,181.17730151850648,181.17730151850648,4.1517555745525744e-06,22.354486178622786
3113,8573.717391304348,3074.1521739130435,46,181.05259909260243,181.05259909260243,181.05259909260243,4.148897964975834e-06,22.35523373669983
7872,8454.361111111111,3138.333333333333,36,178.70847233792705,178.70847233792705,178.70847233792705,4.095181294953638e-06,22.369382790096623
3675,9003.272727272728,3162.5454545454545,33,176.45578377177128,176.45578377177128,176.45578377177128,4.043559970240881e-06,22.383155900938082
7940,8540.923076923076,3180.3846153846152,39,173.81423046377725,173.81423046377725,173.81423046377725,3.983027643177704e-06,22.39953232096022
3196,8517.06976744186,3088.767441860465,43,173.16828879419305,173.16828879419305,173.16828879419305,3.968225612762994e-06,22.403574732482767
7934,8543.790697674418,3167.813953488372,43,171.68170622493872,171.68170622493872,171.68170622493872,3.934159935566097e-06,22.41293559394802
2,8406.583333333334,1968.6944444444443,36,168.8273293429829,168.8273293429829,168.8273293429829,3.868750665021665e-06,22.43113876973833
7800,8489.04347826087,3103.0434782608695,46,168.15892672620944,168.15892672620944,168.15892672620944,3.853433932368203e-06,22.435445828907675
7915,8576.981132075472,3159.1886792452833,53,165.6121647892482,165.6121647892482,165.6121647892482,3.795073790229994e-06,22.452015060782436
7681,8463.19512195122,3060.951219512195,41,162.60676408345785,162.60676408345785,162.60676408345785,3.7262037439855158e-06,22.471899127611763
8153,8426.574468085106,3264.468085106383,47,161.5072023730675,161.5072023730675,161.5072023730675,3.701006815769807e-06,22.47926591005209
542,8097.931034482759,2609.0689655172414,29,159.64322888950468,159.64322888950468,159.64322888950468,3.6582930639016697e-06,22.49186938820024
5180,8841.16,3387.92,25,158.63864290547036,158.63864290547036,158.63864290547036,3.6352725451922337e-06,22.498723180968664
7755,8493.833333333334,3080.416666666667,36,158.56777530436688,158.56777530436688,158.56777530436688,3.633648583716538e-06,22.499208313154682
428,8069.8125,2559.8125,32,158.01174319303502,158.01174319303502,158.01174319303502,3.620906869393033e-06,22.503022235280326
8054,8594.407407407407,3221.8703703703704,54,156.303643769789,156.303643769789,156.303643769789,3.5817650384742895e-06,22.514822889773406
8045,8345.42,3215.52,50,156.16730602518675,156.16730602518675,156.16730602518675,3.578640800578978e-06,22.515770349592504
7912,8518.84375,3151.875,32,155.89113087687335,155.89113087687335,155.89113087687335,3.572312128598808e-06,22.517692127055987
7792,8435.714285714286,3095.5476190476193,42,155.65560592939005,155.65560592939005,155.65560592939005,3.5669149734062735e-06,22.519333729943206
7775,8755.176470588236,3085.3823529411766,34,154.9402842103368,154.9402842103368,154.9402842103368,3.5505230693996093e-06,22.524334775264343
1426,8397.05,2813.0,20,154.70444993265312,154.70444993265312,154.70444993265312,3.5451188257728555e-06,22.525988631021477
8047,8433.0,3212.315789473684,38,153.9498707391154,153.9498707391154,153.9498707391154,3.527827319900131e-06,22.531297324450435
7953,8462.514285714286,3174.657142857143,35,153.5891208984968,153.5891208984968,153.5891208984968,3.5195605825701553e-06,22.533844509380593
