schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab,region_id
sbf-table-2,sbf-3.1,NGC 4436,7763,045,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16935,774.1986754966888,3559.7831125827815,604,1903.0175291730668,1903.0175291730668,1903.0175291730668,4.36079005411829e-05,19.801152676025595,
sbf-table-2,sbf-3.1,NGC 4436,7763,045,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17149,1358.2507149666349,3777.9571020019066,1049,1479.075990303207,1479.075990303207,1479.075990303207,3.3893223624703704e-05,20.07478342961926,
sbf-table-2,sbf-3.1,NGC 4436,7763,045,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16201,1394.0483870967741,3229.9139784946237,186,451.1328875488601,451.1328875488601,451.1328875488601,1.0337770298750735e-05,21.363998427072687,
sbf-table-2,sbf-3.1,NGC 4436,7763,045,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,3270,548.2533333333333,2605.96,75,371.86400171298857,371.86400171298857,371.86400171298857,8.52131320545052e-06,21.57379930146491,
sbf-table-2,sbf-3.1,NGC 4436,7763,045,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,3404,685.4714285714285,2629.328571428571,140,340.2714746112694,340.2714746112694,340.2714746112694,7.797366232510628e-06,21.670195789865353,
sbf-table-2,sbf-3.1,NGC 4436,7763,045,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,446,1186.5232558139535,1962.2558139534883,172,332.23606831721065,332.23606831721065,332.23606831721065,7.6132338253690205e-06,21.696142701053898,
sbf-table-2,sbf-3.1,NGC 4436,7763,045,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,9044,1454.68345323741,3363.0,139,299.6523307123567,299.6523307123567,299.6523307123567,6.8665731315235406e-06,21.80821549774826,
sbf-table-2,sbf-3.1,NGC 4436,7763,045,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,13938,1122.2913385826773,2368.6929133858266,254,259.43847294308597,259.43847294308597,259.43847294308597,5.945067216261868e-06,21.964673699249282,
sbf-table-2,sbf-3.1,NGC 4436,7763,045,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,15558,731.305785123967,3059.123966942149,121,201.37312634195212,201.37312634195212,201.37312634195212,4.6144920530515465e-06,22.23975586629762,
sbf-table-2,sbf-3.1,NGC 4436,7763,045,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,1114,1332.1052631578946,2262.9894736842107,95,164.84729944573266,164.84729944573266,164.84729944573266,3.777497857224596e-06,22.457055055635312,
