schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,sma,intens,x0_crop,y0_crop,x0_full,y0_full,eps,pa,grad,real_data_frac,sampled_real,sampled_total,pa_unwrap,region_id
sbf-table-2,sbf-3.1,NGC 4442,7763,012,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,10.0,692.793535840426,1079.5299077148431,3001.597793114718,1079.5299077148431,3054.597793114718,0.09216731889471289,0.8790903314211646,-39.37615912651369,1.0,61,61,0.8790903314211646,
sbf-table-2,sbf-3.1,NGC 4442,7763,012,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,20.0,432.3953769632592,1079.6689691733427,3001.6351214048045,1079.6689691733427,3054.6351214048045,0.10662159423077457,0.9048757862571971,-14.99129027992788,1.0,120,120,0.9048757862571971,
sbf-table-2,sbf-3.1,NGC 4442,7763,012,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,30.0,315.56891202313386,1079.4620928138313,3001.6679418159997,1079.4620928138313,3054.6679418159997,0.1442803499515354,0.9424618270769471,-8.514517438219874,1.0,175,175,0.9424618270769471,
sbf-table-2,sbf-3.1,NGC 4442,7763,012,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,40.0,245.12819330883642,1079.4380859878245,3001.676638537793,1079.4380859878245,3054.676638537793,0.16797362110719943,0.9522052946689471,-5.524076645009465,1.0,230,230,0.9522052946689471,
sbf-table-2,sbf-3.1,NGC 4442,7763,012,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,50.0,197.27435966970558,1079.4638476539315,3001.6630034989926,1079.4638476539315,3054.6630034989926,0.18488329319230246,0.963245913999019,-3.7865178604096226,1.0,285,285,0.963245913999019,
sbf-table-2,sbf-3.1,NGC 4442,7763,012,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,60.0,149.5582017603367,1082.206873519709,3000.215673416827,1082.206873519709,3053.215673416827,0.054785303508316785,0.6261819331952241,-2.54684035892267,1.0,368,368,0.6261819331952241,
sbf-table-2,sbf-3.1,NGC 4442,7763,012,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,70.0,140.7790072501351,1079.5333405962008,3001.4555638752645,1079.5333405962008,3054.4555638752645,0.21656738806485326,0.9553026327618641,-2.094764594550694,1.0,390,390,0.9553026327618641,
sbf-table-2,sbf-3.1,NGC 4442,7763,012,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,80.0,122.53246803831173,1079.4326196777672,3001.7507218195356,1079.4326196777672,3054.7507218195356,0.23119229795039087,0.9354739016692596,-1.6122283550362937,1.0,441,441,0.9354739016692596,
sbf-table-2,sbf-3.1,NGC 4442,7763,012,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,90.0,108.15226028182353,1079.2578825416253,3001.6083630456565,1079.2578825416253,3054.6083630456565,0.24228522720905307,0.9822297217401519,-1.239682681752566,1.0,493,493,0.9822297217401519,
sbf-table-2,sbf-3.1,NGC 4442,7763,012,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,100.0,97.20148079302224,1079.4438069646494,3001.2681027996437,1079.4438069646494,3054.2681027996437,0.257635417069471,0.9748717669668443,-0.9635684914908977,1.0,541,541,0.9748717669668443,
