label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab
6243,8145.116022099448,3499.902394106814,543,9238.007395214527,9238.007395214527,9238.007395214527,0.00021169089776081217,18.085810160479298
7479,9285.497959183673,3659.204081632653,245,4915.922321145185,4915.922321145185,4915.922321145185,0.00011264940208044439,18.770743394978872
8053,9224.80459770115,3757.6724137931033,174,3726.772656002043,3726.772656002043,3726.772656002043,8.539978542431101e-05,19.07142367357947
9204,8461.683229813665,4153.639751552795,161,3423.695374338209,3423.695374338209,3423.695374338209,7.845470526778733e-05,19.163518134228926
7393,8671.052356020942,3644.832460732984,191,2528.971057423935,2528.971057423935,2528.971057423935,5.795190787945359e-05,19.492396276585847
8035,8421.853535353535,3755.0101010101007,198,2458.8324822538043,2458.8324822538043,2458.8324822538043,5.634466756125244e-05,19.522933570142587
955,9696.133757961783,2829.522292993631,157,2070.50541877091,2070.50541877091,2070.50541877091,4.744607058285018e-05,19.709564995803316
2144,7805.655913978495,3041.8817204301076,93,1509.270304898438,1509.270304898438,1509.270304898438,3.458524897622315e-05,20.052838356096096
4283,8342.38679245283,3284.132075471698,106,1339.0805605819012,1339.0805605819012,1339.0805605819012,3.068531490789649e-05,20.18273916081261
1,9202.169811320755,1979.622641509434,106,1269.5388583885567,1269.5388583885567,1269.5388583885567,2.9091752060485247e-05,20.240640928369874
10758,9285.11009174312,3769.8990825688074,109,1212.3658094391217,1212.3658094391217,1212.3658094391217,2.778161952410101e-05,20.290671724152688
2050,9476.866666666667,3026.5333333333333,105,1203.68608986164,1203.68608986164,1203.68608986164,2.758272191003101e-05,20.298472820095775
785,9697.101123595505,2776.808988764045,89,1196.055801245098,1196.055801245098,1196.055801245098,2.7407872228892347e-05,20.30537731974502
588,8148.878787878788,2710.378787878788,66,1075.681480270725,1075.681480270725,1075.681480270725,2.464946914646859e-05,20.420546695525164
10350,8627.933333333334,3407.786666666667,75,979.9784059249047,979.9784059249047,979.9784059249047,2.245641291042019e-05,20.521714659390533
9167,8900.030303030304,4122.070707070707,99,881.4494963397223,881.4494963397223,881.4494963397223,2.01986020608331e-05,20.63676233954128
7556,9621.613333333333,3666.7333333333336,75,765.0523537703658,765.0523537703658,765.0523537703658,1.7531336864654056e-05,20.790528035298603
4,9025.971428571429,1995.1857142857143,70,717.047853901958,717.047853901958,717.047853901958,1.6431303574037052e-05,20.860885573622554
10642,8841.16393442623,3579.0819672131147,61,714.2745143212225,714.2745143212225,714.2745143212225,1.6367751909643968e-05,20.865093038028867
8427,8726.607142857143,3833.964285714286,56,647.026186085326,647.026186085326,647.026186085326,1.4826742212623684e-05,20.972451280534983
7161,7557.514705882353,3605.1029411764703,68,647.0132664454962,647.0132664454962,647.0132664454962,1.4826446156338242e-05,20.97247296043151
6618,7525.5084745762715,3530.915254237288,59,646.2478743517689,646.2478743517689,646.2478743517689,1.4808907034260456e-05,20.973758105369072
1317,8392.183673469388,2906.8979591836733,49,603.4061649975258,603.4061649975258,603.4061649975258,1.3827180182698772e-05,21.048231566795053
9094,8085.357142857143,4072.714285714286,42,586.0874669018607,586.0874669018607,586.0874669018607,1.3430318544568996e-05,21.079849838468235
8886,8179.375,3974.9375,48,581.5373722793627,581.5373722793627,581.5373722793627,1.3326052161752262e-05,21.088311850080103
4042,8186.712121212121,3261.0757575757575,66,572.9362910378283,572.9362910378283,572.9362910378283,1.3128956561820475e-05,21.104490093701862
897,7900.597222222223,2810.8611111111113,72,547.7702158139554,547.7702158139554,547.7702158139554,1.2552270613288164e-05,21.15325988829223
2610,8419.2,3104.3,40,526.4132767495979,526.4132767495979,526.4132767495979,1.2062871827322828e-05,21.196438839031476
20,8934.585365853658,2091.8048780487807,41,522.4023496473391,522.4023496473391,522.4023496473391,1.1970960582526662e-05,21.204743120336246
144,8168.547169811321,2457.0188679245284,53,522.3310991219735,522.3310991219735,522.3310991219735,1.1969327861634018e-05,21.2048912141399
9651,9120.407407407407,3192.4814814814818,54,516.9665197008156,516.9665197008156,516.9665197008156,1.1846397386999158e-05,21.216099879924815
9550,8526.620689655172,3147.2758620689656,58,481.81239815885186,481.81239815885186,481.81239815885186,1.1040833239792908e-05,21.292560996365225
696,9695.08695652174,2746.521739130435,46,476.59399194011024,476.59399194011024,476.59399194011024,1.0921252355077631e-05,21.30438451635264
3158,8193.2,3166.4444444444443,45,473.03067740375246,473.03067740375246,473.03067740375246,1.0839598247115293e-05,21.31253265715783
5716,9638.943396226416,3428.830188679245,53,467.97867704797216,467.97867704797216,467.97867704797216,1.0723830588024969e-05,21.324190761016286
655,9502.553191489362,2735.978723404255,94,463.1129516576091,463.1129516576091,463.1129516576091,1.0612331459254288e-05,21.335538607237503
9787,8731.060606060606,3251.666666666667,33,444.4646295854815,444.4646295854815,444.4646295854815,1.0185001205846346e-05,21.38016291039676
3810,9356.433962264151,3233.471698113208,53,437.3588741719059,437.3588741719059,437.3588741719059,1.002217131424572e-05,21.397661067047444
567,9381.632183908046,2703.425287356322,87,423.75243050246644,423.75243050246644,423.75243050246644,9.710376773227313e-06,21.431975418943992
348,7908.342105263158,2603.5,38,419.1706288057155,419.1706288057155,419.1706288057155,9.605383816082717e-06,21.443778814104082
2940,7575.63829787234,3140.978723404255,47,417.72540701297225,417.72540701297225,417.72540701297225,9.57226625233972e-06,21.4475286972841
9576,8836.266666666666,3164.022222222222,45,398.27417961482183,398.27417961482183,398.27417961482183,9.126537253183777e-06,21.49930054511969
3274,9717.142857142857,3179.5510204081634,49,397.9970290185303,397.9970290185303,397.9970290185303,9.120186288518573e-06,21.500056349035376
7971,8988.3125,3735.9375,16,389.633764843668,389.633764843668,389.633764843668,8.928540317082724e-06,21.52311446219768
1728,7906.275,2977.325,40,370.2539320900417,370.2539320900417,370.2539320900417,8.484447341340495e-06,21.57850672586694
2770,9182.945454545454,3123.7636363636366,55,364.23107433030356,364.23107433030356,364.23107433030356,8.346432279033323e-06,21.596313437357534
962,8432.472222222223,2827.8333333333335,36,358.3650439387263,358.3650439387263,358.3650439387263,8.212010949112275e-06,21.613941822917763
7719,9311.9375,3690.708333333333,48,356.90097306267126,356.90097306267126,356.90097306267126,8.178461454629505e-06,21.6183865943418
178,8848.166666666666,2481.5208333333335,48,355.6096126087016,355.6096126087016,355.6096126087016,8.148869656080473e-06,21.62232219435016
10151,8871.851851851852,3342.9074074074074,54,353.4102461639966,353.4102461639966,353.4102461639966,8.098470707772011e-06,21.62905808307364
7968,8754.326923076924,3739.0576923076924,52,334.6968819897109,334.6968819897109,334.6968819897109,7.669650000805305e-06,21.688126758103113
7347,9734.818181818182,3633.038961038961,77,317.69340921682794,317.69340921682794,317.69340921682794,7.280011817769456e-06,21.744735411503797
2076,9068.184210526317,3030.0263157894738,38,312.5501984822479,312.5501984822479,312.5501984822479,7.162154053513898e-06,21.762456476825605
8543,8695.045454545454,3866.136363636364,44,308.1017188203386,308.1017188203386,308.1017188203386,7.0602161990596885e-06,21.778020621557474
9891,8796.96875,3272.03125,64,302.76131857423934,302.76131857423934,302.76131857423934,6.937839795346865e-06,21.797004954430985
5468,9678.925,3405.175,40,295.3157878436945,295.3157878436945,295.3157878436945,6.767223880331337e-06,21.82403926102621
