schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,sma,intens,x0_crop,y0_crop,x0_full,y0_full,eps,pa,grad,real_data_frac,sampled_real,sampled_total,pa_unwrap,region_id
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,10.0,218.39997160671356,1069.9160118599343,3018.082888951453,1069.9160118599343,3050.082888951453,0.3642651414730207,0.8645446796214538,-13.635897659651958,1.0,50,50,0.8645446796214538,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,20.0,135.61871964350274,1069.736967192919,3017.933546781881,1069.736967192919,3049.933546781881,0.2132796472593081,0.8989657142701099,-3.8405006373314445,1.0,112,112,0.8989657142701099,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,30.0,105.96420246645424,1070.1947731946625,3017.8717167660343,1070.1947731946625,3049.8717167660343,0.15428128763666882,0.7788108048545829,-2.0632387248891697,1.0,174,174,0.7788108048545829,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,40.0,86.62273125100103,1069.9889096007946,3017.6244712769094,1069.9889096007946,3049.6244712769094,0.12268296689464081,0.84618862280433,-1.4247997344389558,1.0,237,237,0.84618862280433,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,50.0,73.89775741955107,1069.706193243469,3018.9247230439914,1069.706193243469,3050.9247230439914,0.13154965016598694,0.8536075105031506,-1.1518664446043574,1.0,294,294,0.8536075105031506,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,60.0,63.46947391037048,1070.3257964774657,3018.495119277314,1070.3257964774657,3050.495119277314,0.15062889674689076,0.8677893484097632,-0.896463161439455,1.0,349,349,0.8677893484097632,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,70.0,54.695316029768904,1070.130415548513,3018.278814099561,1070.130415548513,3050.278814099561,0.1483314615387208,0.8436927568604526,-0.7377140510455179,1.0,407,407,0.8436927568604526,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,80.0,47.38966909214627,1069.9040782262975,3018.27483026841,1069.9040782262975,3050.27483026841,0.14838702360270697,0.8454914300765527,-0.5785234056574042,1.0,466,466,0.8454914300765527,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,90.0,42.94005472213334,1069.066382843711,3018.484304258438,1069.066382843711,3050.484304258438,0.18577188891035862,0.8557160075382441,-0.5310526347803193,1.0,512,512,0.8557160075382441,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,100.0,38.582005853836066,1069.5419730911121,3017.2015231938108,1069.5419730911121,3049.2015231938108,0.21373743343230295,0.8422218542100279,-0.4696209168002731,1.0,558,558,0.8422218542100279,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,110.0,34.033171314919876,1070.435729838348,3017.6501613839223,1070.435729838348,3049.6501613839223,0.21862645703789974,0.8468563123586133,-0.36881327751919746,1.0,612,612,0.8468563123586133,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,120.0,30.525087218204938,1069.810669322285,3018.203551922394,1069.810669322285,3050.203551922394,0.23042787492073194,0.8904358025244864,-0.3182196768199684,1.0,662,662,0.8904358025244864,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,130.0,27.613226980001066,1069.741626729327,3018.4948957701354,1069.741626729327,3050.4948957701354,0.23749583611669223,0.8678573269885649,-0.2898284142651265,1.0,714,714,0.8678573269885649,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,140.0,25.185104885967117,1069.4916028748846,3017.897730100075,1069.4916028748846,3049.897730100075,0.2563168339561371,0.8684414528754079,-0.23296156784300845,1.0,758,758,0.8684414528754079,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,150.0,22.978180078762517,1070.1761050402229,3017.9605278250037,1070.1761050402229,3049.9605278250037,0.25941848752512997,0.8556867676144583,-0.21642052665354705,1.0,811,811,0.8556867676144583,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,160.0,20.729716185400505,1070.185515081288,3017.952606776873,1070.185515081288,3049.952606776873,0.26911436908476466,0.8711022690968513,-0.1726415377248458,1.0,859,859,0.8711022690968513,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,170.0,19.514142063053157,1070.185515081288,3017.952606776873,1070.185515081288,3049.952606776873,0.29092086160403974,0.8711022690968513,-0.16198686126403525,1.0,898,898,0.8711022690968513,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,180.0,17.601755776172958,1069.0039008303536,3017.425029179945,1069.0039008303536,3049.425029179945,0.28946143893166765,0.8904549030912892,-0.13327033848200998,1.0,951,951,0.8904549030912892,
sbf-table-2,sbf-3.1,NGC 4474,7763,020,F150W,F115W,07_isophotes:all_fitted_points,photutils_multistart_v1,default,isophote_geometry,isophote_geometry,mixed_or_not_applicable,190.0,16.700267696523014,1068.3143730543025,3017.9830131378967,1068.3143730543025,3049.9830131378967,0.3022487058888792,0.8904549030912892,-0.13986599198973046,1.0,994,994,0.8904549030912892,
