schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab,region_id
sbf-table-2,sbf-3.1,NGC 4478,7763,017,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16080,1389.0904977375565,2874.1493212669684,221,3385.578071525862,3385.578071525862,3385.578071525862,7.758107691449261e-05,19.17567611275144,
sbf-table-2,sbf-3.1,NGC 4478,7763,017,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16083,1397.4776785714287,2896.799107142857,224,1806.465101346596,1806.465101346596,1806.465101346596,4.1395444148701385e-05,19.85768425558829,
sbf-table-2,sbf-3.1,NGC 4478,7763,017,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18179,1418.5171339563863,3216.8753894080996,321,1782.4352376629251,1782.4352376629251,1782.4352376629251,4.084479588028103e-05,19.872223797189132,
sbf-table-2,sbf-3.1,NGC 4478,7763,017,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16082,1357.889724310777,2901.6115288220553,399,1687.9591003171722,1687.9591003171722,1687.9591003171722,3.8679859694153844e-05,19.93135339710573,
sbf-table-2,sbf-3.1,NGC 4478,7763,017,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16078,1360.8021978021977,2877.4395604395604,182,1363.467759748679,1363.467759748679,1363.467759748679,3.124408739208872e-05,20.16314601255717,
sbf-table-2,sbf-3.1,NGC 4478,7763,017,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,19262,584.1290322580645,3563.060483870968,496,1322.7439556648958,1322.7439556648958,1322.7439556648958,3.0310894740751985e-05,20.196068731277723,
sbf-table-2,sbf-3.1,NGC 4478,7763,017,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,2258,1687.139344262295,2595.7049180327867,122,1303.068108961807,1303.068108961807,1303.068108961807,2.9860019485719945e-05,20.212340405291805,
sbf-table-2,sbf-3.1,NGC 4478,7763,017,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17605,885.9254658385094,3117.273291925466,161,958.5022173566862,958.5022173566862,958.5022173566862,2.1964235553412125e-05,20.545775390748968,
sbf-table-2,sbf-3.1,NGC 4478,7763,017,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17563,979.3389830508474,3129.313559322034,118,872.6553496811883,872.6553496811883,872.6553496811883,1.999704049741408e-05,20.647651306965717,
sbf-table-2,sbf-3.1,NGC 4478,7763,017,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,15205,823.8375,2574.33125,160,749.9717665895449,749.9717665895449,749.9717665895449,1.718572606457672e-05,20.812145909819208,
