label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab
3743,9234.296774193548,3019.3129032258066,310,3422.578616713178,3422.578616713178,3422.578616713178,7.842890384517733e-05,19.163875259349556
1777,7864.609649122807,2789.2105263157896,228,3036.751323915899,3036.751323915899,3036.751323915899,6.958761339245353e-05,19.293735767294933
1549,7595.785714285715,2753.3736263736264,182,2815.040438327085,2815.040438327085,2815.040438327085,6.450707509820887e-05,19.37604724625219
11554,9233.524590163934,2929.2909836065573,244,2677.555305359734,2677.555305359734,2677.555305359734,6.135658259498834e-05,19.430412715980694
10894,8208.768,4005.1679999999997,125,2580.893121389602,2580.893121389602,2580.893121389602,5.9141554108852716e-05,19.47033379069306
2118,7886.444444444444,2840.40522875817,153,1698.569480702775,1698.569480702775,1698.569480702775,3.892297515851473e-05,19.924550549615795
11648,8229.867346938776,2973.3979591836733,98,1664.894802001083,1664.894802001083,1664.894802001083,3.815131483053414e-05,19.946291847563778
2088,8280.557894736841,2834.2,95,1496.6311394693219,1496.6311394693219,1496.6311394693219,3.429552769246859e-05,20.06197189835019
7802,9554.179856115108,3424.5971223021584,139,1289.2203037482418,1289.2203037482418,1289.2203037482418,2.9542677192035605e-05,20.223940999696474
1620,8958.0,2761.4666666666667,75,1274.128138372481,1274.128138372481,1274.128138372481,2.9196837952203105e-05,20.236726073650036
10579,7824.364406779661,3882.0254237288136,118,1218.9351482882373,1218.9351482882373,1218.9351482882373,2.7932082281987996e-05,20.284807340506575
6681,8319.859649122807,3318.3245614035086,114,1194.8774550560229,1194.8774550560229,1194.8774550560229,2.73807966226806e-05,20.30645042368929
936,9070.977272727272,2642.772727272727,88,1007.2326312330474,1007.2326312330474,1007.2326312330474,2.3080887258205453e-05,20.491934373211617
11196,8870.5,4191.40243902439,82,739.5262002371744,739.5262002371744,739.5262002371744,1.6946354122053844e-05,20.827374928617076
3999,7943.747899159664,3042.72268907563,119,714.6250264609904,714.6250264609904,714.6250264609904,1.637573997920038e-05,20.864563287779564
1606,8685.308823529413,2760.1029411764707,68,708.046651629195,708.046651629195,708.046651629195,1.6224995530374282e-05,20.87460415769737
8947,8174.5504587155965,3557.183486238532,109,692.8684465130078,692.8684465130078,692.8684465130078,1.587718467694734e-05,20.89813188140941
276,8100.044776119403,2418.194029850746,67,683.6504769020955,683.6504769020955,683.6504769020955,1.566595351669534e-05,20.912673538308063
13813,8050.428571428572,4100.940476190476,84,657.8546913825409,657.8546913825409,657.8546913825409,1.5074839211170091e-05,20.954433900695207
2735,9575.813559322034,2905.3050847457625,59,640.4160983552282,640.4160983552282,640.4160983552282,1.4675231228739661e-05,20.98360324005984
11996,8368.18811881188,3074.3762376237623,101,633.7155857759365,633.7155857759365,633.7155857759365,1.452168797505705e-05,20.995022870000597
12580,8590.770833333334,3183.4375,48,621.6502726508775,621.6502726508775,621.6502726508775,1.4245209509865228e-05,21.01589351987925
11160,7956.06329113924,4165.822784810127,79,613.539965741955,613.539965741955,613.539965741955,1.4059360607050074e-05,21.0301516966652
11122,7848.6621621621625,4132.77027027027,74,612.8674040229132,612.8674040229132,612.8674040229132,1.4043948754087779e-05,21.031342532107814
8500,7463.684210526316,3498.8070175438597,57,593.7046683161375,593.7046683161375,593.7046683161375,1.360483178280238e-05,21.065832681515456
5183,8257.830188679245,3156.7169811320755,53,585.2193919340081,585.2193919340081,585.2193919340081,1.3410390398103705e-05,21.08146206966027
6836,8695.709090909091,3327.3454545454542,55,534.827124224391,534.827124224391,534.827124224391,1.2255644003254364e-05,21.17922527910735
12455,8459.744186046511,3177.186046511628,43,514.189770528786,514.189770528786,514.189770528786,1.1782735938934752e-05,21.221950260071807
12450,8473.176470588236,3166.078431372549,51,512.4192806126747,512.4192806126747,512.4192806126747,1.1742164896180183e-05,21.225695184988904
13814,8057.2,4103.5,50,509.2997357391142,509.2997357391142,509.2997357391142,1.167068005614336e-05,21.232325213954294
3360,8805.746666666666,2977.173333333333,75,501.69922893707377,501.69922893707377,501.69922893707377,1.1496513299464356e-05,21.24865025713811
145,8108.80303030303,2354.909090909091,66,499.83470719135744,499.83470719135744,499.83470719135744,1.1453787503189599e-05,21.252692818312646
766,8061.4655172413795,2596.4137931034484,58,486.61903100604223,486.61903100604223,486.61903100604223,1.1150948295428034e-05,21.281786117059593
345,8333.483870967742,2450.741935483871,62,485.12770184710774,485.12770184710774,485.12770184710774,1.1116774263417076e-05,21.285118654803302
11774,8663.885714285714,3011.0714285714284,70,484.28894178247947,484.28894178247947,484.28894178247947,1.1097553950365193e-05,21.286997459757814
5320,8982.22950819672,3170.4754098360654,61,482.6711081076521,482.6711081076521,482.6711081076521,1.106048104834304e-05,21.290630582415307
27,8936.018518518518,2035.7592592592594,54,480.1715935136459,480.1715935136459,480.1715935136459,1.1003204295430587e-05,21.29626768093761
12451,8488.75,3170.666666666667,36,450.8419884660817,450.8419884660817,450.8419884660817,1.0331111983844333e-05,21.364697949543988
10617,9068.838709677419,3890.548387096774,62,425.3929415193166,425.3929415193166,425.3929415193166,9.747943244872891e-06,21.42778314242806
10560,7632.529411764706,3873.2156862745096,51,383.9773534311175,383.9773534311175,383.9773534311175,8.79889881387011e-06,21.538994813777386
9688,7547.809523809524,3663.5079365079364,63,366.19360778405724,366.19360778405724,366.19360778405724,8.3913816072384e-06,21.590481943392458
11330,8651.266666666666,4347.366666666667,60,361.001021169748,361.001021169748,361.001021169748,8.272392703873922e-06,21.605987765028793
9206,9444.468085106382,3585.978723404255,47,359.6667677386009,359.6667677386009,359.6667677386009,8.24181808579341e-06,21.61000806102095
765,8015.203389830509,2596.8644067796613,59,357.1329992026478,357.1329992026478,357.1329992026478,8.183756398648575e-06,21.617683888550214
2245,8788.880952380952,2852.357142857143,42,354.5869521208391,354.5869521208391,354.5869521208391,8.125413346778452e-06,21.625451964413752
935,9523.592592592593,2640.4074074074074,54,353.3442846664496,353.3442846664496,353.3442846664496,8.096937435132209e-06,21.62926366352053
6783,8966.044444444444,3321.977777777778,45,352.8954334015579,352.8954334015579,352.8954334015579,8.086651940878527e-06,21.630643744878153
12478,8469.75,3204.041666666667,24,351.60758259851116,351.60758259851116,351.60758259851116,8.057140646001074e-06,21.634613260320847
2132,7583.413043478261,2837.7391304347825,46,347.2086752034168,347.2086752034168,347.2086752034168,7.95633902133452e-06,21.648282421709958
676,8650.613636363636,2572.931818181818,44,342.87638655460086,342.87638655460086,342.87638655460086,7.857063975260097e-06,21.66191489889902
12645,8525.431818181818,3207.9204545454545,88,335.14017960756735,335.14017960756735,335.14017960756735,7.67978762934581e-06,21.686692595861807
2918,9164.25641025641,2927.4358974358975,39,332.96513672174973,332.96513672174973,332.96513672174973,7.629946194435326e-06,21.693761933863648
7108,8618.022222222222,3353.4,45,329.32176304636977,329.32176304636977,329.32176304636977,7.546457738607586e-06,21.705707761611208
12447,8466.42372881356,3162.610169491525,59,326.48521266830613,326.48521266830613,326.48521266830613,7.48145776000467e-06,21.71510005160418
12476,8485.233333333334,3203.4666666666667,30,312.5908142250163,312.5908142250163,312.5908142250163,7.163065529604464e-06,21.76231831174033
2461,7570.775510204082,2876.204081632653,49,309.96375577061156,309.96375577061156,309.96375577061156,7.102866089945125e-06,21.771481554751084
12469,8492.904761904761,3194.4285714285716,21,307.5375000187173,307.5375000187173,307.5375000187173,7.047268074419666e-06,21.78001364191183
9393,8236.05,3613.4,40,306.4367481787586,306.4367481787586,306.4367481787586,7.022044180425836e-06,21.783906728337143
12081,8110.76,3086.96,50,295.1471938686997,295.1471938686997,295.1471938686997,6.76334234517367e-06,21.824662194803864
5006,8511.757575757576,3141.166666666667,66,293.06666589511804,293.06666589511804,293.06666589511804,6.715666733694528e-06,21.832342782156765
7277,8900.227272727272,3370.636363636364,44,292.21298930098703,292.21298930098703,292.21298930098703,6.696104606125264e-06,21.83551004838399
10456,8362.567567567567,3843.054054054054,37,291.8731937700349,291.8731937700349,291.8731937700349,6.688318140419574e-06,21.836773315218522
1501,8743.234042553191,2740.3404255319147,47,291.66503929407804,291.66503929407804,291.66503929407804,6.683548249291276e-06,21.837547903231812
12570,8424.433962264151,3186.830188679245,53,282.66936342100405,282.66936342100405,282.66936342100405,6.4774109834804936e-06,21.87156198888202
578,8758.117647058823,2541.0196078431372,51,281.38938827732966,281.38938827732966,281.38938827732966,6.448080160522259e-06,21.876489552671746
3505,8152.593220338983,2991.5593220338983,59,274.0193122694005,274.0193122694005,274.0193122694005,6.279193760152988e-06,21.90530591102634
11420,8547.871794871795,2779.3589743589746,39,273.04150098631084,273.04150098631084,273.04150098631084,6.25678706751321e-06,21.909187184246125
9793,8334.448979591836,3683.5510204081634,49,267.7313167756422,267.7313167756422,267.7313167756422,6.135103397538476e-06,21.930510906090852
11359,7564.93670886076,2665.3417721518986,79,267.2603620862737,267.2603620862737,267.2603620862737,6.124311399987989e-06,21.932422459893775
168,8317.479166666666,2366.7291666666665,48,265.858899162286,265.858899162286,265.858899162286,6.09219666626901e-06,21.93813083568099
223,8888.162162162162,2395.054054054054,37,261.5395732607191,261.5395732607191,261.5395732607191,5.993218663497728e-06,21.955915314067198
