schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,sma,intens,x0_full,y0_full,eps,pa,node_origin,grad,region_id
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,10.0,13.863874178336536,1044.5012665424954,3122.667338988646,0.08778814386735666,2.851392636811678,fitted,-0.29957529518717224,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,20.0,10.868121226464813,1042.6015219986414,3120.1430281792727,0.08778814386735666,0.9256463868154565,fitted,-0.21259608686307843,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,30.0,9.611952441074967,1045.2372983132504,3123.645350985559,0.08778814386735666,0.9256463868154565,fitted,-0.11453441326216263,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,40.0,8.577432961221561,1043.840264304359,3122.771672373958,0.13600568238364152,0.3083532105226928,fitted,-0.08550238949826383,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,50.0,7.901904651109691,1044.0339263888973,3122.833356206366,0.13600568238364152,1.1159925480889918,fitted,-0.07572518777797752,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,60.0,7.0629292056620105,1045.435433118208,3123.5670841405945,0.018681488581960247,2.799697047250832,fitted,-0.052771269554282,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,70.0,6.846479260024051,1044.2769465321408,3122.802734591032,0.13957945934637211,0.4867010477780669,fitted,-0.020978378123588336,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,80.0,6.643361643190244,1044.3463708301822,3122.5662143064988,0.22611293669991078,0.28550465276796555,fitted,-0.047868211448032126,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,90.0,5.889115031063408,1044.0178023903698,3125.089466321159,0.14171549914974502,0.6861371465248215,fitted,-0.05810726822572439,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,100.0,5.481216278675756,1042.0301696349165,3120.538776642221,0.10191156853585687,0.21448010394456374,fitted,-0.03406884013880949,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,110.0,5.207738228287218,1042.0301696349165,3120.538776642221,0.10191156853585687,0.21448010394456374,fitted,-0.02862945652845168,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,120.0,4.9086271481067225,1047.5493631544762,3123.2473856042934,0.10191156853585687,0.21448010394456374,fitted,-0.024966397755198953,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,130.0,4.708410273183239,1041.7252133587635,3127.3662249055888,0.10191156853585687,0.5119701431390602,fitted,-0.027050286471592865,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,140.0,4.367621418674865,1041.7252133587635,3127.3662249055888,0.10191156853585687,0.38498414853087826,fitted,-0.029855570384014117,
sbf-table-2,sbf-3.1,NGC 4571,7763,010,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,150.0,4.111298865502957,1042.193086319884,3123.6857401883394,0.07906059963044237,0.04195390328040993,fitted,-0.021930447017022913,
