schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,sma,intens,x0_full,y0_full,eps,pa,node_origin,grad,region_id
sbf-table-2,sbf-3.1,NGC 4606,7763,030,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,10.0,37.39110620095658,1056.8909120597427,3036.2104811007243,0.11893496344672926,2.773427196383962,fitted,-0.853349642772368,
sbf-table-2,sbf-3.1,NGC 4606,7763,030,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,20.0,28.857609773232898,1056.8909120597427,3036.2104811007243,0.11893496344672926,2.773427196383962,fitted,-0.7174610491307118,
sbf-table-2,sbf-3.1,NGC 4606,7763,030,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,30.0,23.041885218342344,1056.8909120597427,3036.2104811007243,0.11893496344672926,2.773427196383962,fitted,-0.37261093743831886,
sbf-table-2,sbf-3.1,NGC 4606,7763,030,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,40.0,21.405391024466525,1061.1309236932264,3037.6778099887856,0.296741777998208,2.4474922841120748,fitted,-0.2723643498474686,
sbf-table-2,sbf-3.1,NGC 4606,7763,030,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,50.0,17.59459822139297,1056.08050592258,3040.8696598515553,0.33260826790278186,2.466981647390502,fitted,-0.38403259515394805,
sbf-table-2,sbf-3.1,NGC 4606,7763,030,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,60.0,13.724739121387563,1056.8909120597427,3036.2104811007243,0.11893496344672926,2.773427196383962,fitted,-0.24765166012755602,
sbf-table-2,sbf-3.1,NGC 4606,7763,030,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,70.0,12.64156501884185,1057.74295763934,3034.9591930204983,0.16068123237063991,2.9091750468216797,fitted,-0.11592706946331555,
sbf-table-2,sbf-3.1,NGC 4606,7763,030,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,80.0,11.406197732121253,1057.74295763934,3034.9591930204983,0.16068123237063991,2.9779797806443717,fitted,-0.059699113902859424,
sbf-table-2,sbf-3.1,NGC 4606,7763,030,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,90.0,11.447582740784663,1049.0555398858826,3035.498498938819,0.29573048206264396,2.9779797806443717,fitted,-0.045335429427894036,
sbf-table-2,sbf-3.1,NGC 4606,7763,030,F150W,F115W,07_isophotes:full_family_nodes,isophote_family_extension_v1,default,model_family_nodes,model_family_nodes,mixed_or_not_applicable,100.0,10.499489143563371,1049.0555398858826,3035.498498938819,0.29573048206264396,2.9779797806443717,fitted,-0.06324233635895982,
