label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab
96,8306.407975460123,2017.6165644171779,326,5720.209848486674,5720.209848486674,5720.209848486674,0.00013108586371338342,18.606175972429476
12104,8910.55223880597,1905.7313432835822,402,5068.9147024675385,5068.9147024675385,5068.9147024675385,0.00011616060939411412,18.737418417959702
11255,8827.694267515923,3895.859872611465,314,4144.0915933286615,4144.0915933286615,4144.0915933286615,9.496711487998558e-05,18.95613251165543
14020,8229.822115384615,3956.6458333333335,624,3438.458627287127,3438.458627287127,3438.458627287127,7.879664049736091e-05,19.158796368043124
5674,8246.99074074074,3154.037037037037,216,3191.5042170571664,3191.5042170571664,3191.5042170571664,7.313736697064093e-05,19.239717319326147
13196,9188.923758865249,3217.2393617021276,564,2868.2005185917624,2868.2005185917624,2868.2005185917624,6.572845266896005e-05,19.35568210088612
5025,7916.913705583756,3091.53807106599,197,2863.698736893169,2863.698736893169,2863.698736893169,6.562528863165373e-05,19.357387555976384
111,8829.596363636363,2030.3563636363635,275,2860.333638715791,2860.333638715791,2860.333638715791,6.554817313891029e-05,19.358664141818288
13456,8237.482142857143,3284.732142857143,168,2555.0369593145333,2555.0369593145333,2555.0369593145333,5.855191251767986e-05,19.481212909102453
12988,8138.672354948805,3162.436860068259,293,2426.0188002408127,2426.0188002408127,2426.0188002408127,5.559529776667319e-05,19.537470470680795
1415,9007.896396396396,2658.225225225225,222,2293.4262668797105,2293.4262668797105,2293.4262668797105,5.255677169543404e-05,19.59849392030161
12242,8133.7558139534885,2886.854651162791,172,1936.5010124156163,1936.5010124156163,1936.5010124156163,4.437737679527613e-05,19.782161554931108
14031,8899.372093023256,4146.074418604651,215,1754.184333519223,1754.184333519223,1754.184333519223,4.0199358863152186e-05,19.889517805766054
11025,7926.317535545024,3833.898104265403,422,1674.073721460957,1674.073721460957,1674.073721460957,3.836352258224305e-05,19.940269427926157
4610,8676.757575757576,3046.7373737373737,99,1621.632737972095,1621.632737972095,1621.632737972095,3.716177093384235e-05,19.974824617288938
2917,8267.555555555555,2871.4444444444443,126,1599.7637105651577,1599.7637105651577,1599.7637105651577,3.666061443396876e-05,19.989566273564122
5010,8965.62937062937,3085.3356643356647,143,1554.729429604071,1554.729429604071,1554.729429604071,3.562859676803348e-05,20.020568827273387
74,8469.5,1994.2372881355932,118,1455.339697197417,1455.339697197417,1455.339697197417,3.3350954992318716e-05,20.092294936549152
979,8592.35606060606,2559.7954545454545,132,1304.5153605857508,1304.5153605857508,1304.5153605857508,2.9894624025899905e-05,20.211082882725712
12789,8081.410071942446,3108.956834532374,139,1302.0909740141994,1302.0909740141994,1302.0909740141994,2.9839066132723833e-05,20.213102554817468
449,7619.884615384615,2409.5615384615385,130,1215.3035470147388,1215.3035470147388,1215.3035470147388,2.785022216912409e-05,20.28799396224756
6455,7499.4631578947365,3231.9894736842107,95,1054.2921169717558,1054.2921169717558,1054.2921169717558,2.416044103627015e-05,20.442303477679545
13640,7500.022727272727,3339.431818181818,132,972.6428587600966,972.6428587600966,972.6428587600966,2.2289344727266033e-05,20.52982236960066
1355,8660.481481481482,2642.6543209876545,81,943.6674877190316,943.6674877190316,943.6674877190316,2.1625337349925037e-05,20.562658394591182
11439,9107.71186440678,3950.101694915254,59,900.2824100632206,900.2824100632206,900.2824100632206,2.063111326944156e-05,20.613758963676247
3894,7955.273972602739,2974.4520547945203,73,898.8280484643697,898.8280484643697,898.8280484643697,2.059778472881339e-05,20.615514334925585
13477,7941.030927835051,3286.0721649484535,97,872.3407200433483,872.3407200433483,872.3407200433483,1.9990794003735668e-05,20.647990512350518
11672,9143.956043956045,4041.956043956044,91,817.9608455260051,817.9608455260051,817.9608455260051,1.8744610208290258e-05,20.717874587895473
12919,9034.095238095239,3141.580952380952,105,769.3916470521864,769.3916470521864,769.3916470521864,1.7631585424157272e-05,20.78433720823764
9709,7432.3536585365855,3596.012195121951,82,743.4373751628764,743.4373751628764,743.4373751628764,1.7036810365588e-05,20.821594898888748
12955,8571.574712643678,3164.045977011494,87,720.8263581633942,720.8263581633942,720.8263581633942,1.6518650233123757e-05,20.855129228540314
142,8106.657142857142,2066.2571428571428,70,706.1461204887888,706.1461204887888,706.1461204887888,1.6182233967625647e-05,20.877469432175477
7399,7460.260869565217,3328.826086956522,69,627.5281957542167,627.5281957542167,627.5281957542167,1.4380604509938597e-05,21.00562276568168
10557,8993.545454545454,3730.909090909091,77,619.5805348682726,619.5805348682726,619.5805348682726,1.4198473780589451e-05,21.01946146278431
12135,8831.55,2681.116666666667,60,589.3421795376429,589.3421795376429,589.3421795376429,1.3505523516389538e-05,21.073787063622113
707,8436.194029850747,2489.820895522388,67,584.9843997381624,584.9843997381624,584.9843997381624,1.3405659465241351e-05,21.081845164498652
240,8783.36,2174.8133333333335,75,566.8711140584388,566.8711140584388,566.8711140584388,1.299057055051526e-05,21.115995057629124
222,8851.761904761905,2155.015873015873,63,555.1286150275506,555.1286150275506,555.1286150275506,1.2721476292019695e-05,21.138721840016412
5473,7967.673076923077,3126.8846153846152,52,539.8947439064104,539.8947439064104,539.8947439064104,1.2372372813911923e-05,21.16893312721794
13992,8374.025974025973,3779.5324675324673,77,534.7007477376925,534.7007477376925,534.7007477376925,1.225334580407582e-05,21.179428897296496
199,8029.123287671233,2127.246575342466,73,531.0051797996305,531.0051797996305,531.0051797996305,1.2168657177626126e-05,21.18695898207338
7099,7793.372881355932,3298.0338983050847,59,524.1825383332068,524.1825383332068,524.1825383332068,1.2012307695155741e-05,21.20099950198536
8977,9553.5,3494.758620689655,58,516.1270463363942,516.1270463363942,516.1270463363942,1.1827705879137087e-05,21.217814331432955
8554,8037.976744186047,3451.0581395348836,86,500.5222889790791,500.5222889790791,500.5222889790791,1.1470103072526314e-05,21.251147320853324
1749,8727.070422535211,2708.478873239437,71,493.44312946671675,493.44312946671675,493.44312946671675,1.1307875153687229e-05,21.266613109907794
11779,8032.28813559322,4098.322033898305,59,485.21005014959326,485.21005014959326,485.21005014959326,1.111920369898676e-05,21.284881406307186
11671,8816.625,4043.0,64,476.69078011433885,476.69078011433885,476.69078011433885,1.0923973820999973e-05,21.30411399554655
13646,8120.5,3338.0263157894738,76,460.2038353610868,460.2038353610868,460.2038353610868,1.0546154571318663e-05,21.34233029141916
12174,8173.776119402985,2774.0447761194027,67,453.66280117640173,453.66280117640173,453.66280117640173,1.039625847687642e-05,21.357872950768268
3911,8066.25641025641,2981.7692307692305,117,449.6552431454629,449.6552431454629,449.6552431454629,1.0304420201746338e-05,21.36750672133577
12497,8181.044444444445,3022.5666666666666,90,442.3887040684846,442.3887040684846,442.3887040684846,1.0137898242527525e-05,21.385195802906193
7074,8051.7962962962965,3293.648148148148,54,433.4237696723443,433.4237696723443,433.4237696723443,9.932455400467669e-06,21.407424063215245
69,8597.84,1988.78,50,418.1198101908686,418.1198101908686,418.1198101908686,9.5817457586886e-06,21.44645401443639
1384,8625.220588235294,2649.470588235294,68,402.99055284484484,402.99055284484484,402.99055284484484,9.235039637920976e-06,21.48646871271884
11276,7968.360655737705,3897.2131147540986,61,393.75664333729554,393.75664333729554,393.75664333729554,9.02343289003767e-06,21.5116361405208
6816,7489.724137931034,3267.3965517241377,58,392.4492328812219,392.4492328812219,392.4492328812219,8.993471921226769e-06,21.515247164600005
4326,8425.530303030304,3017.9242424242425,66,392.39994962211745,392.39994962211745,392.39994962211745,8.99234253283763e-06,21.515383518488015
855,9492.982456140351,2525.561403508772,57,382.55321947568257,382.55321947568257,382.55321947568257,8.766692222763865e-06,21.54297622278404
964,8444.714285714286,2552.1190476190477,42,382.41033219891455,382.41033219891455,382.41033219891455,8.763417779590464e-06,21.543381831367746
408,8940.68,2394.08,50,373.18270881125744,373.18270881125744,373.18270881125744,8.551955086117276e-06,21.5699020939269
8106,7795.666666666667,3403.8070175438597,57,363.64084103537937,363.64084103537937,363.64084103537937,8.333291083926729e-06,21.59802424202049
3192,9121.73076923077,2898.2884615384614,52,337.14244118576624,337.14244118576624,337.14244118576624,7.726046643020757e-06,21.680172308027707
6583,7916.637931034483,3245.0172413793102,58,336.9931822473061,336.9931822473061,336.9931822473061,7.722626185138401e-06,21.68065308913579
12810,8413.773333333333,3110.133333333333,75,333.76026272427816,333.76026272427816,333.76026272427816,7.648539733903733e-06,21.691119304347044
12043,9028.096153846154,4271.25,52,330.1746382962581,330.1746382962581,330.1746382962581,7.566370602429794e-06,21.702846598999432
12152,8319.880000000001,2714.68,75,329.8491806875588,329.8491806875588,329.8491806875588,7.558912328543265e-06,21.703917351682456
5542,9134.448275862069,3134.051724137931,58,325.3079767438834,325.3079767438834,325.3079767438834,7.454844880491022e-06,21.718969094442045
703,8783.351851851852,2488.259259259259,54,322.61302213151333,322.61302213151333,322.61302213151333,7.393086577493737e-06,21.728001142089525
2966,8949.089285714286,2874.982142857143,56,308.6031332048541,308.6031332048541,308.6031332048541,7.072032203769046e-06,21.776205048163586
658,8644.481481481482,2476.8518518518517,54,303.8618347443619,303.8618347443619,303.8618347443619,6.9633793360808126e-06,21.793015486318247
5918,7267.136363636364,3173.477272727273,44,300.76657904728177,300.76657904728177,300.76657904728177,6.892447626019011e-06,21.80413193554349
11796,7943.65306122449,4106.836734693878,49,295.73320764416405,295.73320764416405,295.73320764416405,6.777101536409643e-06,21.82245564126019
7477,8530.026315789473,3336.0,38,291.7627525645645,291.7627525645645,291.7627525645645,6.686113522467778e-06,21.837131256940445
2996,9556.978723404256,2877.1702127659573,47,289.32982151836063,289.32982151836063,289.32982151836063,6.630359821817948e-06,21.84622287804644
5385,7936.015873015873,3119.603174603175,63,284.15731548400186,284.15731548400186,284.15731548400186,6.5118252856669726e-06,21.865808772834527
4900,7807.875,3074.203125,64,281.0480195284963,281.0480195284963,281.0480195284963,6.440571825275864e-06,21.87775455266486
13647,8113.630434782609,3344.891304347826,46,278.85461067534635,278.85461067534635,278.85461067534635,6.390307079469762e-06,21.88626130172392
354,8235.608695652174,2376.891304347826,46,277.6548534690443,277.6548534690443,277.6548534690443,6.362813121415747e-06,21.890942702267175
13171,8501.239130434782,3202.717391304348,46,273.5101677802768,273.5101677802768,273.5101677802768,6.2678323920852786e-06,21.907272186041382
2224,8303.673076923076,2780.2884615384614,52,260.37593070512753,260.37593070512753,260.37593070512753,5.966844691141444e-06,21.96070378754213
6609,9272.333333333334,3246.964912280702,57,260.1493094271434,260.1493094271434,260.1493094271434,5.96165137712898e-06,21.961649182396602
8451,8470.326086956522,3441.826086956522,46,254.5501610736901,254.5501610736901,254.5501610736901,5.833339791118552e-06,21.985272435403253
13996,8348.770833333334,3783.625,96,253.97218809211884,253.97218809211884,253.97218809211884,5.820094807193301e-06,21.98774047427197
5050,8769.163265306122,3087.4285714285716,49,247.18354353258826,247.18354353258826,247.18354353258826,5.664524406963202e-06,22.01715699128595
12110,8723.04255319149,2494.595744680851,47,243.86421105725626,243.86421105725626,243.86421105725626,5.588457693327531e-06,22.031835703503923
11991,7889.863636363636,4232.318181818182,44,241.25459826266462,241.25459826266462,241.25459826266462,5.528655106325056e-06,22.04351687672269
13208,8441.479452054795,3213.27397260274,73,235.70932054359486,235.70932054359486,235.70932054359486,5.4015780342265295e-06,22.06876398594721
12752,8475.097222222223,3136.1944444444443,72,232.57566714300273,232.57566714300273,232.57566714300273,5.329766392088318e-06,22.083295187356683
